Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
3700	0.7759	-nan	0.7759	0.777066	0.0229714	0	0.546	-nan	0.546	0.544116	0.0115866	0	0.6577	-nan	0.6577	0.65549	0.012749	0
3800	0.771	-nan	0.771	0.768043	0.0251733	0	0.5391	-nan	0.5391	0.5434	0.0160788	0	0.6621	-nan	0.6621	0.662441	0.0152031	0
3900	0.7779	-nan	0.7779	0.768509	0.0225166	0	0.5449	-nan	0.5449	0.547396	0.0172787	0	0.6797	-nan	0.6797	0.682398	0.022626	0
4000	0.7682	-nan	0.7682	0.767288	0.0219023	0	0.5566	-nan	0.5566	0.552666	0.01998	0	0.6716	-nan	0.6716	0.68477	0.0143162	0
4100	0.7675	-nan	0.7675	0.770019	0.0243585	0	0.5777	-nan	0.5777	0.564133	0.0137441	0	0.6901	-nan	0.6901	0.681286	0.0124035	0
4200	0.7626	-nan	0.7626	0.762398	0.0222633	0	0.5631	-nan	0.5631	0.566583	0.0125319	0	0.6754	-nan	0.6754	0.676374	0.0149502	0
4300	0.7578	-nan	0.7578	0.758237	0.0250701	0	0.5631	-nan	0.5631	0.55701	0.0182618	0	0.6761	-nan	0.6761	0.674024	0.0129807	0
4400	0.7625	-nan	0.7625	0.767642	0.0269977	0	0.5533	-nan	0.5533	0.556849	0.0176569	0	0.6744	-nan	0.6744	0.6721	0.0160831	0
4500	0.7517	-nan	0.7517	0.748644	0.0181249	0	0.565	-nan	0.565	0.558348	0.0168088	0	0.6678	-nan	0.6678	0.672841	0.0182514	0
4600	0.7458	-nan	0.7458	0.751433	0.0246375	0	0.5621	-nan	0.5621	0.558756	0.0223143	0	0.6695	-nan	0.6695	0.666943	0.0126328	0
4700	0.7459	-nan	0.7459	0.749509	0.0190697	0	0.5624	-nan	0.5624	0.567453	0.0183055	0	0.6667	-nan	0.6667	0.675039	0.0146977	0
4800	0.7413	-nan	0.7413	0.74282	0.0212376	0	0.5654	-nan	0.5654	0.566581	0.0182784	0	0.6752	-nan	0.6752	0.673348	0.0150092	0
4900	0.7271	-nan	0.7271	0.732323	0.0261695	0	0.5684	-nan	0.5684	0.562044	0.019602	0	0.6661	-nan	0.6661	0.670975	0.0166333	0
5000	0.7176	-nan	0.7176	0.71868	0.0276625	0	0.563	-nan	0.563	0.562853	0.0177906	0	0.6617	-nan	0.6617	0.66871	0.0180105	0
5100	0.7112	-nan	0.7112	0.716038	0.0327315	0	0.56	-nan	0.56	0.566711	0.0180348	0	0.6519	-nan	0.6519	0.662462	0.0165637	0
5200	0.7127	-nan	0.7127	0.714935	0.0298647	0	0.5818	-nan	0.5818	0.573672	0.0190414	0	0.648	-nan	0.648	0.654776	0.0149085	0
5300	0.7111	-nan	0.7111	0.714558	0.030786	0	0.5719	-nan	0.5719	0.569444	0.0211991	0	0.656	-nan	0.656	0.663159	0.0178223	0
5400	0.7021	-nan	0.7021	0.701233	0.0274196	0	0.5678	-nan	0.5678	0.568502	0.0214435	0	0.6706	-nan	0.6706	0.661524	0.0153663	0
5500	0.7113	-nan	0.7113	0.71686	0.0344493	0	0.5771	-nan	0.5771	0.577643	0.0187528	0	0.6603	-nan	0.6603	0.660753	0.0252794	0
5600	0.7083	-nan	0.7083	0.715108	0.0338233	0	0.5884	-nan	0.5884	0.587267	0.0137803	0	0.6648	-nan	0.6648	0.664394	0.0295279	0
5700	0.7127	-nan	0.7127	0.709085	0.0274466	0	0.5906	-nan	0.5906	0.58754	0.0161696	0	0.6569	-nan	0.6569	0.654528	0.0356829	0
5800	0.727	-nan	0.727	0.725625	0.0513239	0	0.6002	-nan	0.6002	0.59738	0.0174749	0	0.642	-nan	0.642	0.653825	0.033717	0
5900	0.7236	-nan	0.7236	0.7307	0.0512559	0	0.6177	-nan	0.6177	0.613032	0.021392	0	0.6472	-nan	0.6472	0.645586	0.0377005	0
6000	0.7118	-nan	0.7118	0.7107	0.046836	0	0.6255	-nan	0.6255	0.622151	0.0166948	0	0.6578	-nan	0.6578	0.655905	0.0359416	0
6100	0.705	-nan	0.705	0.705218	0.0464816	0	0.6287	-nan	0.6287	0.626827	0.00931635	0	0.6572	-nan	0.6572	0.656049	0.0425106	0
6200	0.6922	-nan	0.6922	0.696321	0.0141234	0	0.6246	-nan	0.6246	0.628945	0.0153117	0	0.6624	-nan	0.6624	0.659885	0.0463235	0
6300	0.7041	-nan	0.7041	0.69972	0.0226415	0	0.6418	-nan	0.6418	0.642507	0.0190603	0	0.6578	-nan	0.6578	0.664137	0.0377467	0
6400	0.7051	-nan	0.7051	0.704205	0.0193554	0	0.6462	-nan	0.6462	0.646634	0.0269861	0	0.6634	-nan	0.6634	0.666501	0.034512	0
6500	0.7031	-nan	0.7031	0.699151	0.0237494	0	0.64	-nan	0.64	0.643423	0.0276385	0	0.6617	-nan	0.6617	0.659545	0.0342384	0
6600	0.715	-nan	0.715	0.711117	0.0348688	0	0.6624	-nan	0.6624	0.64781	0.0305731	0	0.6724	-nan	0.6724	0.665455	0.0418272	0
6700	0.7115	-nan	0.7115	0.70911	0.0368692	0	0.6402	-nan	0.6402	0.641294	0.029364	0	0.6816	-nan	0.6816	0.681958	0.0436546	0
6800	0.7008	-nan	0.7008	0.696272	0.0275835	0	0.652	-nan	0.652	0.657192	0.024195	0	0.6549	-nan	0.6549	0.658871	0.0463224	0
6900	0.6918	-nan	0.6918	0.690061	0.0155384	0	0.6696	-nan	0.6696	0.671357	0.0338772	0	0.6637	-nan	0.6637	0.66463	0.0457067	0
7000	0.6843	-nan	0.6843	0.673036	0.0149683	0	0.6666	-nan	0.6666	0.66374	0.0344979	0	0.662	-nan	0.662	0.657763	0.0410869	0
7100	0.6888	-nan	0.6888	0.684261	0.0164152	0	0.6563	-nan	0.6563	0.656128	0.037507	0	0.6361	-nan	0.6361	0.637875	0.0332252	0
7200	0.6863	-nan	0.6863	0.685941	0.0231148	0	0.6596	-nan	0.6596	0.661624	0.0380776	0	0.6432	-nan	0.6432	0.644621	0.0401067	0
7300	0.6838	-nan	0.6838	0.690374	0.0233855	0	0.6769	-nan	0.6769	0.674092	0.0262257	0	0.6457	-nan	0.6457	0.650274	0.0370037	0
7400	0.6952	-nan	0.6952	0.69256	0.032699	0	0.6821	-nan	0.6821	0.684474	0.0232979	0	0.6441	-nan	0.6441	0.6523	0.0411626	0
7500	0.7057	-nan	0.7057	0.699876	0.0306788	0	0.6919	-nan	0.6919	0.685881	0.0240652	0	0.6665	-nan	0.6665	0.660922	0.0469358	0
7600	0.7066	-nan	0.7066	0.705583	0.0329468	0	0.6735	-nan	0.6735	0.66867	0.0252315	0	0.6556	-nan	0.6556	0.651092	0.0493401	0
7700	0.695	-nan	0.695	0.689195	0.0351442	0	0.6751	-nan	0.6751	0.675962	0.0288928	0	0.645	-nan	0.645	0.645717	0.050049	0
7800	0.6699	-nan	0.6699	0.672936	0.0330789	0	0.6894	-nan	0.6894	0.684224	0.0252006	0	0.6461	-nan	0.6461	0.646984	0.0546732	0
7900	0.67	-nan	0.67	0.674534	0.0291967	0	0.666	-nan	0.666	0.668309	0.0256887	0	0.6492	-nan	0.6492	0.64992	0.0627165	0
8000	0.6699	-nan	0.6699	0.671787	0.0295882	0	0.6552	-nan	0.6552	0.659997	0.0295599	0	0.6368	-nan	0.6368	0.643279	0.0537864	0
8100	0.6611	-nan	0.6611	0.664398	0.0205236	0	0.6695	-nan	0.6695	0.667746	0.0383867	0	0.6431	-nan	0.6431	0.642595	0.0532652	0
8200	0.6678	-nan	0.6678	0.665384	0.0238527	0	0.6626	-nan	0.6626	0.670949	0.0426655	0	0.6262	-nan	0.6262	0.621585	0.0231319	0
8300	0.6646	-nan	0.6646	0.668931	0.0245917	0	0.6794	-nan	0.6794	0.677363	0.0449828	0	0.6178	-nan	0.6178	0.611076	0.0194864	0
8400	0.6739	-nan	0.6739	0.668458	0.025235	0	0.7139	-nan	0.7139	0.712765	0.0457633	0	0.6066	-nan	0.6066	0.613597	0.0270582	0
8500	0.6803	-nan	0.6803	0.67248	0.0239213	0	0.7241	-nan	0.7241	0.727382	0.0269296	0	0.6016	-nan	0.6016	0.604866	0.0335598	0
8600	0.6667	-nan	0.6667	0.673435	0.0222595	0	0.7323	-nan	0.7323	0.730625	0.0143611	0	0.6088	-nan	0.6088	0.612938	0.0357235	0
