Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
3700	0.4647	-nan	0.4647	0.465269	0.0314629	0	0.2967	-nan	0.2967	0.298771	0.0244041	0	0.3306	-nan	0.3306	0.326675	0.0279421	0
3800	0.4485	-nan	0.4485	0.449393	0.0252792	0	0.3025	-nan	0.3025	0.306909	0.0281628	0	0.3243	-nan	0.3243	0.325058	0.0232682	0
3900	0.4405	-nan	0.4405	0.439546	0.0299681	0	0.3012	-nan	0.3012	0.297775	0.0274286	0	0.3395	-nan	0.3395	0.335282	0.0362765	0
4000	0.4102	-nan	0.4102	0.416679	0.0309741	0	0.2928	-nan	0.2928	0.295151	0.0232017	0	0.3037	-nan	0.3037	0.312638	0.0269229	0
4100	0.3958	-nan	0.3958	0.401734	0.0263936	0	0.3059	-nan	0.3059	0.299401	0.0189202	0	0.3262	-nan	0.3262	0.31563	0.0332464	0
4200	0.3957	-nan	0.3957	0.395108	0.0249985	0	0.3004	-nan	0.3004	0.30146	0.0221871	0	0.328	-nan	0.328	0.333581	0.0402081	0
4300	0.3945	-nan	0.3945	0.392116	0.0251868	0	0.2997	-nan	0.2997	0.301715	0.0236258	0	0.3397	-nan	0.3397	0.338025	0.0343912	0
4400	0.3819	-nan	0.3819	0.383666	0.0265624	0	0.2975	-nan	0.2975	0.303787	0.0286064	0	0.3434	-nan	0.3434	0.345916	0.0396823	0
4500	0.3678	-nan	0.3678	0.36764	0.0229137	0	0.3064	-nan	0.3064	0.307343	0.025634	0	0.3484	-nan	0.3484	0.349414	0.0280329	0
4600	0.3621	-nan	0.3621	0.364606	0.0194426	0	0.3225	-nan	0.3225	0.318388	0.0154027	0	0.3493	-nan	0.3493	0.346093	0.032392	0
4700	0.3687	-nan	0.3687	0.364918	0.020301	0	0.3149	-nan	0.3149	0.316853	0.018051	0	0.3327	-nan	0.3327	0.331412	0.0325414	0
4800	0.3657	-nan	0.3657	0.361272	0.0144243	0	0.3111	-nan	0.3111	0.311627	0.0236329	0	0.3354	-nan	0.3354	0.337605	0.0298073	0
4900	0.3549	-nan	0.3549	0.359522	0.0156946	0	0.3134	-nan	0.3134	0.31222	0.0289936	0	0.3401	-nan	0.3401	0.337492	0.0339607	0
5000	0.3612	-nan	0.3612	0.357617	0.01607	0	0.3157	-nan	0.3157	0.310765	0.0324416	0	0.3251	-nan	0.3251	0.332046	0.0381111	0
5100	0.3419	-nan	0.3419	0.349473	0.0135299	0	0.3111	-nan	0.3111	0.320733	0.0400764	0	0.3346	-nan	0.3346	0.344925	0.0449779	0
5200	0.3491	-nan	0.3491	0.347496	0.0166558	0	0.3322	-nan	0.3322	0.329842	0.0551666	0	0.3527	-nan	0.3527	0.349013	0.0465976	0
5300	0.3478	-nan	0.3478	0.351015	0.0170868	0	0.3121	-nan	0.3121	0.315438	0.05069	0	0.3375	-nan	0.3375	0.346351	0.0519625	0
5400	0.3589	-nan	0.3589	0.357122	0.0206413	0	0.3126	-nan	0.3126	0.318693	0.0598771	0	0.317	-nan	0.317	0.31796	0.0547791	0
5500	0.3523	-nan	0.3523	0.356744	0.0287927	0	0.3144	-nan	0.3144	0.317158	0.054536	0	0.3261	-nan	0.3261	0.333222	0.0592801	0
5600	0.3442	-nan	0.3442	0.34826	0.0255537	0	0.3102	-nan	0.3102	0.299989	0.0393927	0	0.3267	-nan	0.3267	0.329698	0.0651005	0
5700	0.3465	-nan	0.3465	0.339618	0.0246937	0	0.3249	-nan	0.3249	0.316117	0.0465696	0	0.3543	-nan	0.3543	0.354331	0.0623121	0
5800	0.3335	-nan	0.3335	0.335614	0.0242848	0	0.3045	-nan	0.3045	0.312787	0.0472952	0	0.3504	-nan	0.3504	0.354857	0.0604738	0
5900	0.3411	-nan	0.3411	0.339889	0.0251066	0	0.3314	-nan	0.3314	0.322976	0.0533058	0	0.364	-nan	0.364	0.361618	0.060101	0
6000	0.3373	-nan	0.3373	0.330888	0.0194187	0	0.3427	-nan	0.3427	0.341353	0.0676601	0	0.3354	-nan	0.3354	0.337236	0.0706642	0
6100	0.3271	-nan	0.3271	0.325434	0.0198708	0	0.3228	-nan	0.3228	0.31695	0.0572832	0	0.3421	-nan	0.3421	0.344915	0.075182	0
6200	0.3197	-nan	0.3197	0.323988	0.0152771	0	0.3155	-nan	0.3155	0.321514	0.0652217	0	0.3388	-nan	0.3388	0.337632	0.07565	0
6300	0.3207	-nan	0.3207	0.316088	0.0143225	0	0.3273	-nan	0.3273	0.333813	0.0689349	0	0.3042	-nan	0.3042	0.300367	0.0629565	0
6400	0.3168	-nan	0.3168	0.31233	0.0201529	0	0.3364	-nan	0.3364	0.322677	0.0658757	0	0.3126	-nan	0.3126	0.310238	0.0646937	0
