Generation;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo
0;0,95;0,95;0;#NAME?;#NAME?;1;0,05;0,05;0;#NAME?;#NAME?;1;0,67;0,67;0;#NAME?;#NAME?;1
3300;0,856;0,19;0,862727;0,857104;0,0359184;0,015;0,3589;0,633333;0,354721;0,35272;0,0128355;0,016;0,6444;0,346667;0,648934;0,642453;0,0328368;0,018
3400;0,8551;0,113636;0,871779;0,86606;0,0346757;0,015;0,3638;0,71;0,360303;0,366642;0,0182722;0,021;0,6489;0,322222;0,651867;0,645552;0,0332989;0,019
3500;0,8552;0,131579;0,869215;0,865224;0,037376;0,021;0,376;0,670588;0,370905;0,373302;0,024811;0,02;0,6395;0,333333;0,643219;0,644585;0,0276003;0,011
3600;0,8452;0,14375;0,856606;0,852102;0,0419802;0,017;0,3579;0,616667;0,354757;0,368698;0,0170984;0,016;0,6391;0,357895;0,644546;0,640376;0,0219511;0,013
3700;0,8411;0,1375;0,852541;0,852924;0,0440999;0,014;0,3681;0,684615;0,363931;0,361665;0,0142201;0,011;0,6506;0,345455;0,657464;0,653318;0,0183047;0,018
3800;0,8176;0,110714;0,837963;0,839153;0,0364014;0,017;0,3713;0,635714;0,367546;0,370189;0,0144741;0,017;0,6538;0,3375;0,656351;0,656625;0,0194741;0,022
3900;0,8311;0,172727;0,838423;0,833894;0,026975;0,014;0,3942;0,652941;0,389725;0,382697;0,0136636;0,02;0,6554;0,384211;0,660652;0,661335;0,0170874;0,015
4000;0,8165;0,153333;0,826599;0,826311;0,0257671;0,018;0,3868;0,6;0,382892;0,385411;0,01718;0,015;0,6451;0,36;0,649442;0,66038;0,0139684;0,012
4100;0,8222;0,2;0,827851;0,828419;0,0260284;0,011;0,3965;0,62;0,393096;0,38567;0,0163814;0,02;0,6693;0,32;0,676429;0,66691;0,0178755;0,013
4200;0,8142;0,13125;0,825305;0,824335;0,0222961;0,018;0,3981;0,642857;0,394625;0,393858;0,0139149;0,019;0,6712;0,338462;0,675583;0,675553;0,0284057;0,02
4300;0,8116;0,166667;0,825434;0,827399;0,0218608;0,018;0,4002;0,555556;0,397352;0,4015;0,0143745;0,014;0,6784;0,357895;0,684608;0,679382;0,0238247;0,014
4400;0,8074;0,225;0,81687;0,819297;0,0170964;0,017;0,406;0,6;0,402041;0,405767;0,0171887;0,015;0,6835;0,34;0,688731;0,684986;0,0229773;0,015
4500;0,8202;0,172222;0,832077;0,827199;0,0139732;0,014;0,3976;0,611111;0,395661;0,396338;0,0209826;0,011;0,6843;0,354545;0,687968;0,690626;0,025335;0,017
4600;0,815;0,2;0,826911;0,828717;0,0173294;0,016;0,4014;0,56875;0,398679;0,397408;0,028033;0,015;0,6679;0,266667;0,67401;0,67453;0,0302058;0,011
4700;0,8097;0,238462;0,817224;0,822302;0,0180544;0,025;0,4152;0,61875;0,41189;0,415911;0,0307448;0,019;0,6547;0,375;0,658097;0,661834;0,0328749;0,016
4800;0,813;0,25625;0,822053;0,822759;0,0122205;0,014;0,4194;0,54;0,416939;0,418981;0,0355033;0,021;0,6647;0,328571;0,669473;0,667759;0,0329974;0,013
4900;0,7955;0,173077;0,812115;0,816591;0,0102381;0,033;0,4164;0,528571;0,415609;0,411666;0,0411956;0,009;0,6784;0,358333;0,682287;0,688041;0,0344609;0,017
5000;0,7996;0,158824;0,810682;0,816653;0,0144055;0,015;0,4443;0,525;0,442653;0,437528;0,0484616;0,023;0,6734;0,286667;0,679289;0,684921;0,0385225;0,016
5100;0,8013;0,21;0,813367;0,814568;0,0258543;0,02;0,4371;0,516667;0,435642;0,444375;0,0549569;0,011;0,6835;0,269231;0,688956;0,694284;0,0290044;0,022
5200;0,7825;0,211111;0,792974;0,795488;0,0276586;0,016;0,4833;0,509091;0,48272;0,476121;0,0241951;0,018;0,6673;0,286667;0,679072;0,686199;0,0219724;0,024
5300;0,7816;0,171429;0,790264;0,793744;0,017277;0,02;0,4856;0,644444;0,484157;0,48529;0,0236631;0,009;0,6738;0,3;0,679108;0,685875;0,0228716;0,017
5400;0,7771;0,236364;0,789264;0,789407;0,016342;0,022;0,4795;0,511538;0,478645;0,480503;0,0266414;0,019;0,6892;0,336364;0,693124;0,689046;0,0209296;0,01
5500;0,7741;0,2;0,783435;0,784781;0,0185757;0,019;0,4836;0,505556;0,483198;0,48111;0,029823;0,021;0,6658;0,388889;0,670876;0,672269;0,0293694;0,017
5600;0,7693;0,195238;0,781614;0,789511;0,0238752;0,03;0,4892;0,464706;0,489624;0,487422;0,0318988;0,017;0,653;0,338462;0,657143;0,660071;0,0213289;0,02
5700;0,7694;0,2;0,782805;0,776352;0,0306059;0,013;0,4851;0,5;0,48498;0,481573;0,0289341;0,013;0,6617;0,381818;0,664813;0,662054;0,0209416;0,02
5800;0,7627;0,228571;0,774157;0,773808;0,0269468;0,02;0,4877;0,55;0,486815;0,484714;0,0372054;0,013;0,6394;0,314286;0,644016;0,654635;0,0266256;0,016
5900;0,7553;0,185714;0,763387;0,765804;0,0237593;0,017;0,5139;0,525;0,513765;0,505486;0,0373715;0,014;0,6567;0,341176;0,662157;0,662025;0,0296113;0,015
6000;0,7577;0,290476;0,767722;0,763505;0,020235;0,013;0,5155;0,505882;0,515666;0,516326;0,0394639;0,016;0,6584;0,353333;0,663046;0,660551;0,0291857;0,012
6100;0,7397;0,231818;0,751125;0,755511;0,0264103;0,019;0,5343;0,55;0,534045;0,532872;0,0430392;0,018;0,6486;0,373684;0,653925;0,65145;0,021412;0,018
6200;0,7188;0,330435;0,727943;0,729376;0,0186222;0,021;0,5361;0,48125;0,536992;0,540094;0,0531531;0,018;0,6511;0,35;0,655996;0,651436;0,0210084;0,019
6300;0,7224;0,211765;0,731231;0,727207;0,0217354;0,016;0,5452;0,41875;0,547256;0,547043;0,0463629;0,018;0,6463;0,314286;0,651014;0,657713;0,0240564;0,018
6400;0,7238;0,181818;0,735992;0,738161;0,023973;0,017;0,5598;0,485;0,561327;0,563658;0,0288206;0,012;0,6402;0,254545;0,644489;0,651539;0,0213433;0,015
6500;0,7322;0,228571;0,739351;0,730537;0,0264472;0,019;0,5666;0,44;0,568528;0,573615;0,0236019;0,022;0,6488;0,407692;0,651976;0,645852;0,0187505;0,014
6600;0,7141;0,257143;0,720588;0,719343;0,0274319;0,014;0,5888;0,370588;0,592574;0,579584;0,0202583;0,017;0,6565;0,344444;0,66222;0,65488;0,0261581;0,02
