Generation;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo
3200;0,5069;0,478981;0,960345;0,965344;0,0176323;0,944;0,4198;0,772913;0,00694143;0,0074749;0,0109736;0,536;0,5076;0,492333;0,645;0,625742;0,0188446;0,892
3300;0,5195;0,5;0,97561;0,981357;0,0104203;0,959;0,4103;0,782885;0,00666667;0,00655056;0,00802325;0,501;0,4942;0,479306;0,619811;0,62283;0,0153564;0,884
3400;0,4947;0,471249;0,970213;0,970579;0,0131227;0,956;0,4183;0,765985;0,0134199;0,0111282;0,0129698;0,535;0,4992;0,482232;0,621311;0,618924;0,0283467;0,863
3500;0,5158;0,484739;0,977778;0,976027;0,0123158;0,924;0,4375;0,752513;0,00780142;0,00812145;0,0102192;0,539;0,4974;0,476027;0,648387;0,645021;0,021518;0,891
3600;0,4971;0,451316;0,971591;0,97598;0,012781;0,894;0,435;0,765724;0,00368664;0,00491549;0,00703509;0,578;0,5002;0,479252;0,65678;0,644914;0,0172177;0,889
3700;0,517;0,483369;0,977941;0,978313;0,0136584;0,937;0,4261;0,760432;0,00743243;0,00755964;0,00964217;0,562;0,4968;0,481667;0,633;0,628871;0,0305095;0,903
3800;0,496;0,44029;0,975962;0,978205;0,0147534;0,899;0,4293;0,745088;0,0106977;0,00859887;0,0111826;0,57;0,4812;0,468393;0,643836;0,645999;0,0217948;0,922
3900;0,5143;0,486017;0,991071;0,986471;0,0109643;0,946;0,4186;0,741472;0,0126411;0,0112924;0,00987378;0,536;0,4903;0,473655;0,660674;0,660058;0,012324;0,898
4000;0,4959;0,462753;0,988889;0,984039;0,0168148;0,935;0,434;0,754912;0,00860465;0,00953784;0,00940785;0,58;0,5197;0,502154;0,650847;0,653544;0,0295527;0,881
4100;0,495;0,456466;0,991667;0,98706;0,013966;0,932;0,4208;0,765027;0,00177384;0,00243818;0,00380205;0,527;0,5096;0,493371;0,640909;0,646042;0,0348614;0,892
4200;0,5081;0,496725;0,991304;0,991772;0,012389;0,968;0,4216;0,758123;0,00358744;0,00354196;0,00560965;0,543;0,5052;0,490054;0,692;0,667826;0,0182714;0,925
4300;0,4849;0,443615;0,986842;0,983665;0,0140473;0,915;0,4141;0,784542;0,00630252;0,00674006;0,00822446;0,55;0,4976;0,487248;0,662712;0,662786;0,0256857;0,941
4400;0,5015;0,466916;0,990909;0,987095;0,0122057;0,937;0,4448;0,750255;0,00705596;0,00731273;0,00742658;0,565;0,5269;0,514579;0,681081;0,669618;0,0245236;0,921
4500;0,5114;0,480405;0,988525;0,98923;0,0119656;0,951;0,456;0,70356;0,00423729;0,00267833;0,00501623;0,615;0,5139;0,495429;0,6432;0,633294;0,0268772;0,869
4600;0,5115;0,461258;0,995745;0,996294;0,00705398;0,918;0,4124;0,779278;0,00527426;0,0066435;0,00776002;0,541;0,5049;0,490581;0,655172;0,63726;0,0338804;0,914
4700;0,4975;0,460022;0,980556;0,981468;0,0243337;0,922;0,4323;0,781125;0,00423163;0,00374714;0,00500003;0,533;0,4892;0,475583;0,613131;0,63776;0,0295211;0,887
4800;0,5122;0,471848;0,97625;0,976974;0,0228368;0,922;0,4292;0,759002;0,00774487;0,00690977;0,00825813;0,578;0,4929;0,479249;0,624468;0,646176;0,0334284;0,886
4900;0,5121;0,468306;0,983529;0,984095;0,0177517;0,918;0,4313;0,75394;0,0018648;0,00340822;0,00594837;0,579;0,5024;0,492714;0,675472;0,672494;0,0345781;0,96
5000;0,504;0,466379;0,988889;0,986563;0,0151277;0,929;0,4236;0,765217;0,00267857;0,00314657;0,00584021;0,557;0,5007;0,484812;0,646939;0,637745;0,0291814;0,895
