Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
3200	0.5084	0.479809	0.964407	0.976856	0.0203808	0.943	0.4095	0.776482	0.00712788	0.00546106	0.00676474	0.516	0.5084	0.496057	0.637931	0.632116	0.0168335	0.92
3300	0.5091	0.491372	0.957895	0.951586	0.0189451	0.963	0.417	0.794434	0.00647182	0.00630471	0.00866078	0.536	0.4984	0.479099	0.623134	0.645008	0.0186343	0.869
3400	0.4999	0.478325	0.957778	0.962231	0.0112671	0.956	0.4426	0.769702	0.00722611	0.00420747	0.00595798	0.554	0.5051	0.486682	0.648246	0.638005	0.0164899	0.89
3500	0.5084	0.483878	0.964706	0.97083	0.0112183	0.94	0.4221	0.764599	0.00685841	0.00574513	0.0106141	0.571	0.4964	0.474856	0.636842	0.637573	0.0132688	0.867
3600	0.4915	0.457968	0.973846	0.971049	0.0197766	0.925	0.4188	0.783804	0.00554371	0.00511583	0.00815422	0.53	0.499	0.478788	0.621127	0.617099	0.0253171	0.857
3700	0.5195	0.482143	0.973684	0.967962	0.0157331	0.928	0.41	0.766541	0.00470085	0.00564496	0.00891738	0.549	0.4954	0.484524	0.627632	0.613806	0.0245129	0.911
3800	0.4897	0.458555	0.986441	0.982548	0.0129566	0.942	0.4384	0.764561	0.00604651	0.00486419	0.00673568	0.577	0.4954	0.465986	0.641071	0.627134	0.0319155	0.843
3900	0.5055	0.475532	0.975	0.982654	0.0117243	0.941	0.4374	0.738265	0.00800971	0.0075228	0.00878431	0.567	0.497	0.471864	0.642857	0.628316	0.0242634	0.843
4000	0.4943	0.460064	0.978788	0.974256	0.0159345	0.937	0.4302	0.761141	0.00728929	0.00817335	0.00892079	0.557	0.5213	0.511038	0.620213	0.619026	0.0290359	0.916
4100	0.507	0.483281	0.967347	0.969321	0.0184459	0.95	0.4364	0.740614	0.0057971	0.006592	0.00794721	0.565	0.4975	0.46634	0.636612	0.623591	0.0269584	0.813
