Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0.05	0	0.05	0.05	7.07767e-16	0	0.67	0	0.67	0.67	5.77316e-15	0
100	0.9493	-nan	0.9493	0.949434	0.00502066	0	0.0577	-nan	0.0577	0.0594551	0.006385	0	0.6643	-nan	0.6643	0.669982	0.0076815	0
200	0.9528	-nan	0.9528	0.94926	0.00917064	0	0.102	-nan	0.102	0.106368	0.0116385	0	0.6741	-nan	0.6741	0.670208	0.00723138	0
300	0.9509	-nan	0.9509	0.94449	0.0177877	0	0.1572	-nan	0.1572	0.158004	0.0259379	0	0.671	-nan	0.671	0.668501	0.0108697	0
400	0.9425	-nan	0.9425	0.941559	0.0220322	0	0.184	-nan	0.184	0.18984	0.0129075	0	0.6749	-nan	0.6749	0.670294	0.0146003	0
500	0.9308	-nan	0.9308	0.931455	0.0243699	0	0.206	-nan	0.206	0.204076	0.00731582	0	0.6719	-nan	0.6719	0.671062	0.0142783	0
600	0.9035	-nan	0.9035	0.901737	0.0289159	0	0.2137	-nan	0.2137	0.216451	0.0141946	0	0.673	-nan	0.673	0.667932	0.0121374	0
700	0.8819	-nan	0.8819	0.882816	0.0267601	0	0.2301	-nan	0.2301	0.224125	0.0105196	0	0.6619	-nan	0.6619	0.666869	0.0144184	0
800	0.8717	-nan	0.8717	0.873767	0.0215563	0	0.236	-nan	0.236	0.242268	0.0175495	0	0.6694	-nan	0.6694	0.665206	0.0148407	0
900	0.8671	-nan	0.8671	0.867487	0.0227661	0	0.2783	-nan	0.2783	0.271677	0.0210036	0	0.6592	-nan	0.6592	0.66247	0.0195027	0
1000	0.8609	-nan	0.8609	0.859253	0.0211635	0	0.3147	-nan	0.3147	0.311586	0.0230171	0	0.6599	-nan	0.6599	0.663208	0.0222574	0
1100	0.8506	-nan	0.8506	0.850125	0.0210183	0	0.3346	-nan	0.3346	0.332711	0.0168035	0	0.6652	-nan	0.6652	0.664433	0.0211468	0
1200	0.8326	-nan	0.8326	0.834903	0.0205753	0	0.3345	-nan	0.3345	0.342709	0.0107215	0	0.6658	-nan	0.6658	0.659187	0.0184249	0
1300	0.8344	-nan	0.8344	0.830904	0.0156841	0	0.3546	-nan	0.3546	0.352586	0.0151354	0	0.6706	-nan	0.6706	0.66375	0.0162347	0
1400	0.8385	-nan	0.8385	0.833527	0.0159595	0	0.3618	-nan	0.3618	0.36492	0.0185267	0	0.6602	-nan	0.6602	0.664693	0.0152133	0
1500	0.8324	-nan	0.8324	0.83755	0.0187188	0	0.3824	-nan	0.3824	0.374106	0.0234786	0	0.6688	-nan	0.6688	0.6663	0.0176454	0
1600	0.8236	-nan	0.8236	0.827162	0.0146525	0	0.3976	-nan	0.3976	0.396092	0.0210917	0	0.6726	-nan	0.6726	0.670033	0.0147448	0
1700	0.8103	-nan	0.8103	0.815529	0.0138762	0	0.4168	-nan	0.4168	0.417861	0.0212532	0	0.6732	-nan	0.6732	0.669182	0.0130656	0
1800	0.8115	-nan	0.8115	0.808898	0.014024	0	0.4309	-nan	0.4309	0.433353	0.0146447	0	0.6787	-nan	0.6787	0.669796	0.0146387	0
1900	0.7998	-nan	0.7998	0.805063	0.0177056	0	0.4462	-nan	0.4462	0.444223	0.0149581	0	0.6696	-nan	0.6696	0.670511	0.0128642	0
2000	0.798	-nan	0.798	0.798721	0.025777	0	0.4542	-nan	0.4542	0.453422	0.0119088	0	0.6687	-nan	0.6687	0.670205	0.0160257	0
2100	0.7821	-nan	0.7821	0.789789	0.0200894	0	0.4542	-nan	0.4542	0.452337	0.0171672	0	0.6729	-nan	0.6729	0.673061	0.0215107	0
2200	0.7885	-nan	0.7885	0.789516	0.026448	0	0.4633	-nan	0.4633	0.463534	0.0210561	0	0.6652	-nan	0.6652	0.67061	0.01924	0
2300	0.8006	-nan	0.8006	0.797472	0.0231292	0	0.4807	-nan	0.4807	0.482473	0.0236679	0	0.6695	-nan	0.6695	0.662928	0.0146774	0
2400	0.7708	-nan	0.7708	0.774707	0.0303105	0	0.5093	-nan	0.5093	0.497676	0.0169421	0	0.655	-nan	0.655	0.652657	0.0158454	0
2500	0.7761	-nan	0.7761	0.786131	0.034002	0	0.503	-nan	0.503	0.502827	0.0200772	0	0.6491	-nan	0.6491	0.655185	0.0210987	0
2600	0.7746	-nan	0.7746	0.776826	0.0439817	0	0.5046	-nan	0.5046	0.501395	0.0202488	0	0.6459	-nan	0.6459	0.655402	0.0261286	0
2700	0.7675	-nan	0.7675	0.769044	0.0502412	0	0.5152	-nan	0.5152	0.505364	0.0257815	0	0.6581	-nan	0.6581	0.660147	0.0180519	0
2800	0.7483	-nan	0.7483	0.749452	0.0505784	0	0.5231	-nan	0.5231	0.52528	0.0214015	0	0.6608	-nan	0.6608	0.658881	0.0188259	0
2900	0.7343	-nan	0.7343	0.740021	0.0498946	0	0.5484	-nan	0.5484	0.538922	0.0212934	0	0.6648	-nan	0.6648	0.661419	0.0196072	0
3000	0.7186	-nan	0.7186	0.718505	0.0314995	0	0.54	-nan	0.54	0.549137	0.016878	0	0.6531	-nan	0.6531	0.659792	0.0191738	0
3100	0.7113	-nan	0.7113	0.709599	0.0179479	0	0.5483	-nan	0.5483	0.558165	0.013708	0	0.658	-nan	0.658	0.651503	0.0126676	0
3200	0.7105	-nan	0.7105	0.711553	0.0136159	0	0.5584	-nan	0.5584	0.557917	0.0173912	0	0.6452	-nan	0.6452	0.648917	0.0181201	0
3300	0.7152	-nan	0.7152	0.712706	0.020089	0	0.553	-nan	0.553	0.557537	0.027388	0	0.6695	-nan	0.6695	0.66219	0.0211204	0
3400	0.7133	-nan	0.7133	0.713604	0.0201193	0	0.5618	-nan	0.5618	0.570326	0.0256974	0	0.6688	-nan	0.6688	0.663931	0.0212235	0
3500	0.7165	-nan	0.7165	0.714028	0.0194978	0	0.573	-nan	0.573	0.575104	0.0222251	0	0.6457	-nan	0.6457	0.646065	0.0292885	0
3600	0.7198	-nan	0.7198	0.713638	0.0205329	0	0.5744	-nan	0.5744	0.576163	0.0179473	0	0.6547	-nan	0.6547	0.651983	0.028622	0
3700	0.7189	-nan	0.7189	0.724906	0.0186884	0	0.576	-nan	0.576	0.571474	0.0226496	0	0.6488	-nan	0.6488	0.64432	0.0209354	0
3800	0.7307	-nan	0.7307	0.726688	0.0242272	0	0.5586	-nan	0.5586	0.56237	0.0206702	0	0.6431	-nan	0.6431	0.644336	0.0198766	0
3900	0.7273	-nan	0.7273	0.720646	0.0225207	0	0.5766	-nan	0.5766	0.578754	0.0265717	0	0.6446	-nan	0.6446	0.64446	0.0220397	0
4000	0.7169	-nan	0.7169	0.714573	0.019727	0	0.5911	-nan	0.5911	0.586282	0.0171445	0	0.6316	-nan	0.6316	0.641859	0.023261	0
4100	0.701	-nan	0.701	0.702273	0.0197971	0	0.602	-nan	0.602	0.592228	0.0150308	0	0.6502	-nan	0.6502	0.641117	0.0254888	0
4200	0.7005	-nan	0.7005	0.699291	0.0145616	0	0.6007	-nan	0.6007	0.605455	0.0185773	0	0.6462	-nan	0.6462	0.646334	0.0249257	0
4300	0.6965	-nan	0.6965	0.699171	0.0159213	0	0.6203	-nan	0.6203	0.616398	0.0194997	0	0.6543	-nan	0.6543	0.651102	0.0320051	0
4400	0.6982	-nan	0.6982	0.698982	0.0225153	0	0.6207	-nan	0.6207	0.622315	0.0173549	0	0.6579	-nan	0.6579	0.654213	0.0410874	0
4500	0.7035	-nan	0.7035	0.701924	0.0202136	0	0.6295	-nan	0.6295	0.621668	0.0205529	0	0.6343	-nan	0.6343	0.635538	0.031339	0
4600	0.6917	-nan	0.6917	0.695352	0.0273526	0	0.6253	-nan	0.6253	0.623625	0.0186248	0	0.631	-nan	0.631	0.630497	0.0217764	0
4700	0.6966	-nan	0.6966	0.699303	0.0282233	0	0.6218	-nan	0.6218	0.621757	0.0181851	0	0.6269	-nan	0.6269	0.631099	0.0235804	0
4800	0.6966	-nan	0.6966	0.699401	0.0269188	0	0.6342	-nan	0.6342	0.63505	0.023159	0	0.6451	-nan	0.6451	0.643107	0.0310266	0
4900	0.6934	-nan	0.6934	0.699377	0.0353551	0	0.6428	-nan	0.6428	0.636175	0.014688	0	0.6339	-nan	0.6339	0.636479	0.0291429	0
5000	0.7053	-nan	0.7053	0.709295	0.0312948	0	0.6263	-nan	0.6263	0.630098	0.0137606	0	0.6365	-nan	0.6365	0.642797	0.023102	0
5100	0.7282	-nan	0.7282	0.734474	0.0320571	0	0.6315	-nan	0.6315	0.635583	0.016408	0	0.6285	-nan	0.6285	0.641092	0.0197118	0
5200	0.7122	-nan	0.7122	0.718729	0.032502	0	0.6438	-nan	0.6438	0.638346	0.0166917	0	0.6248	-nan	0.6248	0.630534	0.0202099	0
5300	0.7101	-nan	0.7101	0.711566	0.028291	0	0.6352	-nan	0.6352	0.636376	0.0224776	0	0.627	-nan	0.627	0.633115	0.0190238	0
5400	0.7027	-nan	0.7027	0.702232	0.0185958	0	0.6442	-nan	0.6442	0.645907	0.0244763	0	0.6458	-nan	0.6458	0.637532	0.0215112	0
5500	0.6994	-nan	0.6994	0.704568	0.0144019	0	0.6378	-nan	0.6378	0.638403	0.0262842	0	0.6317	-nan	0.6317	0.635035	0.016984	0
5600	0.7032	-nan	0.7032	0.70846	0.0170621	0	0.6511	-nan	0.6511	0.652685	0.0231957	0	0.6332	-nan	0.6332	0.634552	0.0171938	0
5700	0.7155	-nan	0.7155	0.709124	0.0164316	0	0.6542	-nan	0.6542	0.651924	0.0273554	0	0.6343	-nan	0.6343	0.633395	0.0160093	0
5800	0.7173	-nan	0.7173	0.7151	0.0256019	0	0.6612	-nan	0.6612	0.661447	0.0283225	0	0.6238	-nan	0.6238	0.632225	0.0118989	0
5900	0.7033	-nan	0.7033	0.707571	0.0266486	0	0.6747	-nan	0.6747	0.670986	0.0269368	0	0.63	-nan	0.63	0.630946	0.0136842	0
6000	0.7189	-nan	0.7189	0.712962	0.0376777	0	0.6857	-nan	0.6857	0.677447	0.0165752	0	0.6376	-nan	0.6376	0.635564	0.0203603	0
6100	0.7019	-nan	0.7019	0.702525	0.0360739	0	0.6758	-nan	0.6758	0.672666	0.0233871	0	0.6401	-nan	0.6401	0.637274	0.0185525	0
6200	0.6816	-nan	0.6816	0.687281	0.0362007	0	0.6717	-nan	0.6717	0.675089	0.0249639	0	0.6413	-nan	0.6413	0.640622	0.0242662	0
6300	0.6942	-nan	0.6942	0.689269	0.0480596	0	0.6849	-nan	0.6849	0.682058	0.0265702	0	0.6297	-nan	0.6297	0.634562	0.0272925	0
6400	0.6676	-nan	0.6676	0.66538	0.0450201	0	0.682	-nan	0.682	0.683809	0.0286541	0	0.6508	-nan	0.6508	0.650275	0.0338687	0
6500	0.6562	-nan	0.6562	0.648747	0.038842	0	0.6695	-nan	0.6695	0.672438	0.0228143	0	0.6596	-nan	0.6596	0.657885	0.0223601	0
