Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0.05	0	0.05	0.05	7.07767e-16	0	0.67	0	0.67	0.67	5.77316e-15	0
100	0.9481	-nan	0.9481	0.947053	0.00726908	0	0.0709	-nan	0.0709	0.073536	0.0142491	0	0.664	-nan	0.664	0.671339	0.0108653	0
200	0.9513	-nan	0.9513	0.949215	0.010265	0	0.1027	-nan	0.1027	0.106541	0.0148258	0	0.6733	-nan	0.6733	0.670071	0.0113045	0
300	0.9378	-nan	0.9378	0.933149	0.0173094	0	0.13	-nan	0.13	0.130124	0.00887316	0	0.6793	-nan	0.6793	0.677122	0.0106758	0
400	0.9338	-nan	0.9338	0.933153	0.0165347	0	0.1442	-nan	0.1442	0.147401	0.0152812	0	0.6838	-nan	0.6838	0.678595	0.0135391	0
500	0.9264	-nan	0.9264	0.923845	0.0143255	0	0.1678	-nan	0.1678	0.170254	0.0123695	0	0.6716	-nan	0.6716	0.672493	0.0118294	0
600	0.9157	-nan	0.9157	0.913855	0.0121801	0	0.1719	-nan	0.1719	0.175365	0.0120483	0	0.6726	-nan	0.6726	0.667271	0.0134068	0
700	0.9019	-nan	0.9019	0.90046	0.0165709	0	0.1963	-nan	0.1963	0.188408	0.0125561	0	0.6647	-nan	0.6647	0.671118	0.0137542	0
800	0.9007	-nan	0.9007	0.90245	0.0137713	0	0.2047	-nan	0.2047	0.209854	0.0151473	0	0.6664	-nan	0.6664	0.663688	0.0142141	0
900	0.8821	-nan	0.8821	0.883138	0.0249431	0	0.2477	-nan	0.2477	0.242551	0.0143153	0	0.6513	-nan	0.6513	0.655006	0.0155582	0
1000	0.8796	-nan	0.8796	0.874309	0.027146	0	0.2546	-nan	0.2546	0.251449	0.0115799	0	0.6641	-nan	0.6641	0.667042	0.021449	0
1100	0.8599	-nan	0.8599	0.86229	0.0269423	0	0.2601	-nan	0.2601	0.258085	0.0122292	0	0.6711	-nan	0.6711	0.670014	0.0205295	0
1200	0.8486	-nan	0.8486	0.847404	0.0301539	0	0.2603	-nan	0.2603	0.271573	0.0159829	0	0.6798	-nan	0.6798	0.67672	0.0180007	0
1300	0.8366	-nan	0.8366	0.834164	0.0281821	0	0.2839	-nan	0.2839	0.282873	0.0198255	0	0.6811	-nan	0.6811	0.677984	0.0155903	0
1400	0.8262	-nan	0.8262	0.821563	0.0289286	0	0.3226	-nan	0.3226	0.3256	0.0246835	0	0.6753	-nan	0.6753	0.679217	0.0152838	0
1500	0.8062	-nan	0.8062	0.810499	0.0283414	0	0.3535	-nan	0.3535	0.347018	0.0176439	0	0.6814	-nan	0.6814	0.678941	0.0149877	0
1600	0.8034	-nan	0.8034	0.805139	0.0256834	0	0.3549	-nan	0.3549	0.355944	0.0177945	0	0.6821	-nan	0.6821	0.680578	0.0208667	0
