Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0.05	0	0.05	0.05	7.07767e-16	0	0.67	0	0.67	0.67	5.77316e-15	0
100	0.5014	0.470406	0.954688	0.954911	0.0129375	0.921	0.4349	0.738393	0.0486364	0.0499078	0.00793914	0.572	0.5826	0.365283	0.660952	0.66829	0.0114621	0.266
200	0.501	0.47418	0.961818	0.955952	0.0104745	0.945	0.4176	0.758476	0.0408421	0.0423192	0.0100675	0.506	0.4979	0.439973	0.652941	0.661706	0.0193672	0.735
300	0.5087	0.461921	0.959574	0.947474	0.0129538	0.908	0.4286	0.749458	0.0300448	0.0325325	0.0151866	0.554	0.5057	0.488525	0.690588	0.675754	0.0148056	0.906
400	0.491	0.46841	0.981818	0.960441	0.022165	0.96	0.4179	0.745772	0.0267544	0.0284597	0.0168624	0.573	0.4934	0.47305	0.632031	0.649429	0.0227574	0.878
500	0.5124	0.480835	0.959091	0.966276	0.0173302	0.941	0.4516	0.712097	0.0265789	0.0245194	0.0169054	0.604	0.5137	0.498993	0.637736	0.655368	0.0219529	0.892
600	0.4888	0.443388	0.977647	0.968145	0.0209057	0.923	0.4196	0.768411	0.0182796	0.016117	0.0103955	0.552	0.5028	0.473127	0.659748	0.647649	0.0223503	0.848
700	0.4852	0.435683	0.973913	0.967516	0.0232453	0.911	0.4435	0.725125	0.0192982	0.0176905	0.0124887	0.593	0.4925	0.478895	0.622105	0.642898	0.0190797	0.915
800	0.5044	0.467853	0.968493	0.962131	0.0241118	0.926	0.4165	0.765543	0.0165236	0.0161046	0.00993739	0.553	0.4975	0.471562	0.654225	0.647508	0.013685	0.88
900	0.5069	0.470011	0.975342	0.970847	0.0260456	0.927	0.4355	0.718687	0.0211823	0.0213203	0.0124247	0.547	0.5158	0.4973	0.663964	0.656369	0.0168154	0.899
1000	0.4994	0.449002	0.963265	0.962076	0.0181399	0.918	0.4208	0.750272	0.0164811	0.0184271	0.0137267	0.56	0.5002	0.484344	0.654839	0.665391	0.0117316	0.896
1100	0.5117	0.468894	0.96092	0.963422	0.0135825	0.921	0.4292	0.750883	0.00967742	0.00797291	0.0100406	0.578	0.5127	0.496158	0.682022	0.6689	0.015315	0.931
1200	0.4945	0.454783	0.95125	0.952311	0.0189505	0.908	0.438	0.74161	0.0117788	0.0101097	0.0105056	0.569	0.5194	0.508155	0.673529	0.669176	0.023977	0.93
1300	0.5259	0.506276	0.952273	0.955796	0.0128919	0.957	0.4346	0.766845	0.0100228	0.00793537	0.00833893	0.56	0.4997	0.479101	0.666364	0.660398	0.0157378	0.888
1400	0.488	0.450054	0.956	0.952706	0.00839785	0.935	0.4438	0.761938	0.00805687	0.00867486	0.00756978	0.574	0.4952	0.479314	0.644792	0.664224	0.0314157	0.916
1500	0.5137	0.470252	0.958427	0.956972	0.0126539	0.911	0.4168	0.75438	0.00752212	0.0084878	0.00726601	0.56	0.5109	0.497186	0.677632	0.660812	0.0384357	0.925
1600	0.4925	0.469643	0.945833	0.944501	0.0247608	0.949	0.4297	0.753641	0.012357	0.0141598	0.013288	0.55	0.5042	0.483991	0.662832	0.643471	0.0303384	0.883
1700	0.4774	0.450106	0.955556	0.956553	0.0149901	0.943	0.4103	0.772212	0.00382166	0.00389706	0.00700115	0.567	0.4889	0.469977	0.622581	0.637567	0.0265856	0.902
1800	0.5102	0.468375	0.972289	0.968859	0.015974	0.919	0.4423	0.742664	0.0046683	0.00437183	0.00582197	0.589	0.4923	0.46386	0.66	0.649629	0.0333543	0.855
1900	0.5197	0.488544	0.960606	0.963192	0.0184509	0.933	0.4298	0.753439	0.00600462	0.00491862	0.00593971	0.571	0.4837	0.465039	0.653535	0.659268	0.0219022	0.892
2000	0.5077	0.465902	0.957647	0.967367	0.0151008	0.906	0.4067	0.785049	0.00494845	0.00483776	0.00806694	0.532	0.5033	0.483716	0.636719	0.648952	0.0176128	0.871
2100	0.5068	0.472073	0.975362	0.969566	0.0139482	0.934	0.43	0.770811	0.00494382	0.00484778	0.0113327	0.554	0.5136	0.502366	0.662857	0.635387	0.0115705	0.914
2200	0.5023	0.459934	0.964286	0.964935	0.0277093	0.916	0.4147	0.78428	0.00127119	0.00121567	0.00342532	0.525	0.4887	0.457178	0.627568	0.638139	0.0135378	0.806
2300	0.5107	0.486435	0.981633	0.977915	0.0137598	0.945	0.44	0.758406	0.00567376	0.00670319	0.00747349	0.599	0.5012	0.486957	0.665	0.637	0.0187282	0.913
2400	0.5127	0.464609	0.98172	0.979521	0.0195784	0.912	0.4195	0.755154	0.00425056	0.00425759	0.00604146	0.556	0.4988	0.462897	0.631455	0.63412	0.00761873	0.792
2500	0.5065	0.476408	0.986441	0.980995	0.0157972	0.947	0.4452	0.735548	0.00603015	0.00503706	0.00670034	0.585	0.5044	0.489061	0.650526	0.631994	0.0104922	0.902
2600	0.5056	0.462704	0.979518	0.9724	0.0226004	0.924	0.4236	0.752888	0.014574	0.0150211	0.013704	0.57	0.5248	0.516266	0.617857	0.632509	0.00637636	0.908
2700	0.4923	0.461004	0.95	0.95274	0.0304179	0.932	0.418	0.757587	0.00794702	0.00633004	0.00991867	0.525	0.5085	0.483852	0.634146	0.624315	0.0199993	0.827
2800	0.5045	0.475372	0.977586	0.969622	0.0186378	0.943	0.4307	0.76962	0.0114094	0.00766725	0.00882267	0.528	0.5022	0.476683	0.628571	0.622837	0.0125085	0.828
2900	0.5075	0.460352	0.972826	0.979187	0.0101498	0.912	0.4393	0.756522	0.0101176	0.0113793	0.00918526	0.57	0.4952	0.471838	0.616049	0.620659	0.0148819	0.839
3000	0.4942	0.47249	0.965909	0.962951	0.0155785	0.956	0.4413	0.742906	0.0161446	0.0140184	0.0104582	0.596	0.5048	0.494389	0.608791	0.619821	0.0275814	0.91
3100	0.521	0.48243	0.976923	0.964252	0.0185407	0.912	0.4146	0.773624	0.0145877	0.0122127	0.00839729	0.539	0.4999	0.478819	0.633824	0.618949	0.0346126	0.854
3200	0.5077	0.471181	0.945455	0.948738	0.0241203	0.92	0.4306	0.752205	0.00946882	0.00967119	0.00830359	0.541	0.5164	0.501655	0.597403	0.589168	0.0275266	0.859
3300	0.512	0.485275	0.9625	0.955299	0.0263995	0.951	0.4283	0.769259	0.0064877	0.00628308	0.00681994	0.546	0.4984	0.475325	0.626144	0.616703	0.0279745	0.847
3400	0.5158	0.480994	0.951351	0.952865	0.0239394	0.924	0.4394	0.76042	0.0121212	0.00893189	0.011225	0.576	0.5114	0.494211	0.638655	0.62285	0.0360225	0.89
3500	0.5087	0.470793	0.950633	0.950867	0.0184811	0.927	0.4362	0.739389	0.00170316	0.00219918	0.00514221	0.588	0.4918	0.477989	0.609524	0.607563	0.0378867	0.907
3600	0.5031	0.46875	0.945833	0.944281	0.0171197	0.92	0.4323	0.774775	0.00516854	0.00423552	0.00646736	0.565	0.4987	0.474106	0.604233	0.605163	0.0234751	0.803
3700	0.5296	0.505514	0.92807	0.93272	0.0123738	0.941	0.4174	0.76044	0.00484581	0.00462118	0.00839224	0.556	0.5034	0.477538	0.599528	0.603024	0.0232366	0.827
3800	0.4975	0.458152	0.95	0.941881	0.0133265	0.92	0.4391	0.755613	0.00380048	0.00596872	0.00666529	0.57	0.4877	0.464106	0.605389	0.593681	0.0260665	0.81
3900	0.5072	0.471537	0.940789	0.938523	0.0141456	0.923	0.4212	0.744207	0.00842825	0.00699767	0.00904075	0.552	0.4903	0.473424	0.56178	0.584004	0.0213743	0.8
4000	0.5022	0.456575	0.936842	0.945016	0.0142445	0.901	0.4283	0.777596	0.00310421	0.00287702	0.00461944	0.558	0.5176	0.503947	0.587195	0.588622	0.0269075	0.84
