Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0.05	0	0.05	0.05	7.07767e-16	0	0.67	0	0.67	0.67	5.77316e-15	0
100	0.9471	-nan	0.9471	0.947475	0.00679735	0	0.0701	-nan	0.0701	0.0709155	0.00804471	0	0.6693	-nan	0.6693	0.674462	0.0107336	0
200	0.9465	-nan	0.9465	0.945632	0.0130071	0	0.108	-nan	0.108	0.11174	0.0138117	0	0.6779	-nan	0.6779	0.673575	0.0146738	0
300	0.9501	-nan	0.9501	0.944788	0.0119784	0	0.1443	-nan	0.1443	0.144366	0.0122707	0	0.6855	-nan	0.6855	0.684285	0.0206277	0
400	0.9402	-nan	0.9402	0.939448	0.0172997	0	0.1556	-nan	0.1556	0.159614	0.00743554	0	0.6837	-nan	0.6837	0.67859	0.0220019	0
500	0.927	-nan	0.927	0.925664	0.0190107	0	0.1775	-nan	0.1775	0.179347	0.0123353	0	0.685	-nan	0.685	0.684604	0.0241694	0
600	0.9138	-nan	0.9138	0.913327	0.0142485	0	0.1972	-nan	0.1972	0.201319	0.0154859	0	0.6977	-nan	0.6977	0.690643	0.021239	0
700	0.9077	-nan	0.9077	0.907584	0.0148857	0	0.2255	-nan	0.2255	0.219896	0.0117351	0	0.6984	-nan	0.6984	0.70319	0.0242541	0
800	0.9066	-nan	0.9066	0.904714	0.0217765	0	0.2394	-nan	0.2394	0.245908	0.0180914	0	0.6895	-nan	0.6895	0.686671	0.0220406	0
900	0.8916	-nan	0.8916	0.891376	0.0234867	0	0.2908	-nan	0.2908	0.281249	0.0147714	0	0.6756	-nan	0.6756	0.676937	0.0264395	0
1000	0.8696	-nan	0.8696	0.869014	0.0249567	0	0.3039	-nan	0.3039	0.299145	0.0152398	0	0.6807	-nan	0.6807	0.686407	0.0349278	0
1100	0.85	-nan	0.85	0.852486	0.0236903	0	0.328	-nan	0.328	0.327068	0.0270313	0	0.6754	-nan	0.6754	0.672953	0.0247845	0
1200	0.8403	-nan	0.8403	0.839844	0.0229627	0	0.361	-nan	0.361	0.368672	0.0191862	0	0.6755	-nan	0.6755	0.669956	0.0228281	0
