Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0.05	0	0.05	0.05	7.07767e-16	0	0.67	0	0.67	0.67	5.77316e-15	0
100	0.4971	0.476722	0.961905	0.950924	0.00545841	0.946	0.4292	0.724955	0.0512528	0.0512739	0.0103814	0.549	0.5262	0.409375	0.66557	0.675828	0.00802288	0.544
200	0.5036	0.467676	0.946667	0.951388	0.0155344	0.92	0.4214	0.74122	0.0444444	0.0468739	0.0105285	0.533	0.482	0.468353	0.660563	0.674411	0.0109027	0.928
300	0.5145	0.471257	0.98	0.95164	0.0148065	0.906	0.4287	0.759594	0.0371179	0.0357103	0.0108423	0.545	0.5039	0.485161	0.678351	0.673167	0.00918111	0.895
400	0.4923	0.470293	0.970455	0.965384	0.0118588	0.931	0.4438	0.737884	0.0275362	0.0287161	0.0137137	0.57	0.4906	0.480235	0.642188	0.678366	0.0125784	0.922
500	0.5124	0.486575	0.964815	0.968012	0.0107768	0.932	0.4282	0.745405	0.0325843	0.0328923	0.0154572	0.532	0.5208	0.50356	0.674257	0.666067	0.0207023	0.902
600	0.4821	0.437296	0.977108	0.970822	0.0117333	0.915	0.4247	0.757273	0.0182222	0.0195025	0.0226474	0.574	0.4947	0.480215	0.687143	0.678912	0.00917728	0.935
700	0.4816	0.441514	0.976	0.976166	0.0129154	0.934	0.4265	0.742806	0.0189931	0.01773	0.0188953	0.554	0.4963	0.479761	0.683951	0.676344	0.0172079	0.91
800	0.489	0.462342	0.975	0.978782	0.0193646	0.937	0.4182	0.767598	0.012959	0.0119109	0.0147505	0.532	0.4968	0.482397	0.677027	0.666711	0.0165749	0.911
900	0.5184	0.486281	0.965672	0.972004	0.0188594	0.941	0.4352	0.734701	0.013012	0.00937967	0.00700434	0.571	0.5192	0.506616	0.667949	0.664196	0.0155857	0.931
1000	0.4977	0.47898	0.958974	0.959118	0.0227375	0.952	0.4242	0.756058	0.0136465	0.0122916	0.0164543	0.557	0.4977	0.480642	0.658333	0.66634	0.0139445	0.888
1100	0.504	0.454273	0.956566	0.964515	0.0193547	0.9	0.4159	0.762873	0.0150862	0.0133203	0.0142036	0.537	0.5125	0.500656	0.64	0.668822	0.00683584	0.91
1200	0.4924	0.470576	0.955556	0.967662	0.0226922	0.948	0.4367	0.766488	0.015262	0.0147201	0.0173159	0.576	0.5157	0.494438	0.673109	0.65247	0.0184559	0.858
1300	0.5116	0.47581	0.959459	0.960658	0.012758	0.927	0.431	0.746946	0.00702576	0.00546746	0.00757756	0.574	0.4975	0.469803	0.669065	0.661793	0.0144042	0.859
1400	0.4841	0.452183	0.97541	0.963771	0.0129016	0.938	0.4358	0.751478	0.00870588	0.0103163	0.00877674	0.546	0.4992	0.479299	0.650862	0.661175	0.0167095	0.883
1500	0.5002	0.467203	0.959701	0.964722	0.0159046	0.929	0.4357	0.747405	0.00876777	0.00706208	0.0095203	0.575	0.5006	0.467857	0.642021	0.651961	0.0102794	0.831
1600	0.4958	0.468042	0.972727	0.968929	0.0166825	0.934	0.4233	0.758273	0.00382883	0.00616332	0.00882864	0.578	0.4868	0.468549	0.656701	0.652594	0.015275	0.905
1700	0.4834	0.445631	0.963014	0.968305	0.0198211	0.928	0.4301	0.772563	0.00470852	0.00564071	0.00905176	0.56	0.497	0.462726	0.663158	0.64995	0.0129852	0.824
1800	0.5163	0.472837	0.972414	0.970337	0.0239629	0.912	0.4282	0.765946	0.00696629	0.00581672	0.00895315	0.57	0.5	0.489112	0.690741	0.662923	0.0142755	0.952
1900	0.5131	0.486624	0.943103	0.960745	0.0237375	0.944	0.4124	0.776326	0.00529661	0.00482192	0.00587048	0.526	0.4827	0.462697	0.644545	0.649291	0.030385	0.884
2000	0.5122	0.472926	0.940476	0.955993	0.0302202	0.914	0.4142	0.764804	0.0075594	0.00850144	0.00932979	0.543	0.5103	0.497127	0.635789	0.64088	0.0328014	0.91
2100	0.5113	0.476082	0.939474	0.938371	0.0313541	0.922	0.4364	0.747323	0.0087886	0.0064074	0.0117011	0.56	0.5041	0.488466	0.634579	0.639299	0.028741	0.869
2200	0.5013	0.476085	0.934545	0.948757	0.0385263	0.944	0.4447	0.733721	0.00753769	0.00704329	0.00896824	0.579	0.4943	0.475658	0.6875	0.64879	0.036447	0.914
2300	0.5111	0.484942	0.94386	0.953123	0.0414941	0.944	0.4374	0.75173	0.00687204	0.00701064	0.0100678	0.563	0.5063	0.486622	0.67767	0.655001	0.020453	0.907
