Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
5000	0.599	-nan	0.599	0.599817	0.027758	0	0.5886	-nan	0.5886	0.589312	0.0244027	0	0.6115	-nan	0.6115	0.621251	0.0238203	0	0.6266	-nan	0.6266	0.628776	0.0325826	0	0.6023	-nan	0.6023	0.604497	0.0168009	0	0.636	-nan	0.636	0.629892	0.0172287	0	0.6811	-nan	0.6811	0.68218	0.0307088	0	0.6208	-nan	0.6208	0.619177	0.0315367	0	0.7007	-nan	0.7007	0.699867	0.0423044	0	0.6572	-nan	0.6572	0.667591	0.0254618	0
5500	0.6107	-nan	0.6107	0.608056	0.0227592	0	0.6002	-nan	0.6002	0.596747	0.0243069	0	0.6261	-nan	0.6261	0.622296	0.0323837	0	0.6331	-nan	0.6331	0.645828	0.0173445	0	0.6032	-nan	0.6032	0.598781	0.024383	0	0.6418	-nan	0.6418	0.63739	0.0225425	0	0.6774	-nan	0.6774	0.682141	0.0182606	0	0.6399	-nan	0.6399	0.642047	0.0307542	0	0.6578	-nan	0.6578	0.661272	0.0184426	0	0.6853	-nan	0.6853	0.683489	0.0229768	0
6000	0.6339	-nan	0.6339	0.63205	0.0141313	0	0.6373	-nan	0.6373	0.635318	0.035804	0	0.6383	-nan	0.6383	0.635159	0.0393526	0	0.6895	-nan	0.6895	0.679379	0.0211026	0	0.6253	-nan	0.6253	0.615529	0.0178806	0	0.6549	-nan	0.6549	0.662701	0.0163435	0	0.6583	-nan	0.6583	0.66301	0.0179532	0	0.6601	-nan	0.6601	0.657854	0.0374246	0	0.6476	-nan	0.6476	0.651213	0.0140591	0	0.6551	-nan	0.6551	0.653286	0.0398397	0
6500	0.6511	-nan	0.6511	0.655989	0.0266776	0	0.6301	-nan	0.6301	0.638384	0.0479072	0	0.6867	-nan	0.6867	0.693307	0.0201641	0	0.6673	-nan	0.6673	0.664801	0.014113	0	0.6222	-nan	0.6222	0.627286	0.0147711	0	0.6584	-nan	0.6584	0.661535	0.0160813	0	0.6439	-nan	0.6439	0.644838	0.0341254	0	0.6501	-nan	0.6501	0.649112	0.0450548	0	0.6507	-nan	0.6507	0.64902	0.0156852	0	0.6596	-nan	0.6596	0.655099	0.0315523	0
7000	0.6584	-nan	0.6584	0.660887	0.0226502	0	0.6943	-nan	0.6943	0.684666	0.0290712	0	0.6852	-nan	0.6852	0.693791	0.0239272	0	0.667	-nan	0.667	0.6688	0.0222092	0	0.6337	-nan	0.6337	0.635243	0.0223007	0	0.6708	-nan	0.6708	0.668845	0.0141067	0	0.6363	-nan	0.6363	0.632941	0.0540193	0	0.6884	-nan	0.6884	0.688999	0.0306086	0	0.6914	-nan	0.6914	0.69029	0.0227537	0	0.6513	-nan	0.6513	0.650005	0.0281718	0
7500	0.6364	-nan	0.6364	0.637273	0.0379962	0	0.662	-nan	0.662	0.657952	0.0217543	0	0.6752	-nan	0.6752	0.674024	0.0246143	0	0.6674	-nan	0.6674	0.665187	0.0257809	0	0.6418	-nan	0.6418	0.642303	0.0254179	0	0.668	-nan	0.668	0.669301	0.0120362	0	0.6283	-nan	0.6283	0.636967	0.0631581	0	0.6749	-nan	0.6749	0.669746	0.0299735	0	0.6889	-nan	0.6889	0.688377	0.0122234	0	0.6408	-nan	0.6408	0.6372	0.022059	0
8000	0.6497	-nan	0.6497	0.651093	0.0299064	0	0.6659	-nan	0.6659	0.660294	0.0277433	0	0.6783	-nan	0.6783	0.681803	0.0479321	0	0.6716	-nan	0.6716	0.675262	0.0202222	0	0.6533	-nan	0.6533	0.655629	0.0208123	0	0.6565	-nan	0.6565	0.655638	0.0342475	0	0.6279	-nan	0.6279	0.621314	0.0858606	0	0.6713	-nan	0.6713	0.664998	0.0176963	0	0.6931	-nan	0.6931	0.697576	0.0153488	0	0.6446	-nan	0.6446	0.645028	0.0270435	0
8500	0.6545	-nan	0.6545	0.656184	0.0187406	0	0.6918	-nan	0.6918	0.682644	0.0421436	0	0.6727	-nan	0.6727	0.666381	0.0255117	0	0.6983	-nan	0.6983	0.689341	0.0219064	0	0.6511	-nan	0.6511	0.651714	0.0311838	0	0.6551	-nan	0.6551	0.656416	0.0336596	0	0.7166	-nan	0.7166	0.716517	0.0894286	0	0.672	-nan	0.672	0.673752	0.0195986	0	0.6947	-nan	0.6947	0.68913	0.0237955	0	0.6769	-nan	0.6769	0.677733	0.0285964	0
9000	0.6635	-nan	0.6635	0.663676	0.0316614	0	0.669	-nan	0.669	0.666447	0.0518586	0	0.6704	-nan	0.6704	0.668533	0.0111055	0	0.6845	-nan	0.6845	0.688771	0.0348545	0	0.6592	-nan	0.6592	0.657429	0.0406936	0	0.6661	-nan	0.6661	0.671063	0.0582948	0	0.664	-nan	0.664	0.663698	0.107029	0	0.6738	-nan	0.6738	0.675872	0.016374	0	0.6776	-nan	0.6776	0.67908	0.0220425	0	0.6504	-nan	0.6504	0.65854	0.0723614	0
9500	0.7077	-nan	0.7077	0.699262	0.0193681	0	0.6227	-nan	0.6227	0.627734	0.0365599	0	0.6778	-nan	0.6778	0.672029	0.017867	0	0.6884	-nan	0.6884	0.688456	0.037335	0	0.6816	-nan	0.6816	0.679516	0.015638	0	0.6839	-nan	0.6839	0.686382	0.0318027	0	0.6364	-nan	0.6364	0.640421	0.123646	0	0.667	-nan	0.667	0.668156	0.0148265	0	0.6732	-nan	0.6732	0.676597	0.0235423	0	0.6648	-nan	0.6648	0.669401	0.0762923	0
10000	0.6928	-nan	0.6928	0.701845	0.0226371	0	0.6698	-nan	0.6698	0.670156	0.0169377	0	0.6471	-nan	0.6471	0.642218	0.0215354	0	0.6938	-nan	0.6938	0.687201	0.0310678	0	0.6931	-nan	0.6931	0.687942	0.00970622	0	0.6426	-nan	0.6426	0.641295	0.033909	0	0.6432	-nan	0.6432	0.648592	0.121866	0	0.6917	-nan	0.6917	0.693634	0.0199695	0	0.6806	-nan	0.6806	0.681757	0.0266946	0	0.6271	-nan	0.6271	0.634565	0.0619591	0
10500	0.6948	-nan	0.6948	0.691527	0.0248983	0	0.6941	-nan	0.6941	0.691812	0.023174	0	0.6389	-nan	0.6389	0.635872	0.0309894	0	0.6971	-nan	0.6971	0.697517	0.0283773	0	0.684	-nan	0.684	0.679242	0.016506	0	0.6364	-nan	0.6364	0.638939	0.0307852	0	0.6811	-nan	0.6811	0.687358	0.102496	0	0.6994	-nan	0.6994	0.697442	0.0132582	0	0.6873	-nan	0.6873	0.684705	0.0216799	0	0.6291	-nan	0.6291	0.635125	0.0436815	0
11000	0.6722	-nan	0.6722	0.662395	0.0425689	0	0.6888	-nan	0.6888	0.691729	0.0341633	0	0.6457	-nan	0.6457	0.644649	0.0283703	0	0.6699	-nan	0.6699	0.679781	0.0172131	0	0.666	-nan	0.666	0.66705	0.0324292	0	0.6554	-nan	0.6554	0.65795	0.0203716	0	0.7055	-nan	0.7055	0.696501	0.0736719	0	0.7029	-nan	0.7029	0.702346	0.0225414	0	0.6639	-nan	0.6639	0.658567	0.0155714	0	0.6235	-nan	0.6235	0.625322	0.0454868	0
11500	0.6709	-nan	0.6709	0.669026	0.0387881	0	0.7058	-nan	0.7058	0.70419	0.0255137	0	0.6721	-nan	0.6721	0.670538	0.0408967	0	0.67	-nan	0.67	0.670144	0.0218219	0	0.658	-nan	0.658	0.662765	0.030301	0	0.6724	-nan	0.6724	0.67516	0.0251328	0	0.6707	-nan	0.6707	0.674921	0.107514	0	0.6905	-nan	0.6905	0.687652	0.0297021	0	0.6495	-nan	0.6495	0.651071	0.0141853	0	0.6129	-nan	0.6129	0.611281	0.0469919	0
12000	0.6515	-nan	0.6515	0.654097	0.0308785	0	0.6502	-nan	0.6502	0.656201	0.0446041	0	0.6885	-nan	0.6885	0.679076	0.0504523	0	0.6867	-nan	0.6867	0.678212	0.0301348	0	0.6501	-nan	0.6501	0.651209	0.013022	0	0.6571	-nan	0.6571	0.65979	0.0170155	0	0.7012	-nan	0.7012	0.694556	0.0930956	0	0.7104	-nan	0.7104	0.702901	0.0399921	0	0.6877	-nan	0.6877	0.690884	0.020446	0	0.6775	-nan	0.6775	0.6777	0.0791396	0
12500	0.6444	-nan	0.6444	0.645901	0.0356255	0	0.6606	-nan	0.6606	0.667972	0.0157322	0	0.6649	-nan	0.6649	0.674404	0.0317891	0	0.6807	-nan	0.6807	0.680335	0.0313723	0	0.6662	-nan	0.6662	0.666909	0.0306308	0	0.6768	-nan	0.6768	0.675141	0.022038	0	0.6969	-nan	0.6969	0.688316	0.0571158	0	0.6659	-nan	0.6659	0.668558	0.0408445	0	0.6811	-nan	0.6811	0.693014	0.0196596	0	0.6367	-nan	0.6367	0.639824	0.056976	0
13000	0.6612	-nan	0.6612	0.654501	0.0284835	0	0.6643	-nan	0.6643	0.65835	0.0223568	0	0.6784	-nan	0.6784	0.676647	0.0219982	0	0.6714	-nan	0.6714	0.671005	0.0185624	0	0.6638	-nan	0.6638	0.666637	0.0393145	0	0.6753	-nan	0.6753	0.677785	0.0227165	0	0.6528	-nan	0.6528	0.658198	0.0153698	0	0.6628	-nan	0.6628	0.664006	0.0337997	0	0.687	-nan	0.687	0.694954	0.0250893	0	0.6762	-nan	0.6762	0.666729	0.119206	0
