Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
132000	0.6339	0.375439	0.649523	0.642819	0.0238769	0.043	0.4779	0.554774	0.458801	0.446569	0.484614	0.218	0.6405	0.32	0.653854	0.655615	0.0135816	0.037	0.6186	0.350909	0.63418	0.640253	0.0392343	0.056	0.6211	0.342	0.635789	0.637433	0.0222789	0.042	0.6272	0.365152	0.645717	0.643387	0.0180187	0.078	0.6188	0.356	0.632632	0.632999	0.0257007	0.051	0.6388	0.355556	0.654968	0.64832	0.0388443	0.057	0.6199	0.336364	0.639936	0.643645	0.00999973	0.062	0.6454	0.329412	0.668455	0.662133	0.281742	0.068
132500	0.6274	0.352	0.64973	0.646573	0.0212965	0.065	0.4907	0.511268	0.485133	0.485178	0.486566	0.226	0.631	0.372222	0.645772	0.64855	0.0216522	0.056	0.6488	0.358182	0.665714	0.663967	0.0138386	0.046	0.6213	0.346939	0.635436	0.640191	0.0222916	0.039	0.6496	0.319565	0.665514	0.663516	0.0261441	0.06	0.5715	0.440678	0.579702	0.583006	0.0130449	0.064	0.6414	0.361842	0.664394	0.658277	0.0136301	0.076	0.64	0.341379	0.648919	0.649528	0.0139763	0.032	0.5744	0.372	0.590811	0.584554	0.237654	0.062
133000	0.629	0.403448	0.642887	0.646957	0.0287919	0.057	0.4735	0.537452	0.451147	0.452407	0.490566	0.247	0.635	0.328846	0.651793	0.650938	0.0253635	0.048	0.652	0.311111	0.66473	0.665986	0.0178004	0.026	0.6091	0.3375	0.625212	0.631942	0.0279215	0.06	0.6495	0.319231	0.667616	0.662112	0.0181838	0.056	0.5812	0.415854	0.595969	0.59392	0.013642	0.074	0.6716	0.320588	0.683954	0.683482	0.0298558	0.043	0.6409	0.365	0.652396	0.650727	0.0167202	0.038	0.641	0.341429	0.663548	0.666041	0.248518	0.071
133500	0.6205	0.391667	0.641485	0.636564	0.0216858	0.084	0.4942	0.521687	0.485087	0.463426	0.490323	0.233	0.6205	0.376786	0.634958	0.636343	0.0233272	0.057	0.6563	0.33125	0.678526	0.681253	0.0240211	0.065	0.5938	0.384848	0.608565	0.606833	0.0435853	0.064	0.6394	0.341791	0.660772	0.661375	0.0166448	0.061	0.5778	0.410811	0.591145	0.598368	0.0173413	0.063	0.6978	0.307576	0.725375	0.719902	0.0217255	0.065	0.6205	0.358667	0.64173	0.643198	0.0143113	0.071	0.6036	0.39375	0.630068	0.643559	0.265474	0.11
134000	0.6129	0.367742	0.629104	0.627589	0.0241903	0.063	0.4842	0.551915	0.463399	0.453472	0.493325	0.229	0.6355	0.34898	0.650263	0.65048	0.0234429	0.033	0.6506	0.335849	0.668215	0.676968	0.0330423	0.062	0.6334	0.346875	0.652991	0.655309	0.0220995	0.061	0.666	0.30625	0.677893	0.68279	0.0171941	0.039	0.5955	0.405063	0.611835	0.604147	0.028501	0.091	0.6985	0.247297	0.734557	0.726317	0.0289664	0.071	0.6384	0.366	0.652737	0.65225	0.0144541	0.054	0.6444	0.357812	0.663996	0.67337	0.258849	0.071
134500	0.6013	0.37284	0.621436	0.618005	0.025514	0.095	0.4774	0.55124	0.453826	0.42862	0.489395	0.253	0.6511	0.349057	0.668004	0.667393	0.0242258	0.053	0.6649	0.342105	0.684411	0.687617	0.0363538	0.045	0.6513	0.295455	0.676445	0.671088	0.0339583	0.058	0.6602	0.315152	0.671975	0.674121	0.0137161	0.049	0.5651	0.381034	0.576433	0.582739	0.0364636	0.058	0.6878	0.267241	0.713694	0.713812	0.0387651	0.062	0.669	0.317241	0.679506	0.681073	0.0309014	0.023	0.6483	0.317143	0.673226	0.675109	0.273281	0.074
135000	0.6154	0.393023	0.625392	0.625444	0.0255009	0.039	0.4571	0.559144	0.421803	0.425618	0.484233	0.24	0.6394	0.368293	0.650991	0.653422	0.0314687	0.037	0.6257	0.363158	0.641569	0.640087	0.0470923	0.055	0.6341	0.368519	0.64926	0.645281	0.0272309	0.045	0.6348	0.365217	0.647799	0.658409	0.0129659	0.057	0.5998	0.389062	0.614209	0.612724	0.0188845	0.07	0.6553	0.336667	0.675638	0.679326	0.0180759	0.054	0.6697	0.3	0.695824	0.683607	0.0252062	0.052	0.6242	0.373437	0.641346	0.645315	0.266834	0.062
135500	0.5929	0.371111	0.603351	0.608593	0.0122357	0.042	0.4495	0.590244	0.403581	0.38499	0.482401	0.249	0.6367	0.35098	0.652055	0.6415	0.0243124	0.06	0.6233	0.382	0.636	0.637352	0.0195314	0.058	0.6153	0.380769	0.628165	0.636873	0.039122	0.061	0.6423	0.325	0.668398	0.661876	0.0279883	0.077	0.6095	0.372059	0.626824	0.62169	0.0252012	0.074	0.6541	0.348718	0.666493	0.665382	0.0313719	0.041	0.6169	0.33	0.632	0.633154	0.0209634	0.06	0.628	0.356897	0.644692	0.633433	0.274204	0.042
136000	0.6009	0.39322	0.613921	0.619782	0.0249002	0.056	0.4646	0.531579	0.444819	0.425971	0.48958	0.239	0.6396	0.310638	0.655824	0.650611	0.0233799	0.049	0.6131	0.374468	0.624869	0.621952	0.0306303	0.043	0.6571	0.302381	0.689629	0.694442	0.0554721	0.082	0.6642	0.329032	0.686354	0.689185	0.0192746	0.073	0.6087	0.356098	0.619499	0.612388	0.0160433	0.041	0.6551	0.346269	0.677278	0.686949	0.0333824	0.066	0.6022	0.369231	0.618396	0.633338	0.0283402	0.058	0.6142	0.373	0.641	0.620437	0.287604	0.109
136500	0.6021	0.397436	0.610406	0.605144	0.0250772	0.053	0.4865	0.524309	0.478144	0.510253	0.483376	0.2	0.6466	0.318367	0.663512	0.670394	0.0337086	0.056	0.6055	0.401562	0.619444	0.608932	0.0218389	0.064	0.6449	0.334328	0.667203	0.674942	0.0475476	0.055	0.6788	0.314286	0.700424	0.700013	0.0143822	0.058	0.5954	0.37125	0.614891	0.624644	0.0148804	0.085	0.6642	0.316949	0.685972	0.693154	0.0348721	0.06	0.6264	0.396491	0.640297	0.64148	0.031583	0.055	0.5753	0.40283	0.595749	0.610812	0.289138	0.104
137000	0.5862	0.383636	0.597989	0.603185	0.0533217	0.049	0.4813	0.522973	0.469409	0.477163	0.492754	0.219	0.6603	0.306818	0.676569	0.674257	0.028287	0.038	0.6209	0.351667	0.638085	0.64916	0.0331083	0.057	0.656	0.304412	0.681652	0.681581	0.0578781	0.081	0.6642	0.303333	0.687234	0.694843	0.0123646	0.053	0.6274	0.364063	0.645406	0.641722	0.0311337	0.062	0.6443	0.34	0.662011	0.654778	0.022239	0.054	0.6339	0.343939	0.65439	0.658925	0.0322193	0.068	0.6312	0.342529	0.658708	0.680147	0.299286	0.094
137500	0.6289	0.35303	0.648394	0.64555	0.0555599	0.064	0.4568	0.589723	0.41178	0.401204	0.482072	0.26	0.6596	0.323529	0.677661	0.677676	0.031652	0.043	0.6367	0.375	0.654594	0.65155	0.023311	0.066	0.6119	0.363736	0.636744	0.640917	0.0394023	0.083	0.6835	0.343137	0.701791	0.699378	0.020654	0.06	0.6251	0.373333	0.64117	0.639423	0.04255	0.059	0.6311	0.345614	0.648356	0.652006	0.0228706	0.062	0.6306	0.332813	0.650962	0.653558	0.035471	0.07	0.5999	0.363218	0.622453	0.637333	0.319661	0.088
138000	0.6426	0.315714	0.667204	0.667212	0.0185135	0.066	0.5552	0.41844	0.577648	0.586484	0.482551	0.158	0.6519	0.337778	0.666702	0.662799	0.0196728	0.059	0.6332	0.361111	0.648732	0.64419	0.0433203	0.06	0.5908	0.37037	0.603383	0.60651	0.016773	0.061	0.6743	0.320455	0.690586	0.690141	0.0248473	0.054	0.6102	0.372727	0.630011	0.631194	0.0601804	0.078	0.6607	0.358065	0.670382	0.66952	0.0236123	0.033	0.6645	0.322059	0.689485	0.684847	0.0568798	0.071	0.596	0.397674	0.614661	0.622687	0.323938	0.08
138500	0.6592	0.326667	0.674869	0.676409	0.0265027	0.043	0.4485	0.585425	0.403586	0.395028	0.470837	0.243	0.6583	0.340741	0.676427	0.672443	0.0178473	0.059	0.6215	0.368293	0.632325	0.626461	0.0774007	0.032	0.5873	0.384091	0.596653	0.594341	0.0173406	0.05	0.6703	0.3	0.68938	0.684221	0.0399618	0.048	0.6589	0.341791	0.681672	0.670989	0.0205497	0.082	0.6263	0.344444	0.654176	0.657051	0.020469	0.078	0.6336	0.354054	0.644341	0.642969	0.0740496	0.035	0.6043	0.368852	0.637016	0.635708	0.328323	0.108
139000	0.6193	0.35	0.647241	0.643686	0.0337232	0.106	0.5006	0.509091	0.497889	0.480493	0.485868	0.236	0.6652	0.311628	0.681087	0.685161	0.0320925	0.043	0.6379	0.318056	0.662716	0.672671	0.0642819	0.069	0.5834	0.411864	0.594155	0.591233	0.0237457	0.064	0.6557	0.381159	0.676047	0.674116	0.0797536	0.075	0.6493	0.33	0.669681	0.661265	0.0142752	0.061	0.6582	0.330233	0.672936	0.667919	0.0292231	0.036	0.6321	0.389796	0.644585	0.646387	0.106419	0.044	0.5674	0.412081	0.594595	0.59296	0.322997	0.156
139500	0.6324	0.344828	0.650106	0.649291	0.033214	0.057	0.4907	0.537768	0.476402	0.493729	0.493378	0.243	0.624	0.361404	0.639873	0.640797	0.0221437	0.055	0.6392	0.329231	0.660749	0.665235	0.0509778	0.066	0.5887	0.424	0.602054	0.60205	0.043425	0.071	0.6559	0.327273	0.671025	0.658303	0.0459848	0.041	0.6279	0.335593	0.646227	0.653309	0.023337	0.062	0.6225	0.338889	0.644504	0.64459	0.010103	0.056	0.6017	0.372857	0.618925	0.621966	0.117109	0.062	0.5976	0.334211	0.644811	0.620115	0.331183	0.145
140000	0.643	0.356322	0.670318	0.669511	0.0234353	0.105	0.4748	0.554936	0.450456	0.467463	0.495262	0.245	0.6099	0.358667	0.63027	0.633186	0.0132105	0.054	0.6437	0.326316	0.662884	0.658596	0.0573243	0.05	0.5989	0.364706	0.611486	0.611216	0.0193495	0.044	0.6404	0.348837	0.667834	0.664423	0.0166096	0.081	0.6317	0.324615	0.653048	0.654161	0.0338734	0.075	0.6104	0.316667	0.62521	0.628162	0.02366	0.047	0.6307	0.358333	0.655677	0.654751	0.138871	0.081	0.6157	0.359821	0.647973	0.63275	0.366567	0.107
140500	0.6499	0.279452	0.679072	0.687742	0.0225768	0.072	0.4662	0.556985	0.43228	0.41871	0.486244	0.263	0.6179	0.38254	0.633725	0.630994	0.0143704	0.062	0.6668	0.30678	0.689373	0.693695	0.0469467	0.054	0.6398	0.374468	0.652886	0.652923	0.0224566	0.053	0.6696	0.316667	0.685073	0.696622	0.022873	0.054	0.6383	0.34375	0.65844	0.654164	0.0252714	0.064	0.624	0.329787	0.63851	0.636458	0.0341716	0.049	0.6665	0.313043	0.692696	0.695177	0.131882	0.085	0.5967	0.386792	0.621588	0.619489	0.375599	0.096
141000	0.6461	0.337113	0.679291	0.688052	0.0230035	0.089	0.4609	0.579693	0.418945	0.442409	0.489727	0.261	0.5871	0.396774	0.593189	0.598344	0.0216847	0.038	0.6372	0.325	0.662879	0.6659	0.0205458	0.064	0.6609	0.339437	0.685468	0.680418	0.0189899	0.054	0.6504	0.312222	0.683846	0.672798	0.0398842	0.087	0.6307	0.364912	0.646766	0.641517	0.0358198	0.06	0.627	0.342308	0.642616	0.636478	0.0373504	0.044	0.6183	0.4	0.630761	0.616682	0.134024	0.052	0.5665	0.398291	0.588788	0.590444	0.382504	0.119
141500	0.6536	0.310127	0.683062	0.677545	0.0139365	0.085	0.4975	0.485714	0.500766	0.480671	0.491742	0.199	0.5949	0.356522	0.606394	0.603927	0.0147803	0.034	0.6505	0.32766	0.666422	0.660107	0.0225438	0.053	0.6422	0.35942	0.663158	0.657808	0.0219282	0.057	0.6083	0.369231	0.618002	0.62123	0.046287	0.041	0.631	0.327451	0.647313	0.647385	0.0468715	0.037	0.6274	0.366667	0.64316	0.635676	0.0290879	0.078	0.5802	0.385714	0.594839	0.592601	0.133478	0.074	0.5985	0.380822	0.635714	0.628726	0.391901	0.138
142000	0.6372	0.33908	0.665608	0.667118	0.0283706	0.099	0.5166	0.482845	0.527201	0.496096	0.485875	0.226	0.6029	0.408333	0.615319	0.613495	0.0225169	0.058	0.647	0.306522	0.663417	0.6695	0.0298465	0.046	0.6139	0.376667	0.629043	0.635965	0.0193714	0.05	0.6178	0.398214	0.630826	0.636924	0.0347859	0.063	0.6373	0.354545	0.657281	0.65194	0.049331	0.068	0.6311	0.371429	0.652763	0.654693	0.0197785	0.067	0.6148	0.34375	0.63837	0.636078	0.121051	0.087	0.5902	0.405426	0.617566	0.627496	0.385189	0.122
142500	0.6581	0.318841	0.683244	0.683597	0.0171575	0.08	0.5184	0.481081	0.526871	0.505476	0.488807	0.186	0.599	0.398462	0.612941	0.609735	0.020169	0.067	0.6447	0.307246	0.66971	0.668353	0.0379243	0.07	0.6147	0.376056	0.632939	0.637443	0.0412321	0.07	0.6136	0.377966	0.628374	0.632898	0.0158577	0.049	0.5865	0.443182	0.593096	0.596905	0.0235667	0.041	0.6516	0.368116	0.67261	0.668457	0.0322033	0.062	0.6137	0.361957	0.639207	0.639292	0.142988	0.107	0.5444	0.426316	0.565566	0.577541	0.400326	0.142
143000	0.6531	0.295122	0.668405	0.676286	0.0125086	0.052	0.4823	0.525397	0.467781	0.466722	0.490845	0.241	0.6284	0.361364	0.64069	0.634461	0.0331757	0.045	0.6484	0.37069	0.665499	0.661965	0.0331947	0.064	0.6258	0.359677	0.64339	0.64539	0.0266766	0.074	0.6127	0.343103	0.629299	0.635702	0.0097535	0.041	0.5957	0.353125	0.603719	0.607112	0.031527	0.041	0.6384	0.355556	0.651728	0.661679	0.0384354	0.048	0.6388	0.318519	0.667029	0.672234	0.178332	0.091	0.5621	0.408148	0.586127	0.601939	0.415653	0.134
143500	0.6375	0.33	0.660645	0.658803	0.0144457	0.063	0.5263	0.468571	0.541646	0.534034	0.491419	0.192	0.5996	0.427273	0.607531	0.603748	0.0191814	0.038	0.638	0.32	0.654737	0.660824	0.0129136	0.051	0.5944	0.38	0.605684	0.614043	0.04069	0.048	0.6149	0.386486	0.623676	0.617052	0.0304775	0.04	0.6083	0.424691	0.624483	0.621787	0.0145925	0.076	0.6293	0.339437	0.651453	0.652884	0.0380817	0.068	0.6379	0.340741	0.654863	0.654651	0.171248	0.053	0.5422	0.44712	0.564648	0.562904	0.438026	0.191
144000	0.6367	0.32	0.653368	0.656184	0.0238548	0.058	0.4837	0.559661	0.451915	0.420896	0.479237	0.299	0.5974	0.367308	0.610021	0.608386	0.0181796	0.053	0.6354	0.351064	0.649423	0.647155	0.0229908	0.053	0.6135	0.34	0.624896	0.627407	0.0258742	0.038	0.6152	0.373214	0.629555	0.629876	0.0302653	0.056	0.6441	0.32973	0.656179	0.64638	0.0201438	0.036	0.6465	0.313846	0.669626	0.668793	0.0506716	0.051	0.6547	0.303704	0.685637	0.669339	0.173844	0.075	0.5377	0.461006	0.5522	0.556706	0.440093	0.165
144500	0.6286	0.363636	0.650704	0.641998	0.0206827	0.085	0.4611	0.589272	0.415832	0.419112	0.476388	0.264	0.6143	0.405172	0.627176	0.632667	0.0229722	0.043	0.6363	0.366102	0.653241	0.651365	0.0277557	0.058	0.6104	0.38	0.622526	0.61502	0.0278098	0.04	0.6583	0.344444	0.673089	0.673419	0.0381691	0.052	0.6284	0.36875	0.646154	0.64604	0.0314212	0.058	0.6138	0.385106	0.625079	0.624833	0.0165359	0.056	0.634	0.312308	0.656364	0.655998	0.186712	0.06	0.5187	0.460843	0.530216	0.531283	0.432883	0.161
145000	0.6181	0.363366	0.646719	0.645513	0.024648	0.101	0.4501	0.561033	0.420076	0.447674	0.482472	0.206	0.6325	0.331481	0.649683	0.649458	0.0262605	0.051	0.6318	0.368	0.645684	0.647507	0.0324572	0.048	0.6232	0.3725	0.633646	0.630051	0.0389731	0.036	0.5977	0.383051	0.611158	0.619558	0.0364904	0.062	0.6183	0.395455	0.628556	0.623105	0.0359247	0.036	0.6151	0.417857	0.626801	0.623911	0.0187136	0.058	0.616	0.377632	0.635606	0.635178	0.205527	0.075	0.5761	0.395	0.615854	0.602505	0.442786	0.178
145500	0.6152	0.405769	0.626688	0.626374	0.0341318	0.053	0.4791	0.539111	0.461677	0.484798	0.489717	0.241	0.6345	0.355102	0.648896	0.642553	0.0347946	0.056	0.6095	0.329167	0.623634	0.624463	0.0444275	0.048	0.639	0.371212	0.657923	0.654451	0.03414	0.07	0.6099	0.386567	0.625938	0.629306	0.0271723	0.072	0.6144	0.345714	0.624145	0.6268	0.0131194	0.048	0.6265	0.393103	0.64087	0.640031	0.0360233	0.055	0.6502	0.304545	0.683553	0.690013	0.196754	0.095	0.5452	0.42426	0.569795	0.552343	0.446184	0.164
146000	0.6151	0.390244	0.624713	0.626785	0.0304988	0.04	0.4802	0.518841	0.470113	0.468582	0.485715	0.2	0.6416	0.329688	0.662927	0.658483	0.0174986	0.072	0.6377	0.30137	0.664186	0.665246	0.0173562	0.064	0.6326	0.356863	0.647418	0.648417	0.0333743	0.056	0.6172	0.35122	0.628571	0.631484	0.0537191	0.049	0.6361	0.381395	0.647544	0.647046	0.0167722	0.044	0.6297	0.349474	0.659116	0.660139	0.0593727	0.072	0.6235	0.375	0.640491	0.634567	0.195448	0.054	0.5087	0.478866	0.515881	0.493868	0.460693	0.193
146500	0.5959	0.42	0.607128	0.605327	0.0238485	0.052	0.5174	0.488991	0.52532	0.509305	0.493358	0.225	0.6543	0.308955	0.6791	0.677171	0.0275246	0.063	0.627	0.356962	0.650163	0.659045	0.0233051	0.065	0.6324	0.355357	0.648835	0.645938	0.0401322	0.064	0.604	0.390323	0.618124	0.619247	0.0562605	0.075	0.6229	0.366216	0.643413	0.637385	0.0181172	0.069	0.6231	0.367123	0.643258	0.634866	0.0604318	0.084	0.6565	0.280899	0.693194	0.686039	0.212864	0.097	0.5354	0.473529	0.551256	0.548705	0.460586	0.189
147000	0.6006	0.410127	0.616938	0.61389	0.0148076	0.078	0.4477	0.600386	0.394332	0.386309	0.482042	0.258	0.6546	0.330986	0.679333	0.683584	0.0239782	0.071	0.6179	0.386905	0.639083	0.645361	0.0381377	0.079	0.6396	0.327083	0.655357	0.66063	0.0300118	0.06	0.6032	0.383871	0.610217	0.612085	0.0541109	0.036	0.6379	0.336	0.653789	0.657389	0.0177406	0.064	0.6097	0.373333	0.620838	0.629365	0.0295035	0.052	0.6305	0.373239	0.650161	0.65139	0.239799	0.081	0.4577	0.536649	0.439061	0.463513	0.461178	0.212
147500	0.5952	0.349123	0.610074	0.611583	0.0212516	0.067	0.5113	0.481026	0.518634	0.508859	0.492052	0.207	0.6675	0.326786	0.687712	0.678446	0.0216397	0.061	0.5914	0.381034	0.604352	0.617468	0.0482733	0.059	0.6301	0.336585	0.656318	0.660244	0.0238762	0.082	0.6299	0.355357	0.646186	0.63809	0.0447903	0.063	0.6086	0.368254	0.62476	0.62468	0.0204473	0.062	0.6215	0.3725	0.631875	0.634435	0.031923	0.034	0.61	0.376812	0.627282	0.640823	0.256234	0.051	0.5313	0.473	0.545875	0.522247	0.486307	0.175
148000	0.5934	0.431169	0.606934	0.601648	0.0148149	0.064	0.4918	0.501953	0.488306	0.466067	0.487423	0.252	0.6434	0.318182	0.654498	0.65922	0.0155034	0.028	0.6302	0.347273	0.646667	0.643553	0.0356276	0.045	0.6247	0.37907	0.647812	0.644731	0.0251172	0.078	0.6526	0.355	0.665	0.664699	0.0263801	0.043	0.6299	0.328571	0.643111	0.644845	0.0207886	0.041	0.6044	0.380488	0.613973	0.61121	0.0182132	0.033	0.6127	0.344444	0.633513	0.654495	0.251294	0.087	0.4259	0.626866	0.352322	0.378332	0.477382	0.264
148500	0.5984	0.42439	0.605839	0.604809	0.0173937	0.036	0.5215	0.492241	0.530339	0.502571	0.489326	0.235	0.6449	0.322857	0.66914	0.669276	0.0230337	0.068	0.5876	0.40678	0.598937	0.604803	0.0326481	0.05	0.6382	0.368421	0.648857	0.650929	0.0231558	0.038	0.6641	0.309434	0.683949	0.676942	0.014488	0.05	0.5968	0.380357	0.60964	0.603336	0.0221607	0.057	0.6089	0.386441	0.622848	0.625297	0.0194332	0.042	0.6024	0.373984	0.634436	0.632901	0.254056	0.117	0.482	0.488571	0.480606	0.497122	0.492475	0.194
149000	0.5893	0.398305	0.601275	0.601694	0.0257894	0.051	0.4883	0.518819	0.476955	0.492663	0.493406	0.262	0.6737	0.358974	0.686472	0.679391	0.0113893	0.041	0.6173	0.376	0.636865	0.640727	0.043812	0.083	0.6505	0.311111	0.676832	0.680465	0.0321273	0.073	0.615	0.358824	0.624017	0.638436	0.0303055	0.044	0.6	0.403636	0.611429	0.606437	0.0295861	0.064	0.6247	0.357576	0.633816	0.633425	0.0219476	0.036	0.6434	0.337383	0.680067	0.671575	0.240464	0.106	0.4659	0.55704	0.430982	0.424695	0.488894	0.269
149500	0.5944	0.379592	0.605468	0.603259	0.0131352	0.05	0.4943	0.512987	0.488687	0.484587	0.485492	0.221	0.6432	0.314706	0.667167	0.665575	0.0159215	0.069	0.6071	0.330233	0.61954	0.620754	0.0280158	0.041	0.654	0.307246	0.679699	0.683053	0.0247163	0.066	0.6437	0.34902	0.659536	0.656351	0.0272251	0.057	0.5959	0.404348	0.610097	0.607767	0.0344069	0.075	0.6399	0.322917	0.655882	0.658368	0.0206461	0.054	0.6703	0.303704	0.691226	0.685946	0.235712	0.065	0.4608	0.584858	0.403221	0.408709	0.482033	0.315
150000	0.6038	0.406154	0.61754	0.613805	0.0196554	0.074	0.4919	0.488496	0.492894	0.472099	0.495509	0.227	0.6507	0.341667	0.670426	0.66787	0.0220935	0.061	0.6242	0.384906	0.637592	0.641626	0.0371075	0.046	0.6434	0.355556	0.659831	0.658534	0.0407881	0.059	0.6146	0.373214	0.628919	0.632237	0.0395694	0.06	0.6023	0.378	0.614105	0.612053	0.0436283	0.043	0.6264	0.373684	0.641676	0.634988	0.0262553	0.041	0.6239	0.353165	0.647123	0.638512	0.247023	0.078	0.448	0.579021	0.395518	0.416694	0.48387	0.259
150500	0.5928	0.383824	0.608047	0.605671	0.0314246	0.074	0.4996	0.508629	0.497385	0.507095	0.48352	0.177	0.6352	0.349057	0.651214	0.655009	0.0258339	0.045	0.6291	0.351429	0.65	0.651923	0.0184536	0.075	0.6421	0.304878	0.656517	0.663754	0.0581896	0.054	0.6253	0.407692	0.637236	0.63776	0.028407	0.048	0.6305	0.333333	0.643528	0.639724	0.0249786	0.042	0.6168	0.39	0.628737	0.626089	0.0204731	0.044	0.5645	0.436842	0.569543	0.586432	0.218771	0.035	0.4314	0.60662	0.36087	0.363544	0.4714	0.287
151000	0.6149	0.395833	0.620287	0.619031	0.0354812	0.032	0.4432	0.582143	0.389167	0.369662	0.472292	0.269	0.6376	0.321277	0.6532	0.657125	0.0276236	0.047	0.624	0.362791	0.648578	0.644387	0.0249182	0.09	0.6291	0.393617	0.640714	0.648323	0.0452989	0.043	0.6059	0.34	0.621376	0.625449	0.033447	0.047	0.643	0.324138	0.662633	0.656603	0.0228205	0.057	0.6148	0.414	0.625368	0.623339	0.037362	0.053	0.6073	0.359091	0.624839	0.616761	0.241478	0.054	0.5411	0.446	0.564875	0.561253	0.478766	0.198
151500	0.5968	0.413725	0.606639	0.607839	0.0429678	0.047	0.4784	0.521834	0.465499	0.473427	0.487723	0.231	0.6589	0.31087	0.675681	0.680589	0.0347584	0.048	0.5965	0.442553	0.604092	0.606245	0.0225628	0.048	0.6458	0.331373	0.662698	0.671818	0.0638247	0.047	0.6392	0.331429	0.662366	0.662703	0.0479122	0.075	0.6254	0.368421	0.640933	0.64565	0.0143672	0.06	0.6155	0.381132	0.628617	0.632458	0.0246855	0.06	0.6171	0.318571	0.63957	0.645246	0.238573	0.08	0.5133	0.483684	0.520247	0.537242	0.485353	0.198
152000	0.5847	0.39434	0.595354	0.59659	0.0478588	0.04	0.4731	0.52717	0.453605	0.472024	0.491673	0.262	0.6396	0.330508	0.65898	0.665491	0.0384454	0.08	0.5991	0.375556	0.609634	0.613819	0.0160581	0.044	0.6401	0.333898	0.659299	0.65949	0.0521754	0.05	0.6659	0.326087	0.682285	0.687148	0.0561454	0.051	0.6352	0.371667	0.652021	0.652736	0.0150464	0.052	0.6008	0.373214	0.614301	0.617013	0.028524	0.061	0.6397	0.354878	0.665142	0.665697	0.244441	0.09	0.5052	0.488325	0.50934	0.523774	0.486188	0.227
152500	0.618	0.410667	0.634811	0.627638	0.0140273	0.056	0.4648	0.576103	0.423214	0.428131	0.480583	0.263	0.6249	0.357812	0.643162	0.642874	0.0283681	0.059	0.6266	0.380882	0.644528	0.649029	0.025563	0.064	0.6372	0.377941	0.656116	0.65551	0.0227038	0.063	0.6384	0.320455	0.653033	0.657991	0.0658754	0.048	0.6249	0.348936	0.63851	0.647022	0.0168838	0.045	0.5925	0.388372	0.601672	0.59611	0.0149821	0.053	0.641	0.3275	0.668261	0.669208	0.261509	0.081	0.4397	0.608051	0.387696	0.394905	0.483178	0.249
153000	0.6411	0.368627	0.655743	0.652619	0.0221315	0.063	0.4676	0.559109	0.437583	0.445472	0.48971	0.246	0.621	0.3475	0.644783	0.647007	0.018987	0.076	0.6194	0.364286	0.630585	0.629804	0.0254217	0.034	0.611	0.377143	0.628602	0.631347	0.0212328	0.065	0.6358	0.369231	0.650422	0.651988	0.0748142	0.056	0.6082	0.323077	0.628021	0.633008	0.0262959	0.056	0.5663	0.438	0.573053	0.577701	0.0184133	0.048	0.6245	0.332692	0.658371	0.655461	0.257995	0.118	0.4936	0.533333	0.480637	0.486297	0.494641	0.229
153500	0.6509	0.303922	0.669547	0.670271	0.0276032	0.046	0.518	0.469725	0.531458	0.564989	0.489715	0.203	0.626	0.365957	0.638825	0.637419	0.040099	0.049	0.629	0.381633	0.641746	0.642772	0.0343069	0.053	0.6233	0.342373	0.640914	0.631295	0.0251809	0.067	0.6438	0.323077	0.656816	0.649077	0.118137	0.059	0.6508	0.354167	0.665756	0.657454	0.0481556	0.051	0.5987	0.397727	0.60795	0.612033	0.0236678	0.046	0.6126	0.36	0.627302	0.627465	0.247318	0.055	0.4778	0.540376	0.460864	0.478061	0.494026	0.208
154000	0.6304	0.336066	0.649521	0.659268	0.0420849	0.053	0.5052	0.487805	0.509686	0.51936	0.489658	0.222	0.6216	0.294118	0.633126	0.632717	0.0234414	0.038	0.62	0.353125	0.648341	0.648874	0.0154048	0.099	0.5874	0.441026	0.599783	0.603887	0.0157776	0.081	0.626	0.350909	0.642011	0.648241	0.13268	0.051	0.6266	0.372222	0.6361	0.633575	0.0285421	0.032	0.6263	0.366667	0.639391	0.635748	0.0286964	0.048	0.6058	0.345205	0.626321	0.636986	0.265514	0.059	0.4385	0.599561	0.390933	0.381172	0.475001	0.251
