Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0.05	0	0.05	0.05	7.07767e-16	0	0.67	0	0.67	0.67	5.77316e-15	0
100	0.9506	-nan	0.9506	0.951182	0.00713367	0	0.0651	-nan	0.0651	0.0657406	0.00803876	0	0.6629	-nan	0.6629	0.668343	0.0113176	0
200	0.9473	-nan	0.9473	0.945289	0.0123635	0	0.0988	-nan	0.0988	0.10613	0.0059409	0	0.6814	-nan	0.6814	0.678351	0.014276	0
300	0.9383	-nan	0.9383	0.935287	0.0147373	0	0.1204	-nan	0.1204	0.120794	0.00728596	0	0.6837	-nan	0.6837	0.682498	0.0202093	0
400	0.9324	-nan	0.9324	0.9322	0.0153775	0	0.1246	-nan	0.1246	0.124848	0.00839122	0	0.6781	-nan	0.6781	0.675526	0.0188952	0
500	0.9227	-nan	0.9227	0.920431	0.0130381	0	0.1433	-nan	0.1433	0.14501	0.0103114	0	0.6808	-nan	0.6808	0.682925	0.024838	0
600	0.9181	-nan	0.9181	0.915455	0.0209399	0	0.1705	-nan	0.1705	0.173143	0.0118122	0	0.6917	-nan	0.6917	0.685988	0.0274326	0
700	0.9063	-nan	0.9063	0.906474	0.0205042	0	0.1917	-nan	0.1917	0.184313	0.00874747	0	0.681	-nan	0.681	0.687546	0.0282239	0
800	0.8974	-nan	0.8974	0.896498	0.0190429	0	0.1929	-nan	0.1929	0.199457	0.0122132	0	0.677	-nan	0.677	0.673764	0.0270902	0
900	0.8856	-nan	0.8856	0.885868	0.0150859	0	0.2159	-nan	0.2159	0.210264	0.00884811	0	0.6658	-nan	0.6658	0.665212	0.0284026	0
1000	0.8846	-nan	0.8846	0.885206	0.0156649	0	0.2206	-nan	0.2206	0.217464	0.00951563	0	0.6712	-nan	0.6712	0.673809	0.0229879	0
1100	0.8712	-nan	0.8712	0.871988	0.0144642	0	0.2365	-nan	0.2365	0.234498	0.0191895	0	0.6774	-nan	0.6774	0.674569	0.0212595	0
1200	0.8716	-nan	0.8716	0.873567	0.0114371	0	0.2486	-nan	0.2486	0.260479	0.0178777	0	0.678	-nan	0.678	0.674539	0.0256473	0
1300	0.8834	-nan	0.8834	0.878402	0.0169503	0	0.2791	-nan	0.2791	0.278691	0.0146947	0	0.6819	-nan	0.6819	0.67606	0.023619	0
1400	0.8811	-nan	0.8811	0.877884	0.0187218	0	0.288	-nan	0.288	0.287156	0.0148275	0	0.6607	-nan	0.6607	0.663361	0.0207258	0
1500	0.8745	-nan	0.8745	0.877644	0.0196231	0	0.3174	-nan	0.3174	0.312962	0.0190341	0	0.6674	-nan	0.6674	0.665295	0.0191769	0
1600	0.8657	-nan	0.8657	0.871553	0.0199824	0	0.3348	-nan	0.3348	0.334567	0.0174673	0	0.6732	-nan	0.6732	0.670946	0.0213034	0
1700	0.8652	-nan	0.8652	0.86951	0.0227411	0	0.3449	-nan	0.3449	0.353767	0.0138069	0	0.6733	-nan	0.6733	0.668471	0.0219502	0
1800	0.8737	-nan	0.8737	0.871834	0.012332	0	0.3594	-nan	0.3594	0.357248	0.0151232	0	0.6874	-nan	0.6874	0.678191	0.016485	0
1900	0.8647	-nan	0.8647	0.868591	0.0131535	0	0.3664	-nan	0.3664	0.363296	0.0153828	0	0.676	-nan	0.676	0.674728	0.0187519	0
2000	0.8647	-nan	0.8647	0.864713	0.0147862	0	0.3815	-nan	0.3815	0.380917	0.0161822	0	0.673	-nan	0.673	0.672996	0.0242145	0
2100	0.8515	-nan	0.8515	0.860035	0.0178052	0	0.3858	-nan	0.3858	0.382338	0.0174224	0	0.661	-nan	0.661	0.662053	0.0179992	0
2200	0.8571	-nan	0.8571	0.857346	0.0217275	0	0.3965	-nan	0.3965	0.396988	0.019333	0	0.6641	-nan	0.6641	0.668634	0.0141739	0
2300	0.8434	-nan	0.8434	0.839878	0.0178699	0	0.4089	-nan	0.4089	0.411984	0.0216739	0	0.6751	-nan	0.6751	0.66923	0.0161991	0
2400	0.8395	-nan	0.8395	0.839755	0.0182329	0	0.4348	-nan	0.4348	0.4226	0.0212197	0	0.6716	-nan	0.6716	0.671462	0.0190551	0
2500	0.823	-nan	0.823	0.831337	0.0161827	0	0.43	-nan	0.43	0.438031	0.0141342	0	0.6671	-nan	0.6671	0.671132	0.0165598	0
2600	0.8308	-nan	0.8308	0.828962	0.0213331	0	0.4457	-nan	0.4457	0.441412	0.0168086	0	0.6715	-nan	0.6715	0.677374	0.0250464	0
2700	0.7977	-nan	0.7977	0.799473	0.0278945	0	0.4537	-nan	0.4537	0.446604	0.017443	0	0.6733	-nan	0.6733	0.673545	0.0298727	0
2800	0.7914	-nan	0.7914	0.792698	0.0354332	0	0.4601	-nan	0.4601	0.462129	0.0196842	0	0.6748	-nan	0.6748	0.675499	0.0301894	0
2900	0.7884	-nan	0.7884	0.785163	0.0424632	0	0.4819	-nan	0.4819	0.476551	0.0220464	0	0.6983	-nan	0.6983	0.692684	0.0209326	0
3000	0.7898	-nan	0.7898	0.784974	0.0408854	0	0.4883	-nan	0.4883	0.497698	0.01535	0	0.6892	-nan	0.6892	0.697255	0.0206151	0
3100	0.7663	-nan	0.7663	0.765961	0.0387713	0	0.4987	-nan	0.4987	0.505522	0.0128009	0	0.6976	-nan	0.6976	0.697083	0.0168846	0
3200	0.7614	-nan	0.7614	0.76645	0.0392713	0	0.5078	-nan	0.5078	0.505267	0.0161241	0	0.6983	-nan	0.6983	0.70203	0.01589	0
3300	0.7607	-nan	0.7607	0.754142	0.0242437	0	0.5083	-nan	0.5083	0.509279	0.0188585	0	0.7043	-nan	0.7043	0.700126	0.0205141	0
3400	0.7516	-nan	0.7516	0.751354	0.0163263	0	0.514	-nan	0.514	0.522419	0.0192917	0	0.6944	-nan	0.6944	0.691257	0.0239156	0
3500	0.7494	-nan	0.7494	0.746234	0.0197413	0	0.5131	-nan	0.5131	0.517276	0.0155878	0	0.6854	-nan	0.6854	0.685805	0.0164406	0
3600	0.7424	-nan	0.7424	0.738028	0.0217404	0	0.5122	-nan	0.5122	0.514715	0.0237776	0	0.684	-nan	0.684	0.683707	0.0184725	0
3700	0.7325	-nan	0.7325	0.736787	0.0193916	0	0.5281	-nan	0.5281	0.524754	0.0234917	0	0.6897	-nan	0.6897	0.686165	0.0247266	0
3800	0.7375	-nan	0.7375	0.731604	0.0253485	0	0.5415	-nan	0.5415	0.546029	0.0164625	0	0.6687	-nan	0.6687	0.667096	0.0354538	0
3900	0.7553	-nan	0.7553	0.749832	0.0299247	0	0.5362	-nan	0.5362	0.536798	0.0219278	0	0.6786	-nan	0.6786	0.683761	0.030303	0
4000	0.7314	-nan	0.7314	0.732269	0.0258779	0	0.5383	-nan	0.5383	0.534928	0.021719	0	0.6789	-nan	0.6789	0.693289	0.0338082	0
4100	0.7292	-nan	0.7292	0.731195	0.028433	0	0.5558	-nan	0.5558	0.542424	0.0226644	0	0.7274	-nan	0.7274	0.716462	0.0366175	0
4200	0.7276	-nan	0.7276	0.726585	0.0278876	0	0.538	-nan	0.538	0.542828	0.0232997	0	0.6997	-nan	0.6997	0.700108	0.0389901	0
4300	0.7257	-nan	0.7257	0.72378	0.0325675	0	0.5583	-nan	0.5583	0.554987	0.0178541	0	0.689	-nan	0.689	0.688275	0.0408875	0
4400	0.716	-nan	0.716	0.716247	0.0276524	0	0.559	-nan	0.559	0.561765	0.0234774	0	0.6747	-nan	0.6747	0.672007	0.0347272	0
