Generation;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo
3700;0,6232;0,699257;0,0237281;0,995803;0,00657825;0,6455;0,613535;0,0445964;0,992635;0,00799356;0,6529;0,707332;0,0207848;0,991739;0,00728718
3800;0,5932;0,685952;0,031668;0,994259;0,00906738;0,6973;0,625431;0,0459732;0,994314;0,00726457;0,6944;0,699604;0,0201718;0,992738;0,0102623
3900;0,5941;0,698645;0,027566;0,992507;0,00787884;0,6643;0,624448;0,036476;0,992991;0,00806522;0,6177;0,695829;0,0212398;0,992034;0,0115706
4000;0,635;0,707013;0,0286529;0,992071;0,00870803;0,7149;0,612279;0,0285149;0,994117;0,00575775;0,6292;0,694723;0,0224739;0,989655;0,0140766
4100;0,6557;0,703252;0,0283337;0,992378;0,00774007;0,6708;0,619747;0,0310504;0,991067;0,00776584;0,6064;0,69889;0,0243932;0,988924;0,0149714
4200;0,6384;0,690855;0,0242547;0,991236;0,0094607;0,6523;0,627262;0,0332898;0,991739;0,00988873;0,6016;0,693323;0,0265462;0,990086;0,0145801
4300;0,6069;0,686382;0,0246513;0,99675;0,00553518;0,6891;0,624908;0,0281833;0,989711;0,0103945;0,6779;0,68994;0,0209666;0,990304;0,0132646
4400;0,6142;0,672428;0,0269665;0,997127;0,00666669;0,6962;0,654807;0,0213577;0,990948;0,0108678;0,6402;0,689177;0,0145846;0,990429;0,0100737
4500;0,6175;0,653723;0,0416979;0,996826;0,0061791;0,6425;0,65418;0,0244154;0,990081;0,0103233;0,6441;0,687482;0,023267;0,995558;0,00828207
4600;0,649;0,652824;0,0422306;0,993923;0,0107758;0,6611;0,664414;0,0254641;0,990855;0,00924663;0,6521;0,700899;0,0188717;0,994723;0,00690471
4700;0,6697;0,646793;0,0366123;0,996059;0,00652176;0,6856;0,668314;0,0229425;0,991128;0,0086973;0,6444;0,696689;0,0169789;0,989869;0,00948234
4800;0,6573;0,635386;0,0397385;0,994858;0,0063368;0,6611;0,674824;0,030007;0,99382;0,00484903;0,636;0,691133;0,0233031;0,987979;0,0134059
4900;0,7126;0,640228;0,0487925;0,994067;0,00807466;0,6524;0,669927;0,0277098;0,994952;0,00694507;0,6429;0,682626;0,0225976;0,98809;0,0129223
5000;0,6391;0,645756;0,0439588;0,990279;0,0099245;0,654;0,670084;0,0297525;0,991286;0,0102706;0,631;0,680342;0,0223133;0,989395;0,0124756
5100;0,6332;0,654052;0,0467932;0,989331;0,0111063;0,6018;0,677601;0,032521;0,990306;0,00848985;0,6435;0,676068;0,0200606;0,99042;0,0112821
5200;0,6374;0,633381;0,0484869;0,988974;0,0120096;0,6529;0,684674;0,0260077;0,988439;0,00803917;0,6577;0,66735;0,0145108;0,989605;0,0112202
5300;0,6892;0,624975;0,0524412;0,993566;0,00871193;0,6519;0,68606;0,0256988;0,986658;0,0102773;0,6281;0,665867;0,0128859;0,992269;0,0136305
