Generation	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo
215800	0.5474	0.63981	0.0134698	0.122	0.5576	0.654672	0.0267442	0.114	0.5572	0.698982	0.0236603	0.154
215900	0.5277	0.642972	0.0103507	0.144	0.5426	0.65384	0.0242236	0.121	0.5603	0.704329	0.017096	0.137
216000	0.5328	0.640521	0.0144639	0.15	0.5675	0.650287	0.0208347	0.091	0.5668	0.709907	0.0169516	0.166
216100	0.5261	0.64311	0.0158447	0.134	0.5254	0.649551	0.0164409	0.147	0.5981	0.715471	0.0123768	0.101
216200	0.5503	0.639192	0.0185505	0.116	0.5453	0.652733	0.0256652	0.127	0.5564	0.713099	0.0119805	0.172
216300	0.5715	0.651439	0.0239474	0.105	0.5389	0.671631	0.0377554	0.134	0.6007	0.710198	0.0116246	0.098
216400	0.5567	0.64579	0.0195001	0.106	0.5514	0.67744	0.0332294	0.115	0.5804	0.71609	0.0102826	0.148
216500	0.5099	0.641873	0.0214335	0.144	0.5656	0.690926	0.0269377	0.134	0.5438	0.715296	0.0168804	0.183
216600	0.5541	0.647205	0.0245285	0.1	0.5328	0.697109	0.0314846	0.18	0.5956	0.708977	0.0130773	0.108
216700	0.5604	0.65261	0.0273585	0.106	0.5731	0.69589	0.0319211	0.123	0.5501	0.713881	0.0160706	0.146
216800	0.5364	0.656531	0.0263704	0.147	0.5705	0.698811	0.0259019	0.119	0.5722	0.71031	0.0230229	0.126
216900	0.569	0.668392	0.0285954	0.109	0.5349	0.689422	0.0364762	0.143	0.5768	0.699862	0.0266015	0.129
217000	0.5515	0.663721	0.0232799	0.135	0.5601	0.673189	0.0397367	0.116	0.5262	0.686914	0.0362649	0.162
217100	0.5656	0.670351	0.0193713	0.097	0.5784	0.695806	0.0343927	0.123	0.5911	0.707155	0.040047	0.117
217200	0.546	0.677287	0.0248246	0.146	0.5335	0.67279	0.0423016	0.146	0.5409	0.688106	0.0415873	0.162
217300	0.5501	0.677611	0.0282502	0.134	0.5761	0.694608	0.0441146	0.106	0.5952	0.677722	0.0424809	0.107
217400	0.5639	0.689393	0.024367	0.146	0.5627	0.656594	0.0510827	0.106	0.5738	0.675159	0.0466479	0.108
217500	0.5562	0.697237	0.0251322	0.138	0.5618	0.647083	0.0426255	0.116	0.5408	0.650191	0.0454521	0.124
217600	0.5747	0.686	0.0196582	0.095	0.5449	0.645205	0.0281383	0.122	0.5753	0.66244	0.0547945	0.108
217700	0.5774	0.685734	0.0134655	0.103	0.5274	0.64404	0.0253312	0.142	0.54	0.647916	0.060335	0.13
217800	0.5761	0.684051	0.0115681	0.11	0.5656	0.634281	0.0244224	0.073	0.5009	0.650241	0.0699112	0.191
217900	0.5596	0.678044	0.0155864	0.15	0.574	0.62962	0.0170851	0.07	0.5644	0.663632	0.0743652	0.111
218000	0.5608	0.678558	0.0181294	0.134	0.5339	0.63651	0.0153821	0.103	0.5274	0.653272	0.0731583	0.16
218100	0.5689	0.676235	0.0179734	0.137	0.5269	0.623539	0.0277931	0.122	0.5244	0.62349	0.0626172	0.135
218200	0.5612	0.679417	0.0197222	0.107	0.5301	0.626721	0.0316448	0.14	0.5208	0.647732	0.0816648	0.145
218300	0.5712	0.689294	0.02022	0.121	0.5786	0.634851	0.0300441	0.053	0.5531	0.624683	0.0613918	0.089
218400	0.5663	0.678538	0.0278778	0.098	0.5323	0.627315	0.0334119	0.108	0.5315	0.621598	0.0645834	0.124
218500	0.5623	0.683191	0.0261997	0.14	0.5422	0.618573	0.0368425	0.11	0.526	0.630003	0.0556879	0.139
218600	0.5573	0.677083	0.0243554	0.131	0.5205	0.629778	0.0410838	0.12	0.572	0.666204	0.0663318	0.102
218700	0.5871	0.674263	0.0304888	0.098	0.5709	0.649903	0.026173	0.095	0.5634	0.65072	0.046185	0.121
218800	0.5705	0.686023	0.0265458	0.114	0.5458	0.638173	0.0248355	0.132	0.5766	0.667437	0.0526592	0.104
218900	0.5832	0.698048	0.0235259	0.117	0.5417	0.632199	0.0225119	0.102	0.5474	0.660037	0.0561839	0.135
219000	0.5575	0.691239	0.0183676	0.142	0.517	0.633723	0.0234022	0.159	0.5507	0.650451	0.0307103	0.113
219100	0.5658	0.69178	0.0204146	0.127	0.5213	0.625003	0.0229462	0.124	0.5389	0.641005	0.0164022	0.127
219200	0.5616	0.689095	0.0159973	0.136	0.5402	0.618742	0.0211414	0.112	0.5499	0.647641	0.0154192	0.115
219300	0.5534	0.694202	0.0118252	0.14	0.5273	0.618227	0.0243401	0.129	0.5814	0.651513	0.0147151	0.091
219400	0.5554	0.691697	0.0154735	0.143	0.5428	0.611631	0.0318689	0.101	0.5371	0.643675	0.0216351	0.119
219500	0.58	0.698847	0.0170756	0.145	0.5228	0.623501	0.0237149	0.116	0.5414	0.639036	0.0316234	0.114
219600	0.5657	0.694936	0.0189052	0.16	0.5319	0.619451	0.0301004	0.1	0.549	0.636802	0.0362246	0.117
219700	0.5538	0.69069	0.0214996	0.167	0.5412	0.638553	0.0168797	0.129	0.5391	0.636874	0.0288185	0.148
219800	0.5708	0.68358	0.02687	0.126	0.537	0.641157	0.0177679	0.126	0.5377	0.651647	0.0268683	0.122
219900	0.5633	0.68165	0.0264484	0.114	0.5299	0.638146	0.0174946	0.143	0.5591	0.654352	0.0275875	0.143
220000	0.5718	0.667353	0.0182924	0.112	0.5552	0.637502	0.0148719	0.094	0.5707	0.667616	0.0239475	0.107
220100	0.5554	0.671562	0.0179768	0.12	0.5414	0.631861	0.0118241	0.119	0.5261	0.677537	0.0177888	0.178
220200	0.5611	0.67324	0.0209353	0.129	0.5478	0.628948	0.00896278	0.088	0.5979	0.679185	0.0183095	0.093
220300	0.5609	0.664662	0.0216397	0.112	0.5333	0.627151	0.0125076	0.127	0.5816	0.678785	0.0207019	0.11
220400	0.5771	0.665043	0.0231473	0.091	0.5455	0.627553	0.0117705	0.113	0.5386	0.67755	0.0204336	0.142
220500	0.5669	0.669912	0.0208674	0.117	0.5286	0.631379	0.0205149	0.128	0.5561	0.680544	0.0197017	0.127
220600	0.5974	0.673537	0.0267755	0.103	0.5377	0.633234	0.0279011	0.109	0.5809	0.675284	0.0192472	0.114
220700	0.5827	0.681574	0.0150438	0.113	0.5184	0.631912	0.0287302	0.133	0.5815	0.684619	0.0254336	0.135
220800	0.5634	0.688706	0.0146804	0.161	0.5236	0.641438	0.0276887	0.162	0.5966	0.687049	0.0252273	0.112
220900	0.5597	0.697015	0.0174936	0.143	0.5505	0.638127	0.0242614	0.1	0.5872	0.694588	0.0291811	0.111
221000	0.5942	0.693343	0.0150379	0.125	0.5602	0.637776	0.0208437	0.106	0.5662	0.686455	0.024643	0.122
221100	0.5682	0.702847	0.0145612	0.138	0.5318	0.645268	0.0191235	0.123	0.5602	0.677677	0.0293712	0.115
221200	0.5904	0.702269	0.0172828	0.135	0.5337	0.643761	0.0165571	0.106	0.5789	0.678332	0.0217236	0.097
221300	0.5788	0.697345	0.0197997	0.109	0.5484	0.642994	0.0280941	0.125	0.5472	0.680955	0.0242668	0.15
221400	0.5971	0.692878	0.0160558	0.119	0.5652	0.648575	0.0176905	0.094	0.5538	0.69092	0.0249196	0.134
221500	0.58	0.697301	0.0230632	0.131	0.5435	0.65304	0.0186764	0.135	0.5568	0.6967	0.0241636	0.136
221600	0.5993	0.691713	0.015735	0.105	0.5525	0.646954	0.0185339	0.113	0.5854	0.700498	0.0331369	0.138
221700	0.5736	0.69044	0.0180133	0.104	0.5622	0.658226	0.0157282	0.1	0.5595	0.694568	0.0338768	0.13
221800	0.5491	0.679785	0.0134773	0.138	0.5524	0.662212	0.00934019	0.118	0.5539	0.679213	0.0256176	0.127
221900	0.5602	0.68577	0.0212974	0.124	0.5679	0.661253	0.00986093	0.109	0.5686	0.6777	0.0288649	0.108
222000	0.5488	0.699001	0.0222946	0.139	0.5443	0.661241	0.0135811	0.135	0.5577	0.668339	0.0205932	0.114
222100	0.5938	0.702318	0.0244667	0.114	0.5489	0.657619	0.013354	0.15	0.5487	0.673464	0.0293472	0.145
222200	0.5654	0.710988	0.0206735	0.122	0.5525	0.662152	0.0199212	0.111	0.5683	0.685921	0.0255363	0.127
222300	0.6093	0.705899	0.0180282	0.083	0.5226	0.658959	0.0208316	0.167	0.5846	0.696794	0.0255996	0.126
222400	0.5855	0.70482	0.0252095	0.147	0.5614	0.66963	0.0222364	0.127	0.5698	0.70213	0.0311856	0.143
222500	0.5667	0.701561	0.0207183	0.11	0.5797	0.670246	0.0165143	0.107	0.5533	0.700958	0.0300203	0.134
222600	0.548	0.697929	0.0279565	0.152	0.5482	0.67609	0.0162935	0.139	0.5997	0.705777	0.0304312	0.117
222700	0.5919	0.685041	0.0198665	0.081	0.5559	0.685879	0.0165296	0.16	0.5626	0.694326	0.02661	0.132
222800	0.5513	0.692293	0.022646	0.158	0.5601	0.690156	0.0147533	0.146	0.5662	0.669641	0.017981	0.112
222900	0.5668	0.694258	0.0246982	0.157	0.5707	0.690074	0.0164613	0.111	0.5629	0.674955	0.0180034	0.124
223000	0.5746	0.687625	0.0250437	0.117	0.5604	0.685578	0.0229354	0.141	0.5773	0.672894	0.0202467	0.105
223100	0.5648	0.695426	0.0241439	0.15	0.5675	0.698472	0.0204816	0.144	0.5602	0.673139	0.0224178	0.118
223200	0.5799	0.706285	0.0145226	0.133	0.5619	0.693335	0.0162686	0.135	0.585	0.676619	0.0234614	0.123
223300	0.5774	0.699843	0.0165695	0.114	0.5673	0.688602	0.019743	0.122	0.5637	0.684809	0.0195213	0.122
223400	0.5713	0.71557	0.0210466	0.159	0.5935	0.691175	0.0216636	0.122	0.5731	0.683764	0.0159254	0.113
223500	0.5912	0.72666	0.0194984	0.135	0.575	0.68087	0.0191275	0.125	0.5192	0.68286	0.0151228	0.183
223600	0.5563	0.720706	0.0234481	0.15	0.5549	0.68941	0.0181185	0.141	0.5787	0.689261	0.0107656	0.102
223700	0.5813	0.721317	0.025917	0.119	0.5636	0.694002	0.0223931	0.145	0.6064	0.689842	0.00841249	0.087
223800	0.5593	0.711631	0.0241171	0.16	0.5402	0.691342	0.0205226	0.157	0.5721	0.691086	0.0116505	0.132
223900	0.5719	0.716897	0.0252943	0.128	0.5716	0.697188	0.0163114	0.127	0.5741	0.689614	0.0169342	0.107
224000	0.556	0.705499	0.0273458	0.134	0.5664	0.694366	0.0243198	0.117	0.5449	0.685307	0.0160613	0.129
224100	0.5355	0.697925	0.0346731	0.152	0.597	0.691295	0.0237281	0.104	0.5518	0.693643	0.0144415	0.152
224200	0.5826	0.705195	0.0268497	0.135	0.5829	0.687597	0.0276731	0.122	0.5599	0.701285	0.0192776	0.14
224300	0.5763	0.705708	0.0333075	0.145	0.5861	0.689812	0.0277517	0.108	0.5752	0.707148	0.0163921	0.14
224400	0.5642	0.715541	0.0393978	0.163	0.5655	0.677557	0.0248349	0.109	0.5567	0.711598	0.0129753	0.172
224500	0.5766	0.717538	0.0420498	0.154	0.5394	0.664549	0.0302911	0.141	0.5416	0.714383	0.0208017	0.152
224600	0.5592	0.720337	0.0421385	0.149	0.5466	0.663676	0.0292222	0.128	0.5708	0.717501	0.0283988	0.15
224700	0.539	0.717009	0.0341754	0.165	0.5552	0.656227	0.0301304	0.095	0.5733	0.696704	0.0287493	0.123
224800	0.5948	0.727214	0.0398772	0.128	0.5816	0.678259	0.0269004	0.114	0.5636	0.698141	0.0313585	0.129
224900	0.5448	0.723842	0.0452703	0.174	0.563	0.687905	0.0132616	0.147	0.5558	0.701921	0.022338	0.154
225000	0.5779	0.715116	0.0523403	0.139	0.5811	0.689179	0.016184	0.136	0.5975	0.701025	0.0242037	0.116
225100	0.5591	0.708927	0.0495	0.166	0.588	0.692285	0.0158493	0.105	0.5655	0.690409	0.0252978	0.114
225200	0.5531	0.680601	0.0384151	0.126	0.5626	0.705292	0.0162266	0.128	0.559	0.674424	0.0244787	0.133
225300	0.561	0.661963	0.0206023	0.083	0.5715	0.701381	0.0194119	0.114	0.5385	0.676825	0.0307663	0.165
225400	0.5155	0.658763	0.0265625	0.178	0.5991	0.705585	0.03204	0.111	0.5349	0.671507	0.0314765	0.141
225500	0.565	0.660812	0.0219404	0.099	0.5349	0.702574	0.0333634	0.164	0.5294	0.66451	0.0241474	0.159
225600	0.5368	0.656118	0.0277381	0.116	0.5992	0.710408	0.0348254	0.117	0.5768	0.672492	0.0239257	0.129
225700	0.5605	0.650519	0.0280191	0.111	0.5785	0.700512	0.0350758	0.11	0.5682	0.680372	0.0219441	0.131
225800	0.5382	0.669131	0.0364281	0.165	0.5701	0.704766	0.0403876	0.153	0.5581	0.684736	0.0155904	0.133
225900	0.5596	0.670386	0.0293403	0.128	0.5773	0.699008	0.034149	0.102	0.5795	0.681469	0.0158202	0.131
226000	0.5492	0.668757	0.0341843	0.125	0.5652	0.700737	0.0402711	0.128	0.5932	0.678659	0.0183634	0.1
226100	0.5604	0.66217	0.045424	0.118	0.6021	0.684993	0.0309746	0.088	0.5567	0.675802	0.0222266	0.114
226200	0.5114	0.672324	0.035001	0.157	0.5656	0.679644	0.0134363	0.131	0.5853	0.684008	0.0313007	0.106
226300	0.5407	0.668064	0.0363294	0.161	0.5653	0.685873	0.016206	0.143	0.5722	0.655397	0.0231777	0.101
226400	0.5822	0.685326	0.0214808	0.133	0.5708	0.68739	0.020483	0.133	0.5494	0.657398	0.0232892	0.138
226500	0.5593	0.678244	0.0251421	0.126	0.5712	0.686956	0.0237147	0.106	0.5829	0.654841	0.0179571	0.091
226600	0.532	0.675292	0.0288229	0.15	0.5513	0.693301	0.0314084	0.149	0.5234	0.656278	0.0233528	0.133
226700	0.564	0.67126	0.0263092	0.113	0.5591	0.686574	0.0275498	0.122	0.5535	0.654997	0.0252229	0.151
226800	0.5531	0.663075	0.0271067	0.139	0.5536	0.686655	0.0302257	0.152	0.5425	0.654461	0.0241107	0.125
226900	0.5404	0.660157	0.0296079	0.155	0.5377	0.673273	0.0343226	0.14	0.5609	0.662322	0.0226425	0.132
227000	0.531	0.68036	0.0349258	0.144	0.5482	0.659448	0.0348752	0.127	0.5534	0.674828	0.0196524	0.124
227100	0.5724	0.693156	0.0202081	0.132	0.5798	0.650462	0.0298335	0.09	0.5923	0.673865	0.0223241	0.077
227200	0.5469	0.690575	0.0184992	0.167	0.5432	0.647891	0.0240953	0.135	0.5861	0.685253	0.027167	0.125
227300	0.5634	0.687687	0.0196725	0.128	0.5351	0.655983	0.026404	0.15	0.5496	0.679404	0.0211258	0.137
227400	0.5805	0.694666	0.0215673	0.12	0.5241	0.661939	0.0200459	0.151	0.595	0.67774	0.0248989	0.115
227500	0.5819	0.70015	0.0199609	0.117	0.583	0.663742	0.01756	0.094	0.5267	0.674669	0.033796	0.149
227600	0.5426	0.696977	0.0164105	0.17	0.5551	0.652584	0.0185674	0.127	0.5381	0.674167	0.0246225	0.159
227700	0.5813	0.692997	0.0205995	0.117	0.5649	0.65606	0.0172387	0.105	0.5367	0.672718	0.0160005	0.158
227800	0.5391	0.700934	0.0219797	0.167	0.5779	0.66439	0.0248641	0.107	0.5607	0.671376	0.0136863	0.115
227900	0.5835	0.694479	0.0181354	0.119	0.5308	0.668369	0.0298276	0.147	0.5553	0.660675	0.0211453	0.119
228000	0.5772	0.693258	0.0225949	0.113	0.558	0.673168	0.0262561	0.137	0.5597	0.665596	0.0236646	0.111
228100	0.5563	0.676703	0.0231061	0.142	0.5547	0.673198	0.0243484	0.145	0.5652	0.663162	0.025367	0.116
228200	0.5374	0.667976	0.0240426	0.133	0.5606	0.674639	0.0395637	0.108	0.5569	0.669915	0.0262977	0.126
228300	0.5626	0.678423	0.0242305	0.122	0.5753	0.678326	0.0496313	0.107	0.535	0.683368	0.0231329	0.149
228400	0.5546	0.692233	0.0228657	0.127	0.5769	0.691082	0.0527771	0.122	0.581	0.690878	0.0242981	0.101
228500	0.5787	0.697455	0.0230467	0.093	0.5683	0.707401	0.0527396	0.159	0.5612	0.683109	0.0189657	0.137
228600	0.5751	0.693636	0.0269678	0.109	0.5371	0.71234	0.0467353	0.181	0.5492	0.674256	0.023522	0.133
228700	0.5736	0.692511	0.0333058	0.115	0.5844	0.709259	0.0534939	0.119	0.5728	0.688367	0.0300844	0.132
228800	0.5677	0.704042	0.0267443	0.12	0.5666	0.681177	0.0717557	0.116	0.576	0.689806	0.0283333	0.107
228900	0.5661	0.71116	0.0227095	0.154	0.5485	0.689879	0.0786927	0.164	0.5533	0.69028	0.0290275	0.139
229000	0.5599	0.716191	0.0200362	0.152	0.5501	0.665228	0.0784517	0.134	0.5848	0.698191	0.0276792	0.128
229100	0.5574	0.706998	0.0295473	0.175	0.565	0.668521	0.0793997	0.121	0.5501	0.705861	0.0267786	0.183
229200	0.5404	0.711095	0.0282653	0.168	0.5583	0.652307	0.0732043	0.121	0.5523	0.689741	0.0404838	0.134
229300	0.535	0.714756	0.0285468	0.168	0.5613	0.65728	0.0732217	0.148	0.5612	0.676758	0.0408189	0.145
229400	0.5798	0.712363	0.0254245	0.135	0.5765	0.694817	0.0650152	0.114	0.5559	0.668021	0.0400244	0.128
229500	0.5597	0.698172	0.0318745	0.138	0.56	0.686035	0.0526496	0.153	0.562	0.662234	0.0425704	0.123
229600	0.5704	0.689714	0.0324241	0.141	0.5603	0.681963	0.0511844	0.118	0.5594	0.674495	0.0372166	0.14
229700	0.5777	0.683253	0.0303812	0.121	0.564	0.692801	0.0540965	0.149	0.5814	0.668005	0.0388253	0.104
229800	0.5816	0.678119	0.0311418	0.11	0.5782	0.661245	0.0578725	0.114	0.5736	0.652932	0.0418271	0.096
229900	0.5764	0.667751	0.0263778	0.114	0.5777	0.672111	0.0669593	0.108	0.552	0.667977	0.0516995	0.136
230000	0.5468	0.664216	0.0217109	0.113	0.5493	0.690301	0.0696631	0.15	0.5341	0.668541	0.05194	0.168
230100	0.5306	0.665554	0.0236161	0.17	0.5253	0.650277	0.0623061	0.132	0.5448	0.659806	0.0495562	0.119
230200	0.5322	0.653718	0.0177936	0.149	0.5504	0.669346	0.0645259	0.148	0.5621	0.653897	0.0451065	0.104
230300	0.5464	0.655896	0.0199558	0.125	0.557	0.659425	0.0561816	0.129	0.5543	0.668768	0.043136	0.127
230400	0.5237	0.65154	0.025474	0.136	0.5083	0.643459	0.0452482	0.167	0.5507	0.682362	0.0441568	0.154
230500	0.5754	0.657774	0.0356694	0.117	0.5878	0.667414	0.0744595	0.101	0.5965	0.688943	0.0384433	0.113
230600	0.5571	0.644288	0.0339572	0.086	0.5256	0.66578	0.0558614	0.167	0.5713	0.701545	0.032679	0.133
230700	0.5646	0.64098	0.033672	0.094	0.5569	0.668217	0.0527272	0.133	0.5681	0.7058	0.0292707	0.147
230800	0.5563	0.638092	0.0354766	0.102	0.5592	0.688399	0.0469645	0.146	0.5461	0.705238	0.0255352	0.156
230900	0.528	0.628602	0.0311039	0.127	0.5519	0.666476	0.0527346	0.126	0.5798	0.714786	0.0239079	0.129
231000	0.523	0.629108	0.0398689	0.137	0.5274	0.631552	0.0367494	0.115	0.5587	0.710473	0.0233576	0.167
231100	0.5437	0.633794	0.042598	0.104	0.52	0.629562	0.0258447	0.153	0.5917	0.715067	0.0190176	0.121
231200	0.5451	0.63035	0.0519918	0.1	0.5208	0.64274	0.0202631	0.137	0.5672	0.719131	0.0153848	0.161
231300	0.5009	0.615722	0.0542979	0.178	0.5445	0.638869	0.0177404	0.12	0.5926	0.720447	0.0128733	0.125
231400	0.5619	0.642272	0.0580965	0.097	0.552	0.636944	0.0226633	0.112	0.5881	0.722243	0.0135615	0.137
231500	0.5682	0.658824	0.0535913	0.125	0.5395	0.639154	0.0187477	0.113	0.581	0.717369	0.0127682	0.137
231600	0.5823	0.666689	0.0465878	0.09	0.5525	0.637562	0.0188423	0.111	0.5915	0.705119	0.0138377	0.123
231700	0.5502	0.666423	0.0392731	0.118	0.5806	0.642704	0.0176581	0.081	0.5423	0.706592	0.0135753	0.163
231800	0.5502	0.68049	0.0213606	0.126	0.5301	0.640863	0.0166096	0.119	0.5789	0.710622	0.017935	0.131
231900	0.5725	0.675402	0.020223	0.116	0.5238	0.651279	0.0184578	0.137	0.5726	0.707183	0.0157004	0.139
232000	0.554	0.673927	0.0208289	0.145	0.5668	0.651058	0.0181322	0.071	0.5592	0.711733	0.0161995	0.132
232100	0.5713	0.664963	0.0244411	0.098	0.5331	0.646421	0.0187733	0.118	0.5734	0.712159	0.0176415	0.127
232200	0.5699	0.669689	0.0144224	0.12	0.5742	0.646817	0.0201968	0.099	0.6025	0.704811	0.0211014	0.115
232300	0.5767	0.663228	0.0161982	0.102	0.5348	0.653257	0.0222782	0.139	0.5598	0.697559	0.0218308	0.165
232400	0.5541	0.651551	0.0297348	0.096	0.5568	0.654529	0.0233959	0.119	0.5717	0.689058	0.0200463	0.112
232500	0.5429	0.646005	0.0304244	0.117	0.5685	0.643661	0.0264787	0.092	0.5775	0.697352	0.0174849	0.11
232600	0.5712	0.647998	0.0259008	0.082	0.5304	0.647304	0.0261877	0.147	0.5563	0.698725	0.0237493	0.15
232700	0.5501	0.6615	0.0255209	0.148	0.5269	0.645341	0.0256492	0.133	0.5641	0.697838	0.0281714	0.155
232800	0.5552	0.666939	0.0325813	0.127	0.5584	0.653776	0.0241524	0.112	0.5459	0.690087	0.0319005	0.168
232900	0.5409	0.661076	0.0317512	0.132	0.5557	0.655868	0.0238311	0.108	0.5879	0.678999	0.027134	0.106
233000	0.5571	0.68418	0.0311755	0.101	0.5488	0.649552	0.0287283	0.11	0.5709	0.681465	0.0222198	0.137
233100	0.5873	0.696491	0.0311448	0.116	0.5224	0.671478	0.0219111	0.155	0.528	0.669099	0.0214705	0.15
233200	0.5605	0.690008	0.0350762	0.148	0.5454	0.671416	0.0213537	0.13	0.5702	0.657582	0.0204422	0.103
233300	0.5523	0.702399	0.0269388	0.14	0.5911	0.675309	0.0254782	0.082	0.5615	0.654421	0.0144639	0.1
233400	0.5433	0.701425	0.0270923	0.159	0.5584	0.665142	0.0204196	0.119	0.5734	0.653841	0.0145532	0.081
233500	0.5641	0.707196	0.0362582	0.12	0.5649	0.656411	0.0286212	0.115	0.5805	0.658789	0.0195368	0.105
233600	0.5636	0.686263	0.0321094	0.13	0.5502	0.635693	0.0467847	0.128	0.5664	0.656595	0.0249945	0.119
233700	0.6039	0.700778	0.0230183	0.101	0.555	0.651183	0.0378786	0.119	0.5909	0.656802	0.0262096	0.082
233800	0.562	0.690109	0.0427567	0.128	0.5453	0.64857	0.0486913	0.105	0.5538	0.643153	0.034938	0.103
233900	0.5901	0.69388	0.0454642	0.119	0.521	0.665086	0.047567	0.157	0.533	0.639383	0.0401327	0.147
234000	0.5532	0.696252	0.054222	0.161	0.5293	0.687705	0.0198441	0.161	0.5506	0.642902	0.0309725	0.109
234100	0.5588	0.672091	0.0359878	0.119	0.5365	0.685898	0.0217015	0.152	0.5143	0.635693	0.0293583	0.135
234200	0.5649	0.680036	0.0370964	0.125	0.5645	0.673049	0.0185305	0.113	0.5415	0.639607	0.0349625	0.114
234300	0.5345	0.673519	0.0421918	0.138	0.5563	0.670542	0.0169991	0.123	0.5665	0.646693	0.0442984	0.098
234400	0.579	0.675428	0.0444439	0.112	0.5628	0.6687	0.0155458	0.15	0.5517	0.659564	0.0459632	0.118
234500	0.5257	0.65391	0.0217966	0.161	0.5444	0.668984	0.0142996	0.139	0.538	0.632182	0.0502057	0.139
234600	0.5347	0.658114	0.01842	0.153	0.5398	0.674088	0.0163511	0.138	0.5223	0.617648	0.0422619	0.116
234700	0.5262	0.661649	0.0175201	0.158	0.5457	0.679154	0.0225906	0.141	0.5464	0.646539	0.0501325	0.106
234800	0.5599	0.668498	0.0215953	0.116	0.5711	0.690815	0.02326	0.12	0.5256	0.647143	0.0412115	0.127
234900	0.5553	0.66871	0.0242517	0.122	0.565	0.689282	0.0218507	0.141	0.576	0.648421	0.0489952	0.085
235000	0.5736	0.669634	0.0184212	0.132	0.5512	0.676869	0.0226449	0.14	0.5451	0.646204	0.044881	0.133
235100	0.5672	0.673746	0.0220891	0.125	0.5547	0.679994	0.024382	0.124	0.5626	0.647701	0.0355414	0.116
235200	0.5479	0.678317	0.0113869	0.155	0.5591	0.680302	0.0163912	0.125	0.5359	0.653209	0.037267	0.135
235300	0.5941	0.677656	0.0165684	0.081	0.5794	0.680384	0.0157693	0.086	0.5272	0.643894	0.0307323	0.148
235400	0.5438	0.681844	0.0127461	0.14	0.5523	0.670055	0.0146514	0.118	0.5262	0.64361	0.0295282	0.139
235500	0.5452	0.686651	0.0139382	0.126	0.531	0.674677	0.0131131	0.177	0.5547	0.642649	0.0269795	0.097
235600	0.582	0.68787	0.0144158	0.114	0.5658	0.674636	0.0153275	0.118	0.5153	0.630552	0.0224681	0.172
235700	0.525	0.690227	0.0191426	0.166	0.5668	0.681553	0.0199927	0.14	0.5479	0.627648	0.0155769	0.101
235800	0.5733	0.688905	0.0208388	0.124	0.5686	0.683253	0.0244472	0.138	0.5334	0.6244	0.0229524	0.131
235900	0.5648	0.691277	0.0202637	0.133	0.5558	0.671042	0.0197999	0.124	0.5242	0.622407	0.0208118	0.128
236000	0.5543	0.690073	0.0253236	0.157	0.5483	0.66864	0.0237858	0.126	0.537	0.622407	0.0261571	0.124
236100	0.5551	0.675407	0.0219362	0.125	0.5698	0.658437	0.0150538	0.089	0.5394	0.632615	0.0385551	0.12
236200	0.5814	0.676178	0.0279689	0.09	0.5453	0.655911	0.0125362	0.144	0.5378	0.635959	0.0390888	0.1
236300	0.5445	0.667874	0.024875	0.141	0.5307	0.663219	0.0150346	0.153	0.5423	0.637491	0.0429183	0.122
236400	0.5707	0.680954	0.034398	0.137	0.5245	0.6582	0.0176221	0.149	0.5344	0.653184	0.042644	0.137
236500	0.5776	0.689736	0.0412323	0.12	0.5714	0.655334	0.0170442	0.106	0.5692	0.634179	0.0516359	0.096
236600	0.5545	0.691459	0.0469886	0.164	0.56	0.658251	0.0179381	0.115	0.5397	0.637545	0.0521689	0.108
236700	0.5691	0.680491	0.0322294	0.101	0.5557	0.65961	0.0202303	0.127	0.5448	0.619408	0.0603485	0.098
236800	0.5654	0.680003	0.0413098	0.139	0.539	0.651799	0.0112987	0.159	0.5653	0.668384	0.0530753	0.139
236900	0.5757	0.666137	0.036902	0.085	0.5596	0.655546	0.0223899	0.116	0.5735	0.693066	0.0453475	0.121
237000	0.5298	0.670675	0.0453035	0.15	0.5696	0.656978	0.0233349	0.107	0.5618	0.67642	0.0571226	0.119
237100	0.5608	0.646847	0.0459516	0.1	0.5223	0.64837	0.0199256	0.148	0.5515	0.646146	0.0581035	0.125
237200	0.5202	0.646431	0.049755	0.149	0.5816	0.655206	0.0240212	0.117	0.5489	0.65871	0.0623601	0.12
237300	0.5446	0.64717	0.0454949	0.114	0.5586	0.652008	0.0249371	0.101	0.5723	0.674649	0.0548546	0.12
237400	0.5401	0.648548	0.0408446	0.142	0.5452	0.652216	0.0268968	0.143	0.5557	0.699463	0.0442824	0.163
237500	0.5551	0.638835	0.0313226	0.097	0.534	0.64366	0.0254888	0.105	0.5946	0.716914	0.04311	0.122
237600	0.5512	0.644902	0.0285626	0.109	0.5614	0.645862	0.0237561	0.108	0.5546	0.708673	0.0416736	0.168
237700	0.5378	0.647437	0.028477	0.132	0.5301	0.637412	0.018402	0.124	0.5598	0.691451	0.0466839	0.162
237800	0.5541	0.659961	0.0310525	0.11	0.5467	0.641049	0.0182008	0.098	0.5927	0.720384	0.0317806	0.14
237900	0.5458	0.648023	0.0445337	0.137	0.5375	0.627925	0.0185824	0.125	0.5637	0.712982	0.0425506	0.135
