Generation	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo
5000	0.5282	0.658982	0.0241423	0.133	0.5267	0.669328	0.021744	0.156	0.5223	0.655871	0.0316535	0.159
5100	0.529	0.657961	0.0249862	0.144	0.5627	0.678393	0.0234566	0.126	0.5494	0.663186	0.0227605	0.131
5200	0.5299	0.653812	0.02522	0.139	0.5538	0.663641	0.0281297	0.143	0.5545	0.652533	0.0209359	0.1
5300	0.575	0.672272	0.0301628	0.088	0.5479	0.660795	0.0310519	0.137	0.56	0.647772	0.024311	0.108
5400	0.565	0.684638	0.0345682	0.128	0.5496	0.661804	0.0365945	0.127	0.5611	0.639896	0.0231797	0.09
5500	0.5761	0.689358	0.0321369	0.105	0.5777	0.672695	0.0602026	0.099	0.5509	0.636124	0.0178114	0.089
5600	0.5352	0.688303	0.0212122	0.154	0.591	0.679484	0.0635492	0.096	0.5723	0.645643	0.0191218	0.088
5700	0.578	0.691174	0.0225645	0.126	0.5817	0.692933	0.0483992	0.131	0.5292	0.647126	0.0197512	0.152
5800	0.5357	0.693191	0.0255953	0.14	0.5267	0.695246	0.0505118	0.172	0.5386	0.644275	0.0227548	0.102
5900	0.5622	0.705574	0.0297439	0.134	0.5777	0.706155	0.0579548	0.12	0.5524	0.645508	0.0174326	0.095
6000	0.5974	0.712287	0.0403234	0.12	0.5772	0.67393	0.0530429	0.113	0.5603	0.64189	0.018132	0.083
6100	0.5744	0.707524	0.0334121	0.135	0.5512	0.671497	0.0493534	0.141	0.5408	0.654524	0.0262367	0.146
6200	0.5502	0.702101	0.0249959	0.122	0.5482	0.668356	0.0518051	0.128	0.5613	0.659905	0.0208579	0.121
6300	0.5293	0.707069	0.0314656	0.189	0.5552	0.656506	0.0416706	0.11	0.5685	0.666041	0.0202749	0.108
6400	0.5913	0.71973	0.024954	0.131	0.5394	0.66763	0.0417716	0.154	0.5694	0.67407	0.0180337	0.124
6500	0.5624	0.714029	0.0277709	0.128	0.5387	0.653503	0.0303741	0.143	0.5777	0.680249	0.0139577	0.107
6600	0.537	0.702925	0.027121	0.169	0.5486	0.653842	0.0256065	0.112	0.5816	0.673102	0.018115	0.122
6700	0.5776	0.709601	0.0307875	0.128	0.5414	0.645753	0.0129286	0.124	0.5614	0.670888	0.0268145	0.123
6800	0.5738	0.699103	0.0294963	0.136	0.5584	0.652615	0.0129261	0.093	0.5629	0.680011	0.0365999	0.147
