P0	Ps	Pi
0.262834	0.00482193	0
0.250775	0.018102	0
0.262834	0.0190733	1
0.311843	0.0411328	0
0.259225	0.00854911	1
0.301564	0.040318	1
0.261059	0.000418541	0
0.280571	0.00229615	0
0.262834	0.0259205	0
0.262834	0.0259205	0
0.309528	0.0411328	0
0.250775	0.018102	0
0.222995	0.0176816	1
0.285953	0.0116612	0
0.309528	0.0411328	0
0.250775	0.018102	0
0.268944	0.006722	0
0.301564	0.0242254	0
0.262047	0	1
0.271616	0.00942219	0
0.280571	0.00822651	1
0.250775	0.018102	0
0.280571	0	1
0.250775	0.0236146	0
0.265022	0.0255384	1
0.279693	0.00822651	0
0.262834	0.00482193	0
0.30862	0.0054455	0
0.301564	0.040318	1
0.257137	0.00952831	1
0.302563	0.0242254	1
0.268181	0.0105232	0
0.225494	0.0066417	1
0.250775	0.018102	0
0.262047	0.00540968	0
0.277849	0.00482775	0
0.250775	0.0236146	0
0.322807	0.0242254	1
0.265022	0.0105232	0
0.259049	0	1
0.280571	0.00822651	0
0.265022	0.0172242	1
0.280571	0	1
0.257137	0.00952831	1
0.252576	0.006722	1
0.295453	0.00901469	0
0.272173	0.00906576	1
0.257137	0.00952831	1
0.315985	0.0128323	1
0.301564	0.0242084	1
0.278157	0.00229615	0
0.280571	0.00822651	0
0.259049	0	1
0.248878	0.0172242	1
0.272173	0.00906576	1
0.280571	0.00822651	0
0.298854	0.0242254	1
0.257137	0.00952831	1
0.265022	0.0105232	0
0.295453	0.00901469	0
0.299656	0.0242254	1
0.272173	0.00227124	1
0.257137	0.00952831	1
0.262834	0.0190733	1
0.280571	0.00822651	0
0.299656	0.0242254	1
0.280571	0.00822651	0
0.262834	0.0280298	0
0.301564	0.0242254	0
0.315985	0.0128323	0
0.257137	0.00952831	1
0.301564	0.0174849	1
0.272173	0	0
0.259225	0	1
0.329522	0.0320283	1
0.315985	0.0128323	1
0.259049	0	1
0.315985	0.0128323	1
0.259049	0	0
0.279693	0.00822651	0
0.301564	0.0242254	0
0.259049	0	1
0.280571	0	1
0.306493	0.0128323	1
0.309528	0.0411328	0
0.259049	0	0
0.262047	0.00540968	0
0.265022	0.0105232	1
0.262047	0	0
0.259225	0	1
0.265022	0.0105232	1
0.274499	0.02371	0
0.284049	0.0283018	1
0.270231	0.006722	1
0.262047	0	0
0.314881	0.0128323	1
0.259049	0.0118702	1
0.230674	0.0189994	1
0.306493	0.0128323	1
0.280571	0	1
0.259049	0	0
0.306493	0.0128323	1
0.262834	0.0259205	0
0.293233	0	1
0.268181	0.0105232	0
0.315985	0.0128323	0
0.259434	0	0
0.250775	0.018102	0
0.262834	0.0259205	0
0.262834	0.0265148	1
0.291839	0.0242254	1
0.230674	0.0189994	1
0.280571	0.00822651	0
0.230674	0.0189994	1
0.280571	0.00822651	0
0.301564	0.0242254	1
0.266353	0.000418541	0
0.259225	0.00854911	1
0.259225	0	1
0.280571	0.00822651	0
0.301564	0.0242254	1
0.257137	0.00952831	1
0.265022	0.0105232	0
0.262834	0.0259205	0
0.306493	0.0128323	1
0.293233	0	1
0.311843	0.0411328	0
0.239941	0.0205817	0
0.259225	0	1
0.259225	0	0
0.302563	0.0242254	1
0.301564	0.0242254	1
0.306493	0.0128323	0
0.295453	0.00901469	0
0.295453	0.00901469	1
0.262834	0.0190733	1
0.262047	0	0
0.250775	0.018102	0
0.261059	0.000418541	0
0.280571	0.02371	0
0.257137	0.00952831	1
0.230674	0.0189994	1
0.265022	0.0255384	1
0.262834	0.0259205	1
0.252576	0.006722	1
0.259049	0	1
0.248878	0.00620687	1
0.301564	0.0242254	0
0.259049	0	0
0.265022	0.0255384	1
0.280571	0.00822651	0
0.259049	0	0
0.261059	0.000418541	0
0.262834	0.0265148	1
0.301564	0.0323649	1
0.293942	0.0175754	1
0.262834	0.00482193	0
0.271616	0.00942219	0
0.306493	0.0128323	1
0.306493	0.0128323	1
0.250775	0.018102	0
0.262047	0	0
0.250775	0.018102	0
0.305512	0.0128323	0
0.295453	0.00901469	0
0.259049	0.0118702	1
0.315985	0.0128323	1
0.259049	0	0
0.31282	0.0242254	1
0.213686	0.00377108	0
0.295453	0.00901469	0
0.271616	0.00942219	0
0.321137	0.0320283	0
0.265022	0.0255384	1
0.280571	0.00822651	0
0.272173	0.00906576	1
0.293835	0	1
0.259049	0	1
0.265022	0.0105232	1
0.301564	0.040318	1
0.293835	0	1
0.259049	0	0
0.262834	0.0259205	0
0.239941	0.0205817	0
0.272173	0	0
0.262834	0.0265148	1
0.259049	0	1
0.222995	0.0176816	1
0.2525	0	0
0.259225	0	0
0.314881	0.0128323	1
0.265022	0.0105232	0
0.271059	0	1
0.280571	0.0144378	0
0.225494	0.0066417	1
0.280571	0.00822651	0
0.301564	0.040318	1
0.279693	0.00822651	0
0.257137	0.00952831	1
0.305512	0.0128323	1
0.272173	0.00906576	1
0.270231	0	1
0.259225	0	0
0.306493	0.0128323	1
0.259049	0	0
0.262834	0.0280298	0
0.280571	0.00822651	0
0.262834	0.00482193	0
0.225494	0.0066417	1
0.280058	0.00229615	0
0.285921	0.00656551	1
0.280571	0	1
0.280571	0	1
0.262834	0.0205817	0
0.250775	0.0236146	0
0.259049	0	1
0.273775	0	0
0.259225	0	1
0.225494	0.0066417	1
0.301564	0.0242254	1
0.301564	0.0242254	1
0.267905	0.006722	0
0.225494	0.0066417	1
0.272173	0	0
0.259049	0	1
0.262834	0.0259205	0
0.306493	0.0128323	1
0.301564	0.0242254	0
0.301564	0.0242254	1
0.262834	0.0259205	0
0.301564	0.0242254	1
0.301564	0.0242254	1
0.301564	0.0242254	1
0.250775	0.018102	0
0.281019	0.0172242	1
0.285921	0.00656551	1
0.302563	0.0242254	1
0.259049	0	0
0.31282	0.0242254	1
0.250775	0.018102	0
0.265022	0.0261017	0
0.257137	0.00952831	0
0.262834	0.0280298	0
0.262834	0.0208184	0
0.285143	0.0242254	0
0.295453	0.00901469	0
0.259434	0	0
0.285535	0.0242254	1
0.295453	0.00901469	0
0.225494	0.0066417	1
0.280571	0.00656551	1
0.257137	0.00952831	1
0.306493	0.0128323	1
0.259049	0	0
0.315985	0.0128323	1
0.259049	0	0
0.306493	0.0128323	1
0.230674	0.0189994	1
0.270231	0	1
0.259225	0	1
0.262047	0	0
0.295453	0.00901469	0
0.295453	0.00901469	0
0.265022	0.0255384	1
0.250775	0.018102	0
0.261059	0.000418541	0
0.293835	0	1
0.272173	0.0175754	1
0.280571	0.0108751	0
0.284049	0.0283018	1
0.262047	0.00540968	0
0.259049	0	1
0.272173	0.0175754	1
0.302563	0.0242254	1
0.285953	0.0116612	0
0.259225	0	1
0.259225	0	1
0.257137	0.00952831	1
0.259049	0	0
0.272173	0.00952831	1
0.314881	0.0128323	1
0.309528	0.0242254	1
0.270231	0	1
0.263485	0	0
0.265022	0.0105232	0
0.306493	0.0128323	0
0.250775	0.018102	0
0.306493	0.0128323	1
0.265022	0.0105232	1
0.265022	0.0105232	0
0.262834	0.0259205	0
0.262047	0.00540968	0
0.262546	0	1
0.279693	0.00822651	0
0.254342	0.00952831	0
0.295453	0.00901469	1
0.250775	0.018102	0
0.285143	0.0242254	1
0.295453	0.00901469	0
0.281019	0.0172242	1
0.213592	0.0066417	0
0.262834	0.00482193	1
0.261059	0.000418541	0
0.259049	0	1
0.250775	0.018102	0
0.259434	0	0
0.270231	0	1
0.306493	0.0128323	1
0.280571	0	1
0.230674	0.0189994	1
0.270231	0.006722	1
0.250775	0.018102	0
0.267905	0.006722	1
0.272173	0.0175754	1
0.280571	0.02371	0
0.306493	0	1
0.272173	0	0
0.305512	0.0128323	1
0.272173	0.0175754	1
0.262834	0.00482193	0
0.301564	0.0242254	0
0.270231	0	1
0.259049	0	1
0.265022	0.0105232	1
0.225494	0.0066417	1
0.301564	0.0242254	1
0.302563	0.0242254	1
0.280571	0.00822651	0
0.295453	0.0159838	0
0.306493	0.0128323	1
0.311843	0.0411328	0
0.250775	0.018102	0
0.259225	0	0
0.250775	0.018102	0
0.239941	0.0205817	0
0.285953	0.0116612	0
0.250775	0.018102	0
0.259049	0	0
0.262834	0.0259205	0
0.306493	0.0128323	1
0.301564	0.0242254	1
0.259225	0	1
0.259049	0.0118702	1
0.265022	0.0105232	0
0.301564	0.0242254	1
0.271616	0.00942219	0
0.285143	0.0242254	1
0.259049	0	1
0.273775	0	0
0.259225	0	1
0.230674	0.0189994	1
0.262834	0.0259205	0
0.280571	0	1
0.265022	0.0105232	1
0.277849	0.00482775	0
0.321137	0.0320283	0
0.279693	0.00822651	0
0.301564	0.040318	1
0.295453	0.00901469	0
0.262834	0.0190733	1
0.225494	0.00770679	1
0.270231	0	1
0.301564	0.040318	1
0.321137	0.0320283	0
0.306493	0.0128323	1
0.295453	0.00901469	1
0.309528	0.0411328	0
0.259049	0	1
0.262834	0.00482193	0
0.265022	0.0105232	0
0.305512	0.0128323	1
