P0	Ps	Pi
0.517287	0.030183	1
0.513951	0.00396321	0
0.51438	0.0052998	0
0.521873	0.00307067	0
0.512143	0.00396321	1
0.530562	0	0
0.516421	0.00307067	1
0.512035	0	0
0.537042	0	0
0.530456	0.019835	0
0.554067	0.00841931	1
0.516421	0.00477872	0
0.499153	0.0212052	0
0.563938	0.0207813	0
0.495944	0.0233264	1
0.512035	0	0
0.515868	0.0372213	0
0.516421	0	0
0.516421	0.00307067	0
0.496774	0.0184934	0
0.535172	0.00890955	0
0.516421	0.00307067	0
0.516421	0.00307067	1
0.570428	0.0291398	0
0.545615	0	0
0.513951	0	0
0.516421	0.00512468	0
0.516421	0.00635909	1
0.535172	0.00890955	1
0.513951	0.00396321	0
0.516421	0.00307067	0
0.543904	0	0
0.4899	0.0212052	0
0.516421	0.00307067	0
0.51438	0.0052998	0
0.504587	0	0
0.516421	0.00307067	0
0.563938	0.0138806	0
0.552882	0.00268044	0
0.516421	0.00307067	0
0.513951	0.00396321	0
0.513148	0.0178762	1
0.521873	0.00307067	0
0.535172	0.0224546	0
0.51438	0	0
0.520604	0.0220141	0
0.496774	0.0315609	1
0.516421	0	0
0.587212	0.0104747	0
0.543388	0.00890955	1
0.507267	0.0178762	1
0.535172	0.0224546	1
0.516421	0.00307067	0
0.570428	0.0291398	0
0.545615	0	0
0.513951	0.00396321	0
0.512035	0	0
0.524009	0.00307067	1
0.552882	0.00268044	1
0.570428	0.0291398	0
0.543388	0.00890955	1
0.528267	0	0
0.496774	0.0315609	1
0.517287	0.030183	1
0.496774	0.0184934	0
0.552882	0.00268044	1
0.513343	0.014604	1
0.516421	0.00307067	0
0.516421	0.00307067	0
0.516421	0.00307067	0
0.4899	0.0212052	0
0.516421	0.0134535	0
0.516421	0.00307067	0
0.512035	0	0
0.516129	0.00742026	1
0.517287	0.030183	1
0.4899	0.0212052	0
0.579336	0.0234399	0
0.516421	0.00307067	0
0.535172	0.00890955	0
0.523171	0.0105652	1
0.523171	0.0105652	1
0.535172	0.00890955	1
0.516421	0.00307067	0
0.501843	0.0269117	0
0.545615	0	1
0.545615	0	1
0.516421	0.0052998	0
0.4899	0.0212052	0
0.4899	0.0233264	1
0.512035	0	0
0.497617	0.0237258	0
0.512035	0	1
0.552882	0.00268044	0
0.512035	0	0
0.535172	0.00890955	1
0.516421	0.00477872	0
0.512324	0.0105652	1
0.516421	0	0
0.516421	0	0
0.516421	0.00307067	1
0.552298	0.01758	0
0.513343	0.014604	1
0.517287	0.030183	1
0.507557	0	0
0.545615	0	1
0.516421	0	0
0.516421	0.0124244	0
0.516421	0.0052998	0
0.520604	0.0220141	0
0.516421	0	0
0.516421	0	0
0.516421	0.00307067	0
0.545615	0	0
0.520604	0.0168792	0
