Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal
2490	0.6385	0.238631	0.969653	0.970532	0.0129977	0.412	0.755445	0.225319	0.6483	0.994778	0.0532609	0.0536673	0.0178487	0.629	0.0049979	0.0840692	0.6487	0.561265	0.738259	0.733287	0.0160404	0.486	0.427516	0.303707
2500	0.6953	0.256443	0.973529	0.970732	0.0123483	0.379	0.754251	0.234058	0.6518	0.997161	0.0535519	0.0510187	0.0152181	0.637	0.00429676	0.065984	0.6626	0.575699	0.738131	0.72918	0.015837	0.475	0.423155	0.269849
2510	0.6453	0.241834	0.971429	0.970407	0.0130408	0.463	0.753619	0.262226	0.6449	0.995397	0.0481081	0.0457184	0.01389	0.643	0.00388018	0.0619247	0.6676	0.578676	0.728885	0.731895	0.0181202	0.427	0.424608	0.285714
2520	0.6797	0.258293	0.972542	0.968668	0.0129901	0.412	0.753975	0.283651	0.6577	0.996142	0.0346591	0.0430311	0.0122347	0.647	0.00382827	0.0511137	0.6739	0.57775	0.738	0.738268	0.0188527	0.434	0.427762	0.301957
2530	0.6808	0.25	0.968	0.966613	0.0140177	0.372	0.753791	0.242542	0.6376	0.996955	0.0412234	0.0449073	0.0133077	0.642	0.00295422	0.045891	0.6701	0.584188	0.745677	0.738399	0.0175068	0.471	0.426609	0.369693
2540	0.6343	0.246753	0.9671	0.964438	0.0152347	0.45	0.755496	0.263103	0.66	0.997519	0.0467606	0.0466888	0.0150384	0.646	0.00259101	0.0433391	0.6574	0.571762	0.733648	0.734196	0.0185772	0.469	0.425468	0.476236
2550	0.6453	0.246875	0.968659	0.966818	0.0154563	0.447	0.751339	0.214863	0.6327	0.998374	0.0485714	0.0496361	0.018515	0.617	0.00244759	0.0404137	0.6705	0.579767	0.738947	0.734247	0.0196112	0.424	0.424561	0.453497
2560	0.6721	0.248058	0.969218	0.966901	0.0134205	0.414	0.750608	0.185844	0.6655	0.997081	0.0469914	0.0454701	0.0187445	0.659	0.00377158	0.0671909	0.679	0.581067	0.73776	0.737638	0.0200377	0.37	0.427414	0.429641
2570	0.6563	0.247248	0.972518	0.969431	0.0130941	0.445	0.750768	0.153523	0.649	0.996372	0.0472678	0.0479012	0.0178211	0.62	0.00380323	0.0658249	0.6756	0.565104	0.744481	0.736949	0.0200498	0.375	0.426306	0.385473
2580	0.6418	0.252391	0.973519	0.973219	0.0134393	0.434	0.750345	0.116422	0.6525	0.997013	0.0505495	0.0514604	0.0158126	0.639	0.00358546	0.0602877	0.6648	0.572383	0.740109	0.735008	0.0252348	0.44	0.422831	0.544132
2590	0.6863	0.237371	0.970915	0.970261	0.0138324	0.398	0.751152	0.11912	0.6615	0.995686	0.0435897	0.0507648	0.0164512	0.656	0.00474783	0.0727161	0.6841	0.577313	0.737895	0.733978	0.0227778	0.344	0.421912	0.637976
2600	0.6539	0.253636	0.968393	0.969205	0.0137276	0.461	0.751432	0.137046	0.64	0.99393	0.0475936	0.0462499	0.0180295	0.63	0.00442958	0.0559594	0.6803	0.578711	0.736703	0.735599	0.0234161	0.335	0.421	0.581323
2610	0.6435	0.256863	0.971534	0.971366	0.0146431	0.482	0.751596	0.12201	0.6766	0.997001	0.0348348	0.0387754	0.0179728	0.651	0.00348237	0.0398396	0.656	0.570726	0.731015	0.737439	0.0224866	0.483	0.418079	0.60388
2620	0.6552	0.231529	0.968348	0.972387	0.0151998	0.441	0.751627	0.157739	0.6383	0.996965	0.0379679	0.0382373	0.0171395	0.617	0.00421134	0.0504635	0.6688	0.588841	0.738577	0.733747	0.0241973	0.485	0.410417	0.658276
2630	0.6437	0.255315	0.975881	0.975343	0.0152999	0.45	0.752842	0.190039	0.6522	0.996568	0.0373259	0.0320868	0.0185685	0.628	0.00402408	0.0559062	0.6738	0.604536	0.73352	0.73032	0.0261381	0.444	0.405366	0.641994
2640	0.7108	0.245455	0.975981	0.975828	0.0139991	0.372	0.753827	0.178864	0.6565	0.997523	0.0341808	0.0349402	0.0155038	0.641	0.00326541	0.0421634	0.6684	0.594248	0.729562	0.732797	0.0282933	0.457	0.408167	0.745458
2650	0.6706	0.238849	0.979417	0.97644	0.0134939	0.432	0.752772	0.228188	0.6675	0.99771	0.0405797	0.0356142	0.0169132	0.665	0.00376812	0.0525184	0.659	0.580527	0.735306	0.734377	0.0267069	0.499	0.410113	0.865301
2660	0.6406	0.245633	0.974354	0.976669	0.0138265	0.476	0.752228	0.168165	0.7117	0.995455	0.0368243	0.0341784	0.0154452	0.684	0.00367822	0.0604923	0.665	0.593294	0.738742	0.737008	0.0243168	0.518	0.408058	0.811051
2670	0.6523	0.25255	0.980692	0.980302	0.0138601	0.446	0.751329	0.210787	0.6969	0.995773	0.043949	0.0434641	0.0230093	0.677	0.004363	0.0942026	0.6574	0.591023	0.740858	0.734802	0.0248137	0.556	0.405445	0.731407
2680	0.683	0.243596	0.983333	0.979095	0.014091	0.425	0.750662	0.209593	0.6333	0.995315	0.0451444	0.0468228	0.0265027	0.617	0.00576911	0.134624	0.6618	0.60539	0.727489	0.732417	0.0227434	0.531	0.400059	0.744039
2690	0.6881	0.259204	0.976421	0.977783	0.0136497	0.397	0.749504	0.192716	0.6428	0.993968	0.0448649	0.0465911	0.024669	0.647	0.00588581	0.125298	0.6585	0.598451	0.741766	0.73059	0.0240633	0.599	0.396703	0.644107
2700	0.6689	0.248815	0.975606	0.977566	0.0143055	0.425	0.74716	0.162446	0.6507	0.996069	0.0472527	0.0471448	0.0248547	0.642	0.00542055	0.0968148	0.662	0.610862	0.732619	0.725829	0.0245546	0.606	0.391321	0.578806
2710	0.6858	0.263107	0.981973	0.980019	0.0146859	0.395	0.746854	0.164886	0.6319	0.995	0.0394737	0.0431518	0.0190865	0.635	0.00449713	0.0555612	0.6701	0.626415	0.731175	0.72779	0.0246058	0.56	0.389812	0.535671
2720	0.6744	0.256532	0.978238	0.978898	0.0153128	0.396	0.744967	0.152527	0.6663	0.994801	0.0453757	0.0410492	0.0216343	0.64	0.00624515	0.080125	0.6623	0.607401	0.730493	0.723183	0.0230589	0.552	0.387254	0.512085
2730	0.662	0.252174	0.980107	0.981343	0.0152935	0.431	0.744872	0.140228	0.6629	0.993702	0.0458453	0.0413304	0.019392	0.622	0.00672481	0.113569	0.6682	0.609671	0.723541	0.723121	0.0234111	0.485	0.387847	0.535389
2740	0.6828	0.263702	0.981336	0.980432	0.0157948	0.393	0.74437	0.167253	0.6677	0.993161	0.0415205	0.0407937	0.0211068	0.656	0.00667678	0.0879083	0.6685	0.610751	0.724655	0.719278	0.0240401	0.489	0.387177	0.532677
2750	0.7132	0.259079	0.978764	0.982269	0.015955	0.358	0.74785	0.174607	0.6383	0.99373	0.0534392	0.0486569	0.0212757	0.608	0.00590437	0.0872616	0.675	0.618973	0.720471	0.715359	0.0206546	0.469	0.387938	0.488347
2760	0.6418	0.255319	0.984528	0.981711	0.0162248	0.442	0.746696	0.182522	0.6434	0.992101	0.0419619	0.0479438	0.0177337	0.67	0.00697938	0.122654	0.6664	0.607359	0.7171	0.715588	0.0218904	0.474	0.388017	0.550357
2770	0.6592	0.246453	0.979574	0.977322	0.0158095	0.397	0.74663	0.205079	0.664	0.991564	0.0502874	0.0451858	0.0186401	0.664	0.00770655	0.11255	0.6601	0.610672	0.710729	0.712948	0.0200692	0.515	0.386602	0.600405
2780	0.6237	0.255828	0.975734	0.977124	0.0162027	0.473	0.747289	0.272716	0.6801	0.992697	0.0425532	0.0433639	0.0198494	0.627	0.00764969	0.110618	0.6634	0.622535	0.703777	0.713953	0.0218114	0.496	0.384852	0.581042
2790	0.6535	0.25618	0.972072	0.973955	0.0167051	0.435	0.745042	0.25877	0.6674	0.989426	0.0366864	0.0382735	0.0183698	0.656	0.00786861	0.106246	0.6676	0.618973	0.707065	0.707627	0.0217758	0.448	0.380668	0.502822
2800	0.6184	0.252333	0.974359	0.976029	0.0160204	0.482	0.744443	0.278638	0.6254	0.992846	0.0384416	0.0368945	0.0192349	0.611	0.0082349	0.0951765	0.6688	0.618206	0.699678	0.707948	0.022572	0.376	0.378213	0.393784
2810	0.6306	0.25447	0.979191	0.978	0.0180082	0.441	0.742844	0.237374	0.6872	0.993078	0.0401869	0.0367988	0.0207394	0.658	0.00756481	0.088463	0.6733	0.63359	0.698689	0.709469	0.0270974	0.367	0.379308	0.346465
2820	0.6688	0.253162	0.978534	0.981253	0.0176031	0.423	0.744192	0.202028	0.6202	0.990507	0.0385604	0.0341385	0.0156214	0.639	0.00828938	0.0888881	0.6868	0.620891	0.723713	0.705963	0.0253384	0.344	0.375281	0.22232
2830	0.6676	0.252668	0.981898	0.979538	0.0188093	0.424	0.74444	0.210683	0.6052	0.992797	0.0310174	0.0320195	0.0133104	0.638	0.0068077	0.091859	0.6677	0.628049	0.695254	0.703511	0.0276468	0.392	0.374406	0.176606
2840	0.625	0.245679	0.983658	0.978668	0.020081	0.463	0.74461	0.264098	0.6762	0.993582	0.0318182	0.0292383	0.0114951	0.633	0.00547426	0.0876228	0.6765	0.63713	0.707308	0.702198	0.0286759	0.452	0.373065	0.157399
2850	0.6365	0.254237	0.97822	0.980296	0.0206675	0.459	0.743758	0.275078	0.648	0.995618	0.032687	0.0294385	0.0127451	0.668	0.00462097	0.0709177	0.6609	0.621483	0.704641	0.704228	0.0304097	0.511	0.372372	0.161009
2860	0.6337	0.262963	0.984241	0.983858	0.0197373	0.502	0.739432	0.332415	0.664	0.995599	0.0231672	0.0255844	0.00988256	0.642	0.00373463	0.0500139	0.6708	0.622449	0.708945	0.706469	0.0330036	0.436	0.372122	0.218931
2870	0.6513	0.258696	0.985741	0.985298	0.0195699	0.479	0.739629	0.373403	0.6447	0.994053	0.0263158	0.0256818	0.00987941	0.675	0.00409573	0.0455764	0.6573	0.615708	0.691606	0.700654	0.0341949	0.443	0.373353	0.210916
2880	0.63	0.269076	0.988048	0.988089	0.0169268	0.473	0.739981	0.386594	0.6721	0.995646	0.0269461	0.0264517	0.00862144	0.663	0.00416377	0.0476354	0.6663	0.629464	0.696196	0.697637	0.035462	0.452	0.373492	0.229062
2890	0.6877	0.263504	0.983701	0.987098	0.0163617	0.432	0.739477	0.383605	0.6567	0.995686	0.0299145	0.0250884	0.00832246	0.668	0.00430556	0.0475447	0.6597	0.620124	0.696525	0.700881	0.0357997	0.464	0.371559	0.240261
2900	0.6745	0.260606	0.985464	0.986063	0.0156693	0.428	0.737126	0.410449	0.6776	0.994792	0.0277439	0.0258371	0.00667457	0.66	0.00598253	0.062804	0.6772	0.634015	0.704926	0.701177	0.0289023	0.413	0.368456	0.232892
2910	0.6251	0.258871	0.985516	0.985314	0.0159366	0.471	0.7341	0.444453	0.615	0.995066	0.0255102	0.0264797	0.0075069	0.629	0.005152	0.0477244	0.6704	0.642523	0.691259	0.702486	0.0280376	0.431	0.368427	0.25697
2920	0.6787	0.259242	0.984948	0.984371	0.0158186	0.451	0.733404	0.365724	0.6546	0.994299	0.0264957	0.0265221	0.00880648	0.626	0.00509242	0.0488106	0.6633	0.634549	0.68839	0.703232	0.0260218	0.437	0.367348	0.244216
2930	0.6292	0.259138	0.980507	0.983637	0.0161286	0.466	0.733661	0.405728	0.6657	0.996662	0.0260997	0.0290502	0.0101225	0.673	0.00425242	0.0456688	0.672	0.635024	0.698123	0.704742	0.0251865	0.437	0.365898	0.252944
2940	0.6278	0.266398	0.984891	0.985375	0.0133519	0.497	0.728586	0.30358	0.6773	0.993155	0.0301829	0.0322869	0.00964623	0.651	0.00502592	0.056324	0.6724	0.624242	0.719604	0.707512	0.0229993	0.481	0.364297	0.25099
2950	0.6676	0.280266	0.985792	0.98721	0.0123844	0.448	0.72902	0.253974	0.6415	0.995728	0.0331522	0.0316364	0.0106568	0.65	0.00481131	0.0503212	0.6689	0.619608	0.720204	0.712425	0.0198059	0.515	0.366699	0.323867
2960	0.6646	0.272345	0.988139	0.986881	0.0116282	0.449	0.728007	0.22518	0.6024	0.995101	0.032598	0.0316359	0.00986248	0.59	0.00605478	0.06837	0.6662	0.634904	0.708197	0.710818	0.0219019	0.563	0.367651	0.373691
2970	0.6815	0.274186	0.988772	0.985907	0.0122996	0.435	0.726693	0.289585	0.6401	0.991024	0.029589	0.0301863	0.0108497	0.632	0.00756577	0.0857073	0.6721	0.63795	0.714865	0.711933	0.0213269	0.536	0.367627	0.293701
2980	0.6687	0.273874	0.983993	0.985335	0.0142739	0.444	0.726137	0.281958	0.6386	0.993839	0.0258856	0.029678	0.00926671	0.636	0.00680861	0.0727644	0.6674	0.643501	0.7	0.704676	0.0235021	0.593	0.365639	0.250654
2990	0.6561	0.267031	0.984871	0.985368	0.0148308	0.462	0.723742	0.295453	0.6591	0.992214	0.0266667	0.0298183	0.00974062	0.678	0.00649679	0.0648698	0.6564	0.629187	0.697733	0.70296	0.0221049	0.588	0.363484	0.21014
3000	0.6458	0.276101	0.982983	0.983862	0.0150755	0.441	0.723161	0.285012	0.6442	0.992344	0.0252778	0.0270236	0.0098829	0.65	0.0075564	0.0586467	0.6677	0.639416	0.701991	0.703023	0.0241108	0.542	0.364121	0.191132
3010	0.6543	0.276293	0.98153	0.984196	0.0131473	0.453	0.72085	0.361022	0.6716	0.991058	0.0200608	0.0241893	0.00987245	0.655	0.0087109	0.0866919	0.6671	0.63894	0.701104	0.700842	0.0210179	0.536	0.358458	0.303664
3020	0.6905	0.276683	0.985274	0.985259	0.0126569	0.436	0.718092	0.351786	0.684	0.991801	0.0208202	0.0228151	0.00948218	0.685	0.0081443	0.07766	0.6701	0.643643	0.699577	0.703062	0.0187566	0.54	0.357891	0.292411
3030	0.6756	0.283144	0.982709	0.982093	0.0125973	0.423	0.714443	0.345297	0.6333	0.993461	0.027882	0.0276721	0.0131565	0.658	0.00694606	0.0693006	0.6648	0.635657	0.694177	0.701853	0.017702	0.501	0.357931	0.374902
3040	0.6557	0.297699	0.983525	0.980167	0.0133473	0.462	0.711501	0.260006	0.6438	0.993574	0.0273481	0.0266434	0.0120188	0.637	0.00744137	0.070139	0.6775	0.651055	0.701331	0.700254	0.016073	0.459	0.354712	0.356578
3050	0.6781	0.285945	0.978799	0.978495	0.014152	0.466	0.709555	0.242767	0.6396	0.991339	0.0276712	0.0243995	0.0134891	0.664	0.00737564	0.0621117	0.6765	0.64881	0.696552	0.699845	0.0146461	0.408	0.354135	0.339939
3060	0.6444	0.294479	0.979256	0.981597	0.0103831	0.451	0.707781	0.20283	0.6093	0.994352	0.0268844	0.0275819	0.0152142	0.618	0.00743107	0.0627785	0.6707	0.637372	0.702339	0.701219	0.0138399	0.51	0.35661	0.447182
3070	0.6445	0.288247	0.98	0.980173	0.00981397	0.473	0.705278	0.180756	0.6335	0.988906	0.0257453	0.0232322	0.0116248	0.654	0.00845733	0.0672246	0.6656	0.642039	0.695465	0.696843	0.0145087	0.546	0.351317	0.391233
3080	0.672	0.298234	0.981536	0.98062	0.0100227	0.464	0.705515	0.198891	0.6608	0.99044	0.0237537	0.0245126	0.0112862	0.672	0.00904532	0.0844357	0.6667	0.637876	0.695409	0.69625	0.0141414	0.486	0.348957	0.399714
3090	0.6941	0.29715	0.982729	0.980419	0.0109297	0.418	0.704154	0.198233	0.6562	0.992945	0.0252874	0.0248926	0.0165054	0.651	0.00666911	0.0646911	0.661	0.647109	0.680825	0.695119	0.0144482	0.565	0.350652	0.473126
3100	0.6495	0.302857	0.982549	0.980838	0.0112601	0.499	0.704897	0.191293	0.6496	0.993953	0.0239437	0.0237777	0.0129909	0.645	0.00742654	0.0436805	0.6708	0.657293	0.688631	0.694382	0.0153294	0.566	0.344153	0.439089
3110	0.6501	0.30409	0.981213	0.978198	0.0121658	0.485	0.704253	0.206131	0.6591	0.994495	0.0251445	0.0240861	0.0135638	0.667	0.00683685	0.043589	0.6654	0.648991	0.685055	0.69406	0.0176951	0.542	0.341596	0.450788
3120	0.5935	0.287455	0.979864	0.979156	0.0131858	0.548	0.703006	0.238099	0.6625	0.994833	0.0230994	0.0238883	0.013949	0.638	0.00749086	0.0487323	0.6731	0.659486	0.687045	0.694395	0.0160225	0.503	0.340691	0.431311
3130	0.6423	0.312426	0.981542	0.97942	0.0122365	0.489	0.700786	0.267041	0.6576	0.99447	0.0292264	0.0263064	0.0165842	0.649	0.00690201	0.0478155	0.6756	0.661217	0.695059	0.69315	0.015869	0.57	0.343354	0.439389
3140	0.6477	0.301633	0.980196	0.979687	0.0117755	0.504	0.699492	0.291431	0.6505	0.995504	0.023662	0.0253673	0.0161544	0.627	0.00598068	0.0421819	0.6668	0.654145	0.683372	0.697976	0.0180185	0.588	0.343736	0.297415
3150	0.6659	0.303905	0.97551	0.979746	0.0139493	0.46	0.697113	0.227794	0.6034	0.993155	0.021197	0.0215242	0.0146181	0.596	0.00642427	0.0528102	0.6685	0.657258	0.686842	0.699687	0.0168292	0.633	0.340797	0.264529
3160	0.6815	0.297025	0.979929	0.979331	0.014567	0.425	0.695305	0.19491	0.643	0.993271	0.0229917	0.0243648	0.0145727	0.645	0.00636386	0.0542694	0.6766	0.658671	0.705483	0.700259	0.0169261	0.604	0.342218	0.260882
3170	0.6261	0.297476	0.975052	0.978648	0.0143172	0.501	0.693241	0.183499	0.656	0.995231	0.026	0.0225644	0.0123129	0.632	0.00531432	0.0448063	0.6717	0.651199	0.700481	0.702933	0.0159794	0.597	0.339647	0.261707
3180	0.661	0.293966	0.978731	0.978108	0.0134422	0.469	0.692398	0.170125	0.6094	0.99485	0.0263819	0.0241139	0.0110587	0.625	0.00472516	0.0426905	0.6927	0.672439	0.716199	0.699329	0.0185127	0.536	0.338826	0.217719
3190	0.6731	0.297092	0.977034	0.97777	0.0167973	0.44	0.690854	0.185568	0.6481	0.995334	0.0226891	0.0250989	0.0123796	0.64	0.0047837	0.0516695	0.6756	0.6614	0.693454	0.701097	0.0179576	0.562	0.338159	0.222791
3200	0.6854	0.308219	0.979359	0.979265	0.0163391	0.434	0.691077	0.170462	0.6871	0.995455	0.0257862	0.0269603	0.0138795	0.66	0.00535099	0.0729611	0.6779	0.662349	0.699287	0.701451	0.0161564	0.567	0.338488	0.221491
3210	0.696	0.311765	0.98	0.980312	0.017772	0.459	0.689744	0.193089	0.6655	0.992576	0.0305882	0.0286732	0.0146837	0.664	0.00614154	0.0924723	0.6732	0.652357	0.703695	0.698384	0.0189894	0.599	0.338027	0.221296
3220	0.6749	0.304867	0.980109	0.977651	0.0177731	0.44	0.689773	0.189921	0.635	0.993312	0.0301075	0.0290296	0.0148721	0.638	0.00473541	0.0625366	0.6827	0.661567	0.707112	0.697238	0.0173907	0.572	0.337172	0.236759
3230	0.6387	0.317739	0.976797	0.977094	0.0188558	0.509	0.689151	0.238911	0.658	0.994632	0.0272989	0.0248525	0.0147344	0.648	0.00445101	0.0565888	0.6758	0.670236	0.682628	0.691483	0.0210221	0.564	0.338345	0.306817
3240	0.6438	0.316168	0.972745	0.975795	0.019785	0.474	0.688419	0.238126	0.66	0.994954	0.0268786	0.0234138	0.0126753	0.663	0.00504394	0.0715308	0.6731	0.656584	0.694292	0.696059	0.0183953	0.519	0.338056	0.335953
3250	0.6238	0.31161	0.981545	0.978555	0.0181623	0.535	0.686931	0.237931	0.6689	0.994721	0.0278932	0.0272439	0.0125598	0.684	0.00430227	0.0592933	0.6838	0.664625	0.703441	0.698284	0.01951	0.541	0.336276	0.33009
3260	0.6377	0.32381	0.984632	0.982722	0.0158844	0.501	0.687412	0.249038	0.6835	0.996006	0.0314815	0.0304672	0.0143895	0.674	0.00403469	0.0454462	0.6827	0.670204	0.694706	0.699273	0.0160957	0.476	0.331385	0.387587
3270	0.6325	0.309249	0.981289	0.98244	0.0144779	0.543	0.689447	0.224177	0.6276	0.996284	0.0286089	0.0300322	0.0124325	0.629	0.00354679	0.0365977	0.6919	0.678621	0.702124	0.698607	0.0166566	0.416	0.33084	0.390145
3280	0.6572	0.311983	0.981008	0.980446	0.0166983	0.452	0.685242	0.288667	0.6681	0.995738	0.0405248	0.0339826	0.0140892	0.623	0.0041167	0.034279	0.6888	0.667511	0.707985	0.701179	0.0185183	0.455	0.329192	0.383332
3290	0.663	0.316946	0.979885	0.978123	0.0174124	0.456	0.684691	0.290652	0.6346	0.994888	0.0315508	0.0361558	0.0136166	0.634	0.00553625	0.0419668	0.6819	0.663386	0.701016	0.698714	0.02037	0.489	0.328162	0.443049
3300	0.6609	0.327216	0.975146	0.976986	0.018203	0.498	0.684859	0.331935	0.6404	0.994929	0.0341463	0.0342607	0.0128252	0.641	0.00528579	0.0433297	0.6873	0.674207	0.699051	0.697802	0.0219639	0.478	0.327012	0.518008
3310	0.6724	0.321075	0.977757	0.979043	0.0176469	0.459	0.683989	0.307883	0.6781	0.995509	0.0394578	0.0349883	0.014002	0.647	0.00506459	0.0442339	0.6887	0.685948	0.69075	0.68969	0.0202081	0.412	0.321076	0.53012
3320	0.6879	0.313333	0.976283	0.976228	0.0172638	0.429	0.683198	0.346344	0.6282	0.994346	0.0333333	0.0357784	0.0156369	0.62	0.00464885	0.0417549	0.6882	0.69	0.686538	0.683796	0.0174557	0.487	0.31698	0.421535
3330	0.6555	0.308211	0.969714	0.972605	0.019393	0.508	0.682643	0.278879	0.572	0.994286	0.0345455	0.0326818	0.0151663	0.594	0.00509002	0.0407647	0.6788	0.691232	0.669723	0.680101	0.0175042	0.433	0.316281	0.46061
3340	0.6812	0.327253	0.976697	0.970559	0.0176806	0.449	0.677641	0.422241	0.6294	0.993861	0.0372703	0.0352704	0.0134415	0.632	0.00467722	0.037871	0.6922	0.697593	0.687661	0.682544	0.0176337	0.465	0.316719	0.564141
3350	0.6696	0.319828	0.972388	0.971169	0.0171883	0.468	0.677079	0.458302	0.6093	0.9965	0.0285	0.032043	0.0127045	0.59	0.00539052	0.0409687	0.6823	0.692035	0.67427	0.680619	0.0162721	0.45	0.314115	0.396635
3360	0.641	0.321302	0.969777	0.970915	0.0167289	0.509	0.676511	0.460264	0.6773	0.994345	0.0277439	0.0330264	0.0119536	0.637	0.00444997	0.0330828	0.6825	0.686614	0.678252	0.679864	0.0143596	0.507	0.310653	0.328585
3370	0.6885	0.329054	0.97554	0.975602	0.0159636	0.462	0.675084	0.426784	0.6487	0.996406	0.0305556	0.0302623	0.0123733	0.626	0.00391491	0.0352218	0.6809	0.691252	0.670423	0.678601	0.014453	0.484	0.307273	0.329727
3380	0.6564	0.328455	0.974016	0.974758	0.018047	0.521	0.675575	0.381447	0.6743	0.997744	0.0322388	0.0330184	0.0108774	0.633	0.00320116	0.0305557	0.68	0.684686	0.674454	0.674986	0.0113804	0.524	0.305617	0.293354
3390	0.6334	0.317625	0.978243	0.977635	0.0172601	0.508	0.673724	0.345347	0.6264	0.996591	0.0325521	0.0323114	0.01166	0.627	0.00360382	0.0293187	0.6852	0.686957	0.683401	0.673461	0.0131424	0.515	0.303331	0.225553
3400	0.6639	0.312236	0.980798	0.980303	0.0167318	0.499	0.670898	0.343993	0.6502	0.994992	0.0398892	0.0330431	0.0164061	0.666	0.00406167	0.032902	0.6877	0.694767	0.680165	0.673861	0.0155399	0.538	0.305063	0.232617
3410	0.633	0.332022	0.977897	0.980345	0.0180879	0.504	0.671604	0.357345	0.6432	0.995261	0.0359673	0.0319176	0.0195984	0.649	0.00416178	0.0308858	0.6884	0.699802	0.676815	0.675255	0.0142159	0.517	0.303111	0.246705
3420	0.6317	0.333024	0.980911	0.980767	0.0155411	0.548	0.664216	0.294967	0.7024	0.998127	0.0316993	0.0301745	0.0179223	0.665	0.00363577	0.0211413	0.6827	0.697722	0.670945	0.673155	0.0138646	0.416	0.300526	0.263158
3430	0.6504	0.34914	0.980713	0.97904	0.0147647	0.538	0.66264	0.243657	0.6219	0.995595	0.0299742	0.0304177	0.0181516	0.612	0.00315655	0.0201387	0.682	0.708547	0.667643	0.673877	0.0133473	0.355	0.298022	0.254742
3440	0.6291	0.345307	0.981614	0.979207	0.0141663	0.542	0.659608	0.234545	0.6413	0.995563	0.0355014	0.0336536	0.0130458	0.655	0.00350045	0.0234792	0.6852	0.706971	0.672249	0.670658	0.0150834	0.37	0.297667	0.233769
3450	0.6908	0.33125	0.982609	0.980505	0.0116591	0.452	0.660417	0.312791	0.6342	0.995527	0.0294118	0.0308692	0.0108472	0.645	0.00394028	0.0319359	0.6866	0.69391	0.683285	0.67039	0.0146619	0.335	0.298401	0.257864
3460	0.6981	0.337188	0.982826	0.98067	0.0102298	0.444	0.656608	0.347768	0.684	0.993667	0.028972	0.0302619	0.0106758	0.676	0.0055891	0.0458775	0.6708	0.694576	0.660851	0.667512	0.014978	0.303	0.294595	0.220633
3470	0.6601	0.345129	0.978873	0.980186	0.0114071	0.512	0.655562	0.376569	0.6347	0.99172	0.0319892	0.0317649	0.0101946	0.622	0.00679178	0.0534645	0.6758	0.687246	0.669771	0.670614	0.0140522	0.359	0.297912	0.295323
3480	0.6962	0.340315	0.980396	0.979417	0.0117555	0.454	0.652533	0.358129	0.6579	0.994009	0.0309456	0.0337593	0.0104915	0.646	0.00638539	0.0498703	0.667	0.692879	0.654653	0.665504	0.0155775	0.34	0.295892	0.248709
3490	0.7158	0.34821	0.980895	0.98096	0.0121926	0.44	0.653924	0.343706	0.6193	0.994563	0.0396947	0.0353286	0.011496	0.619	0.00561585	0.0513748	0.6737	0.714706	0.649201	0.662953	0.0151961	0.382	0.294428	0.219725
3500	0.6807	0.359006	0.981238	0.981345	0.0132933	0.507	0.651277	0.379443	0.6834	0.994527	0.0342593	0.0351912	0.0129687	0.649	0.00527508	0.0501626	0.6725	0.696717	0.656623	0.662994	0.0140627	0.409	0.294157	0.272838
3510	0.6749	0.354582	0.98389	0.983105	0.0112239	0.507	0.650843	0.470394	0.6223	0.994454	0.0328165	0.0344544	0.0161111	0.647	0.00533275	0.0515071	0.6791	0.695887	0.668412	0.667648	0.0136919	0.396	0.294156	0.314452
3520	0.6752	0.338655	0.980916	0.981492	0.0127135	0.484	0.651813	0.519129	0.6778	0.993871	0.0389728	0.0387381	0.0127129	0.652	0.00579039	0.0544301	0.6805	0.701974	0.6625	0.667288	0.0154028	0.468	0.292941	0.275054
3530	0.6497	0.346809	0.973913	0.978919	0.0157631	0.505	0.650634	0.700926	0.6664	0.994681	0.0347953	0.0364718	0.0141599	0.649	0.00568667	0.0465464	0.6881	0.708299	0.669305	0.663201	0.0142343	0.497	0.290778	0.287521
3540	0.6574	0.34359	0.980122	0.979833	0.0155492	0.5	0.652599	0.690687	0.6656	0.994529	0.0327485	0.033799	0.0131165	0.656	0.00550857	0.0344769	0.6856	0.710562	0.665586	0.664906	0.0136586	0.452	0.290532	0.280711
3550	0.6792	0.349266	0.980115	0.980082	0.0151545	0.489	0.648484	0.600503	0.6927	0.99562	0.0339683	0.0304156	0.0113857	0.697	0.00490022	0.0301987	0.6945	0.720196	0.667755	0.664867	0.0129609	0.498	0.288371	0.266774
3560	0.6508	0.344961	0.97686	0.977759	0.0158365	0.491	0.648755	0.67365	0.6405	0.994286	0.0381081	0.033912	0.0132413	0.651	0.00455182	0.0213624	0.6939	0.711071	0.672045	0.663685	0.0144032	0.579	0.286565	0.280071
3570	0.6285	0.355694	0.978539	0.98215	0.0126826	0.539	0.64615	0.514529	0.6569	0.995981	0.0354108	0.0376941	0.0156013	0.654	0.00486162	0.0243828	0.6844	0.709249	0.657588	0.661045	0.0157201	0.51	0.287039	0.258178
