Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal
240	0.6402	0.0582857	0.953538	0.951389	0.0166602	0.339	0.946406	0.210205	0.6351	0.965566	0.0576923	0.0520029	0.0137003	0.645	0.0322395	0.358036	0.6088	0.341341	0.667113	0.666909	0.0137292	0.164	0.658235	0.252407
250	0.6712	0.056962	0.954971	0.951684	0.0196902	0.329	0.948367	0.203638	0.6387	0.970671	0.045961	0.0546597	0.0120118	0.62	0.0302212	0.355163	0.5912	0.330769	0.659596	0.666707	0.0128485	0.201	0.656893	0.240519
260	0.645	0.0502941	0.951364	0.950073	0.0200162	0.348	0.949177	0.280209	0.6607	0.974507	0.0542522	0.0516641	0.00977525	0.675	0.0252387	0.288174	0.6148	0.339444	0.675244	0.668623	0.0139904	0.172	0.656699	0.213847
270	0.6481	0.0514793	0.952719	0.947862	0.0169573	0.331	0.947125	0.258141	0.6242	0.975405	0.0560209	0.052638	0.0122638	0.629	0.0217308	0.27451	0.6028	0.355721	0.664956	0.666473	0.0146947	0.202	0.657157	0.227849
280	0.6185	0.0584239	0.94462	0.95058	0.0178039	0.375	0.946427	0.227949	0.6072	0.980537	0.0564356	0.0507102	0.0102699	0.64	0.0204727	0.310539	0.5945	0.335	0.667692	0.663182	0.0146988	0.223	0.657174	0.264223
290	0.6157	0.0458445	0.954705	0.952286	0.021003	0.376	0.946747	0.218098	0.6571	0.981231	0.0551429	0.0514677	0.00927691	0.66	0.0188268	0.327246	0.5932	0.331658	0.658177	0.666466	0.0150822	0.218	0.655237	0.351377
300	0.65	0.0535503	0.954532	0.953496	0.0233953	0.317	0.944568	0.26948	0.7075	0.979291	0.0579661	0.051578	0.00853855	0.682	0.0194577	0.308926	0.6092	0.34596	0.67419	0.66931	0.0157865	0.223	0.656613	0.357265
310	0.6504	0.0594675	0.952115	0.954722	0.0237642	0.332	0.943892	0.325601	0.6676	0.983008	0.0414925	0.0506451	0.00991326	0.659	0.0189482	0.269504	0.5989	0.351092	0.672503	0.67021	0.0142054	0.232	0.65679	0.384234
320	0.6579	0.0594118	0.966212	0.960774	0.0260936	0.327	0.945694	0.286247	0.7205	0.981425	0.0626761	0.0543346	0.0109506	0.685	0.0182172	0.288779	0.5901	0.353101	0.672507	0.671918	0.0129919	0.262	0.657722	0.405267
330	0.6102	0.0603627	0.955863	0.957288	0.0239471	0.368	0.943003	0.329846	0.6766	0.982537	0.0554545	0.0556378	0.0107345	0.643	0.016103	0.268609	0.5744	0.321401	0.661911	0.670655	0.013343	0.232	0.658833	0.422753
340	0.6579	0.0566265	0.956737	0.958881	0.0254969	0.336	0.943696	0.347425	0.647	0.986772	0.0558904	0.0540704	0.0104194	0.622	0.0147953	0.282135	0.6039	0.339572	0.664699	0.667182	0.0139906	0.19	0.655518	0.312156
