Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
130000	0.4407	0.752446	0.0057485	0.498862	0.484062	0.57537	0.432009	0.4349	0.738923	0.00314618	0.00401887	0.00581562	0.589138	0.0593833	0.4194	0.772523	0.0131183	0.294407	0.395968	0.551497	0.319859
135000	0.4142	0.763729	0.0202085	0.431442	0.470982	0.556347	0.389272	0.4178	0.75852	0.00354531	0.00445033	0.00750987	0.550628	0.0428055	0.4317	0.754993	0.018898	0.403558	0.463265	0.568053	0.362919
140000	0.4408	0.745727	0.0309423	0.464329	0.497098	0.572535	0.374872	0.4474	0.744987	0.00398406	0.00365849	0.00687446	0.59	0.0189265	0.4254	0.748572	0.0134213	0.122279	0.306366	0.545299	0.174798
145000	0.4343	0.760099	0.00785038	0.380107	0.4745	0.561089	0.344672	0.4234	0.751116	0.00613776	0.00465438	0.00609981	0.562728	0.0131187	0.4343	0.756277	0.00836237	0.0078047	0.00962246	0.565375	0.0290877
150000	0.4296	0.739592	0.0117398	0.339635	0.463317	0.57002	0.30783	0.4248	0.761879	0.010477	0.0123504	0.0153811	0.54039	0.037635	0.4273	0.750574	0.00553123	0.00683037	0.00817226	0.56422	0.0466686
155000	0.435	0.755198	0.00654664	0.358554	0.427228	0.593742	0.334092	0.4255	0.750089	0.00596057	0.00774944	0.00989403	0.56261	0.0236505	0.4317	0.736526	0.00622904	0.0064621	0.00605396	0.590329	0.0315166
160000	0.437	0.749957	0.00852878	0.201184	0.348842	0.57108	0.239445	0.4247	0.774922	0.00571052	0.00653436	0.01122	0.539853	0.0190036	0.4235	0.76281	0.004914	0.00589716	0.0099344	0.55626	0.0128507
165000	0.3997	0.772594	0.0114309	0.00825476	0.0107934	0.526441	0.0161022	0.4318	0.76558	0.00973732	0.010805	0.0163801	0.564939	0.0309687	0.441	0.728676	0.00478108	0.00540373	0.00582723	0.590705	0.0147136
170000	0.4275	0.757668	0.00591985	0.00764859	0.00763246	0.566517	0.108012	0.4175	0.789975	0.0063118	0.00585275	0.00882703	0.525681	0.0124877	0.432	0.7674	0.00702788	0.00605809	0.00656099	0.553098	0.0194368
175000	0.4208	0.780224	0.00560345	0.00409567	0.00573403	0.540806	0.127584	0.4234	0.769625	0.0061742	0.00876318	0.0092787	0.535589	0.0215077	0.4272	0.740355	0.00282619	0.00331091	0.00627625	0.581737	0.0198808
