Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0	0.05	0	0.05	0.05	7.07767e-16	0	0	0.67	0	0.67	0.67	5.77316e-15	0	0
100	0.9484	-nan	0.9484	0.948607	0.0107453	0	0	0.055	-nan	0.055	0.0517794	0.0106591	0	0	0.6665	-nan	0.6665	0.670782	0.00779346	0	0
200	0.9462	-nan	0.9462	0.948288	0.0113927	0	0	0.0629	-nan	0.0629	0.064869	0.0125971	0	0	0.683	-nan	0.683	0.678346	0.0130689	0	0
300	0.9432	-nan	0.9432	0.943463	0.0165689	0	0	0.0749	-nan	0.0749	0.0738397	0.0174475	0	0	0.6697	-nan	0.6697	0.675027	0.0159106	0	0
400	0.9402	-nan	0.9402	0.93574	0.0131014	0	0	0.0817	-nan	0.0817	0.0792448	0.0192793	0	0	0.6893	-nan	0.6893	0.680883	0.0159573	0	0
500	0.9396	-nan	0.9396	0.937601	0.0146216	0	0	0.1031	-nan	0.1031	0.105378	0.0232556	0	0	0.6809	-nan	0.6809	0.67794	0.0167515	0	0
600	0.9339	-nan	0.9339	0.936477	0.0180448	0	0	0.1376	-nan	0.1376	0.143619	0.0252039	0	0	0.6716	-nan	0.6716	0.67546	0.0255287	0	0
700	0.9265	-nan	0.9265	0.926948	0.0156658	0	0	0.1616	-nan	0.1616	0.167042	0.0214601	0	0	0.677	-nan	0.677	0.675333	0.0281594	0	0
800	0.9284	-nan	0.9284	0.928865	0.0159161	0	0	0.1799	-nan	0.1799	0.178625	0.0155212	0	0	0.6682	-nan	0.6682	0.666809	0.0337369	0	0
900	0.9163	-nan	0.9163	0.918842	0.00960748	0	0	0.1939	-nan	0.1939	0.190567	0.0180775	0	0	0.6729	-nan	0.6729	0.658815	0.0405428	0	0
1000	0.911	-nan	0.911	0.910949	0.0170356	0	0	0.1979	-nan	0.1979	0.196686	0.0175336	0	0	0.6462	-nan	0.6462	0.64613	0.0331945	0	0
1100	0.9051	-nan	0.9051	0.902257	0.020151	0	0	0.1934	-nan	0.1934	0.198075	0.0217334	0	0	0.6446	-nan	0.6446	0.644152	0.0360616	0	0
1200	0.8889	-nan	0.8889	0.891924	0.0208477	0	0	0.2147	-nan	0.2147	0.217179	0.0198836	0	0	0.6513	-nan	0.6513	0.656068	0.0317044	0	0
1300	0.8998	-nan	0.8998	0.900558	0.0261639	0	0	0.2307	-nan	0.2307	0.230286	0.0103902	0	0	0.6566	-nan	0.6566	0.650779	0.0319234	0	0
1400	0.89	-nan	0.89	0.88971	0.0313904	0	0	0.2354	-nan	0.2354	0.233248	0.0110573	0	0	0.6577	-nan	0.6577	0.655648	0.0296265	0	0
1500	0.8972	-nan	0.8972	0.893789	0.0253616	0	0	0.2398	-nan	0.2398	0.236655	0.0109468	0	0	0.656	-nan	0.656	0.658974	0.0301829	0	0
1600	0.8716	-nan	0.8716	0.871907	0.0180427	0	0	0.2337	-nan	0.2337	0.236312	0.0134193	0	0	0.6559	-nan	0.6559	0.65595	0.0285267	0	0
1700	0.8659	-nan	0.8659	0.86205	0.0212574	0	0	0.2307	-nan	0.2307	0.23911	0.017551	0	0	0.6655	-nan	0.6655	0.66323	0.0275826	0	0
1800	0.8637	-nan	0.8637	0.86555	0.0198128	0	0	0.2426	-nan	0.2426	0.239837	0.0188118	0	0	0.6593	-nan	0.6593	0.65906	0.0324967	0	0
1900	0.8499	-nan	0.8499	0.857743	0.0233517	0	0	0.2607	-nan	0.2607	0.249637	0.0184941	0	0	0.6503	-nan	0.6503	0.646906	0.0401264	0	0
2000	0.8586	-nan	0.8586	0.860241	0.0320978	0	0	0.2687	-nan	0.2687	0.267713	0.0241892	0	0	0.6537	-nan	0.6537	0.656858	0.0301315	0	0
2100	0.85	-nan	0.85	0.848643	0.0317446	0	0	0.2772	-nan	0.2772	0.282828	0.0211267	0	0	0.6604	-nan	0.6604	0.654862	0.0287063	0	0
2200	0.8482	-nan	0.8482	0.849797	0.0237557	0	0	0.2965	-nan	0.2965	0.294758	0.0138367	0	0	0.6681	-nan	0.6681	0.662203	0.0223133	0	0
2300	0.8323	-nan	0.8323	0.836098	0.0224094	0	0	0.2948	-nan	0.2948	0.295077	0.0158543	0	0	0.6909	-nan	0.6909	0.687443	0.0305025	0	0
2400	0.8412	-nan	0.8412	0.836009	0.0205898	0	0	0.2932	-nan	0.2932	0.294854	0.0179654	0	0	0.7073	-nan	0.7073	0.704635	0.0267799	0	0
2500	0.8425	-nan	0.8425	0.839613	0.0246827	0	0	0.309	-nan	0.309	0.305164	0.0151836	0	0	0.7133	-nan	0.7133	0.712951	0.021103	0	0
2600	0.8436	-nan	0.8436	0.8413	0.0298232	0	0	0.3093	-nan	0.3093	0.308773	0.0144367	0	0	0.7113	-nan	0.7113	0.709085	0.0177324	0	0
2700	0.8565	-nan	0.8565	0.859794	0.0368469	0	0	0.3049	-nan	0.3049	0.304404	0.0143619	0	0	0.7065	-nan	0.7065	0.70509	0.0211146	0	0
2800	0.8594	-nan	0.8594	0.86031	0.0340598	0	0	0.3105	-nan	0.3105	0.311019	0.0194541	0	0	0.7102	-nan	0.7102	0.712722	0.0262206	0	0
2900	0.8418	-nan	0.8418	0.839444	0.031347	0	0	0.3141	-nan	0.3141	0.315079	0.0243049	0	0	0.7187	-nan	0.7187	0.718381	0.0226511	0	0
3000	0.8402	-nan	0.8402	0.839422	0.0340473	0	0	0.3233	-nan	0.3233	0.324031	0.0242577	0	0	0.7117	-nan	0.7117	0.717648	0.0331434	0	0
3100	0.8359	-nan	0.8359	0.840238	0.0353261	0	0	0.3394	-nan	0.3394	0.338543	0.0185477	0	0	0.6965	-nan	0.6965	0.700797	0.0294004	0	0
3200	0.8321	-nan	0.8321	0.82871	0.0334574	0	0	0.3494	-nan	0.3494	0.35007	0.0141205	0	0	0.7017	-nan	0.7017	0.701154	0.0313221	0	0
3300	0.8226	-nan	0.8226	0.817208	0.0256728	0	0	0.357	-nan	0.357	0.352682	0.0167581	0	0	0.7001	-nan	0.7001	0.702193	0.0281991	0	0
3400	0.811	-nan	0.811	0.811991	0.0254707	0	0	0.3601	-nan	0.3601	0.353136	0.0144393	0	0	0.6926	-nan	0.6926	0.689035	0.0294249	0	0
3500	0.8085	-nan	0.8085	0.814966	0.0243432	0	0	0.3559	-nan	0.3559	0.350955	0.0167905	0	0	0.6842	-nan	0.6842	0.688476	0.0321405	0	0
3600	0.8151	-nan	0.8151	0.806726	0.0259984	0	0	0.3548	-nan	0.3548	0.352301	0.0200129	0	0	0.6968	-nan	0.6968	0.697999	0.0252226	0	0
3700	0.8043	-nan	0.8043	0.802314	0.0303283	0	0	0.3611	-nan	0.3611	0.36108	0.0242866	0	0	0.6946	-nan	0.6946	0.696488	0.0280033	0	0
3800	0.7942	-nan	0.7942	0.793337	0.0238142	0	0	0.3773	-nan	0.3773	0.373339	0.0205927	0	0	0.7136	-nan	0.7136	0.712924	0.020967	0	0
3900	0.7914	-nan	0.7914	0.7882	0.0200793	0	0	0.3734	-nan	0.3734	0.371556	0.0191463	0	0	0.7127	-nan	0.7127	0.717362	0.0267874	0	0
4000	0.7823	-nan	0.7823	0.785273	0.0199283	0	0	0.384	-nan	0.384	0.381162	0.0235019	0	0	0.7266	-nan	0.7266	0.726273	0.0227802	0	0
4100	0.7801	-nan	0.7801	0.785035	0.0238044	0	0	0.3847	-nan	0.3847	0.38798	0.0198654	0	0	0.73	-nan	0.73	0.72987	0.0181851	0	0
4200	0.7756	-nan	0.7756	0.776304	0.0334205	0	0	0.4025	-nan	0.4025	0.395522	0.0177448	0	0	0.7312	-nan	0.7312	0.730284	0.0194637	0	0
4300	0.7745	-nan	0.7745	0.771988	0.0285327	0	0	0.3996	-nan	0.3996	0.395291	0.022693	0	0	0.7255	-nan	0.7255	0.723746	0.018966	0	0
4400	0.7519	-nan	0.7519	0.755065	0.0282465	0	0	0.3997	-nan	0.3997	0.404963	0.019212	0	0	0.7301	-nan	0.7301	0.737286	0.0193312	0	0
4500	0.774	-nan	0.774	0.764673	0.0225753	0	0	0.4204	-nan	0.4204	0.414026	0.0186028	0	0	0.7507	-nan	0.7507	0.745423	0.0196858	0	0
4600	0.7625	-nan	0.7625	0.763594	0.022497	0	0	0.4137	-nan	0.4137	0.420993	0.0140088	0	0	0.7492	-nan	0.7492	0.745101	0.0224852	0	0
4700	0.7696	-nan	0.7696	0.766102	0.0222098	0	0	0.425	-nan	0.425	0.422411	0.0176386	0	0	0.7503	-nan	0.7503	0.747868	0.0230839	0	0
4800	0.7699	-nan	0.7699	0.76863	0.0222414	0	0	0.437	-nan	0.437	0.436221	0.0184216	0	0	0.7355	-nan	0.7355	0.738668	0.0145426	0	0
4900	0.7685	-nan	0.7685	0.766811	0.0254056	0	0	0.4449	-nan	0.4449	0.438224	0.021666	0	0	0.7414	-nan	0.7414	0.733585	0.0173822	0	0
5000	0.7612	-nan	0.7612	0.754731	0.0203079	0	0	0.444	-nan	0.444	0.43998	0.0180447	0	0	0.7277	-nan	0.7277	0.733968	0.018982	0	0
5100	0.7645	-nan	0.7645	0.760108	0.0179719	0	0	0.4357	-nan	0.4357	0.440848	0.0215661	0	0	0.7271	-nan	0.7271	0.73208	0.0239026	0	0
5200	0.7724	-nan	0.7724	0.771388	0.0215609	0	0	0.4445	-nan	0.4445	0.448183	0.0224989	0	0	0.7447	-nan	0.7447	0.742966	0.027025	0	0
