Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0	0.05	0	0.05	0.05	7.07767e-16	0	0	0.67	0	0.67	0.67	5.77316e-15	0	0
100	0.9504	-nan	0.9504	0.949507	0.0109357	0	0	0.0971	-nan	0.0971	0.0947583	0.0145012	0	0	0.6629	-nan	0.6629	0.667381	0.0153778	0	0
200	0.956	-nan	0.956	0.955017	0.0138338	0	0	0.1577	-nan	0.1577	0.153775	0.0131083	0	0	0.6641	-nan	0.6641	0.662263	0.0159251	0	0
300	0.9484	-nan	0.9484	0.948807	0.0168877	0	0	0.193	-nan	0.193	0.190981	0.0223639	0	0	0.6501	-nan	0.6501	0.654051	0.0203144	0	0
400	0.9483	-nan	0.9483	0.944403	0.0164675	0	0	0.2358	-nan	0.2358	0.233597	0.018548	0	0	0.6636	-nan	0.6636	0.658315	0.0143993	0	0
500	0.9334	-nan	0.9334	0.932583	0.0202142	0	0	0.2838	-nan	0.2838	0.288185	0.0161829	0	0	0.6719	-nan	0.6719	0.667442	0.0121371	0	0
600	0.928	-nan	0.928	0.930503	0.0176536	0	0	0.2935	-nan	0.2935	0.298117	0.0154597	0	0	0.6646	-nan	0.6646	0.667672	0.0115215	0	0
700	0.9231	-nan	0.9231	0.923453	0.0191635	0	0	0.3132	-nan	0.3132	0.314378	0.0167316	0	0	0.6716	-nan	0.6716	0.67045	0.017645	0	0
800	0.9126	-nan	0.9126	0.910434	0.0152804	0	0	0.3455	-nan	0.3455	0.336164	0.0174145	0	0	0.6704	-nan	0.6704	0.667321	0.0241071	0	0
900	0.8986	-nan	0.8986	0.900359	0.0147951	0	0	0.3508	-nan	0.3508	0.344082	0.015848	0	0	0.6695	-nan	0.6695	0.657635	0.0294267	0	0
1000	0.8893	-nan	0.8893	0.88933	0.0170925	0	0	0.3551	-nan	0.3551	0.354331	0.0117284	0	0	0.6579	-nan	0.6579	0.656829	0.0377211	0	0
1100	0.8822	-nan	0.8822	0.876924	0.016099	0	0	0.3628	-nan	0.3628	0.3578	0.0120464	0	0	0.6624	-nan	0.6624	0.658881	0.0359148	0	0
1200	0.8647	-nan	0.8647	0.865014	0.0175776	0	0	0.3712	-nan	0.3712	0.378659	0.0201646	0	0	0.6525	-nan	0.6525	0.652904	0.0398505	0	0
1300	0.8593	-nan	0.8593	0.858763	0.011937	0	0	0.3878	-nan	0.3878	0.388596	0.0179132	0	0	0.6657	-nan	0.6657	0.662159	0.0456205	0	0
1400	0.8575	-nan	0.8575	0.855688	0.0136389	0	0	0.3978	-nan	0.3978	0.39776	0.0189475	0	0	0.6887	-nan	0.6887	0.682222	0.0496012	0	0
1500	0.8563	-nan	0.8563	0.852708	0.0151772	0	0	0.418	-nan	0.418	0.415331	0.0120218	0	0	0.6881	-nan	0.6881	0.691808	0.0411822	0	0
1600	0.8458	-nan	0.8458	0.8469	0.0218321	0	0	0.4186	-nan	0.4186	0.415473	0.0119657	0	0	0.6958	-nan	0.6958	0.697992	0.0410746	0	0
1700	0.8358	-nan	0.8358	0.835082	0.0222617	0	0	0.4165	-nan	0.4165	0.424575	0.013159	0	0	0.6864	-nan	0.6864	0.684372	0.0427654	0	0
1800	0.8245	-nan	0.8245	0.824168	0.0212363	0	0	0.4296	-nan	0.4296	0.429038	0.0164905	0	0	0.6781	-nan	0.6781	0.675873	0.0435815	0	0
1900	0.8177	-nan	0.8177	0.82031	0.0176117	0	0	0.4418	-nan	0.4418	0.435172	0.0201769	0	0	0.6673	-nan	0.6673	0.665235	0.0401835	0	0
2000	0.8152	-nan	0.8152	0.817894	0.0154792	0	0	0.4443	-nan	0.4443	0.449116	0.0209829	0	0	0.6559	-nan	0.6559	0.654676	0.0435783	0	0
2100	0.8158	-nan	0.8158	0.81456	0.0160138	0	0	0.4562	-nan	0.4562	0.460005	0.0216047	0	0	0.6725	-nan	0.6725	0.668805	0.0429927	0	0
2200	0.8034	-nan	0.8034	0.802155	0.0160733	0	0	0.4832	-nan	0.4832	0.480176	0.0164684	0	0	0.6748	-nan	0.6748	0.665365	0.0506211	0	0
2300	0.7914	-nan	0.7914	0.796781	0.0227222	0	0	0.5008	-nan	0.5008	0.495981	0.0273144	0	0	0.6935	-nan	0.6935	0.692803	0.0360956	0	0
2400	0.8004	-nan	0.8004	0.799232	0.0185845	0	0	0.5037	-nan	0.5037	0.505286	0.0279371	0	0	0.6885	-nan	0.6885	0.68518	0.0351579	0	0
2500	0.794	-nan	0.794	0.794371	0.0295078	0	0	0.5275	-nan	0.5275	0.523974	0.0166651	0	0	0.6822	-nan	0.6822	0.682379	0.0309043	0	0
2600	0.7928	-nan	0.7928	0.794	0.0286104	0	0	0.5348	-nan	0.5348	0.533627	0.0229646	0	0	0.6807	-nan	0.6807	0.679432	0.0345124	0	0
2700	0.7756	-nan	0.7756	0.77948	0.0246747	0	0	0.5374	-nan	0.5374	0.536555	0.0269911	0	0	0.7036	-nan	0.7036	0.701564	0.0338728	0	0
2800	0.7641	-nan	0.7641	0.762752	0.0272727	0	0	0.5466	-nan	0.5466	0.54822	0.0298116	0	0	0.6993	-nan	0.6993	0.69781	0.0453302	0	0
2900	0.7475	-nan	0.7475	0.74787	0.00840602	0	0	0.5513	-nan	0.5513	0.55636	0.0154262	0	0	0.7057	-nan	0.7057	0.707769	0.0392299	0	0
3000	0.7483	-nan	0.7483	0.745539	0.0106828	0	0	0.5631	-nan	0.5631	0.559548	0.0198956	0	0	0.7201	-nan	0.7201	0.723845	0.0206086	0	0
