Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
3400	0.6977	-nan	0.6977	0.69827	0.0178219	0	0	0.5383	-nan	0.5383	0.540825	0.0181036	0	0	0.6538	-nan	0.6538	0.652694	0.0275135	0	0
3500	0.6952	-nan	0.6952	0.699073	0.0165579	0	0	0.5497	-nan	0.5497	0.546266	0.015869	0	0	0.662	-nan	0.662	0.667933	0.032898	0	0
3600	0.713	-nan	0.713	0.699294	0.0180594	0	0	0.5593	-nan	0.5593	0.554229	0.0215674	0	0	0.6714	-nan	0.6714	0.669297	0.0324148	0	0
3700	0.7025	-nan	0.7025	0.698032	0.0214173	0	0	0.5754	-nan	0.5754	0.567803	0.019921	0	0	0.6547	-nan	0.6547	0.656692	0.0348893	0	0
3800	0.6951	-nan	0.6951	0.697204	0.0210342	0	0	0.5799	-nan	0.5799	0.576657	0.0207678	0	0	0.6615	-nan	0.6615	0.662254	0.036654	0	0
3900	0.6955	-nan	0.6955	0.693916	0.02117	0	0	0.5577	-nan	0.5577	0.556785	0.0238553	0	0	0.6596	-nan	0.6596	0.661145	0.0416292	0	0
4000	0.679	-nan	0.679	0.684602	0.0198129	0	0	0.5829	-nan	0.5829	0.577439	0.0141816	0	0	0.6469	-nan	0.6469	0.644761	0.0409294	0	0
4100	0.6837	-nan	0.6837	0.682584	0.0204265	0	0	0.5872	-nan	0.5872	0.581349	0.0187892	0	0	0.6452	-nan	0.6452	0.643209	0.052538	0	0
4200	0.6786	-nan	0.6786	0.676996	0.0159442	0	0	0.5909	-nan	0.5909	0.584361	0.0184835	0	0	0.6491	-nan	0.6491	0.645412	0.0436197	0	0
4300	0.6848	-nan	0.6848	0.679903	0.016396	0	0	0.5899	-nan	0.5899	0.58813	0.0146482	0	0	0.6683	-nan	0.6683	0.666449	0.0438676	0	0
4400	0.6787	-nan	0.6787	0.679185	0.0159171	0	0	0.5918	-nan	0.5918	0.595735	0.0149169	0	0	0.67	-nan	0.67	0.681633	0.0294522	0	0
4500	0.6844	-nan	0.6844	0.678555	0.0147198	0	0	0.6096	-nan	0.6096	0.601952	0.0129691	0	0	0.671	-nan	0.671	0.664028	0.0431667	0	0
4600	0.6805	-nan	0.6805	0.679399	0.0228633	0	0	0.5942	-nan	0.5942	0.597089	0.0149525	0	0	0.6742	-nan	0.6742	0.672115	0.0460676	0	0
4700	0.6772	-nan	0.6772	0.675425	0.0334187	0	0	0.5974	-nan	0.5974	0.594671	0.0186289	0	0	0.6752	-nan	0.6752	0.672908	0.0508633	0	0
4800	0.6756	-nan	0.6756	0.678712	0.0344949	0	0	0.6031	-nan	0.6031	0.601422	0.0195692	0	0	0.6675	-nan	0.6675	0.668793	0.0538677	0	0
4900	0.6862	-nan	0.6862	0.682645	0.0267872	0	0	0.6196	-nan	0.6196	0.611368	0.019968	0	0	0.6681	-nan	0.6681	0.659712	0.0527627	0	0
5000	0.6993	-nan	0.6993	0.692308	0.0149566	0	0	0.6206	-nan	0.6206	0.612325	0.0198643	0	0	0.6682	-nan	0.6682	0.671617	0.0524569	0	0
5100	0.699	-nan	0.699	0.697823	0.0123882	0	0	0.6093	-nan	0.6093	0.606643	0.0199487	0	0	0.6597	-nan	0.6597	0.664632	0.0487649	0	0
5200	0.7069	-nan	0.7069	0.703075	0.0143579	0	0	0.5982	-nan	0.5982	0.604899	0.0218055	0	0	0.666	-nan	0.666	0.663676	0.0493977	0	0
5300	0.696	-nan	0.696	0.692975	0.0210985	0	0	0.6223	-nan	0.6223	0.622194	0.0411993	0	0	0.6579	-nan	0.6579	0.658263	0.0470913	0	0
5400	0.6816	-nan	0.6816	0.685505	0.0213758	0	0	0.6644	-nan	0.6644	0.662813	0.0409429	0	0	0.6512	-nan	0.6512	0.648781	0.0435196	0	0
5500	0.6903	-nan	0.6903	0.688974	0.0244954	0	0	0.6649	-nan	0.6649	0.673504	0.0353097	0	0	0.6613	-nan	0.6613	0.656527	0.0416848	0	0
5600	0.6882	-nan	0.6882	0.686261	0.0252822	0	0	0.6575	-nan	0.6575	0.660083	0.0446813	0	0	0.6783	-nan	0.6783	0.677874	0.0357368	0	0
5700	0.6975	-nan	0.6975	0.696338	0.0280463	0	0	0.6454	-nan	0.6454	0.655241	0.0541311	0	0	0.6551	-nan	0.6551	0.662123	0.0377917	0	0
5800	0.6907	-nan	0.6907	0.693811	0.0266661	0	0	0.6581	-nan	0.6581	0.660822	0.0542608	0	0	0.6547	-nan	0.6547	0.652882	0.03868	0	0
5900	0.7073	-nan	0.7073	0.707854	0.0223778	0	0	0.6461	-nan	0.6461	0.640609	0.0585115	0	0	0.6518	-nan	0.6518	0.650426	0.0346412	0	0
6000	0.7118	-nan	0.7118	0.707396	0.0305884	0	0	0.619	-nan	0.619	0.632753	0.0633176	0	0	0.6669	-nan	0.6669	0.666536	0.0397504	0	0
6100	0.7171	-nan	0.7171	0.709577	0.0363877	0	0	0.6468	-nan	0.6468	0.648459	0.0560598	0	0	0.6703	-nan	0.6703	0.678028	0.0348468	0	0
6200	0.6886	-nan	0.6886	0.692037	0.0377236	0	0	0.6745	-nan	0.6745	0.672651	0.0294652	0	0	0.6804	-nan	0.6804	0.680462	0.0322402	0	0
6300	0.6854	-nan	0.6854	0.682061	0.0325302	0	0	0.6805	-nan	0.6805	0.682648	0.0311255	0	0	0.6749	-nan	0.6749	0.671697	0.0337317	0	0
6400	0.6838	-nan	0.6838	0.676625	0.0290084	0	0	0.7075	-nan	0.7075	0.707089	0.0248527	0	0	0.6674	-nan	0.6674	0.669739	0.0320335	0	0
6500	0.6686	-nan	0.6686	0.665405	0.0146577	0	0	0.7128	-nan	0.7128	0.705883	0.0244826	0	0	0.6755	-nan	0.6755	0.677401	0.0369041	0	0
6600	0.6512	-nan	0.6512	0.657785	0.0208387	0	0	0.6811	-nan	0.6811	0.677455	0.0483807	0	0	0.6586	-nan	0.6586	0.662434	0.0368056	0	0
6700	0.6711	-nan	0.6711	0.66469	0.0151437	0	0	0.6747	-nan	0.6747	0.66631	0.0499186	0	0	0.6657	-nan	0.6657	0.666022	0.0292228	0	0
6800	0.6695	-nan	0.6695	0.669519	0.0175961	0	0	0.6564	-nan	0.6564	0.660336	0.0566637	0	0	0.6582	-nan	0.6582	0.653586	0.0199808	0	0
6900	0.6701	-nan	0.6701	0.666829	0.0260861	0	0	0.6489	-nan	0.6489	0.654656	0.0521406	0	0	0.6661	-nan	0.6661	0.666441	0.026363	0	0
7000	0.6659	-nan	0.6659	0.671497	0.0351789	0	0	0.6617	-nan	0.6617	0.662524	0.0586798	0	0	0.6629	-nan	0.6629	0.662728	0.0293142	0	0
7100	0.6847	-nan	0.6847	0.681957	0.0425189	0	0	0.6813	-nan	0.6813	0.684098	0.0504205	0	0	0.6702	-nan	0.6702	0.662818	0.0184724	0	0
7200	0.6901	-nan	0.6901	0.695203	0.0400139	0	0	0.6737	-nan	0.6737	0.673085	0.0428329	0	0	0.6584	-nan	0.6584	0.658697	0.0141868	0	0
7300	0.7063	-nan	0.7063	0.701091	0.038438	0	0	0.6524	-nan	0.6524	0.657724	0.0388305	0	0	0.6517	-nan	0.6517	0.658394	0.020324	0	0
